; classfreq  -v 1 -col 2 -i $RSAT/public_html/tmp/wwwrun/2014/09/06/peak-motifs.2014-09-06.123915_2014-09-06.123915_sfIm4F/data/sequences/peak-motifs_ctrl_seqlen.tab -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/06/peak-motifs.2014-09-06.123915_2014-09-06.123915_sfIm4F/data/sequences/peak-motifs_ctrl_seqlen_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
40	60	50	21	21	19232	0.00109	0.00109	1.00000
60	80	70	87	108	19211	0.00452	0.00562	0.99891
80	100	90	384	492	19124	0.01997	0.02558	0.99438
100	120	110	924	1416	18740	0.04804	0.07363	0.97442
120	140	130	1639	3055	17816	0.08522	0.15885	0.92637
140	160	150	2073	5128	16177	0.10779	0.26664	0.84115
160	180	170	2179	7307	14104	0.11330	0.37994	0.73336
180	200	190	2044	9351	11925	0.10628	0.48622	0.62006
200	220	210	1715	11066	9881	0.08917	0.57540	0.51378
220	240	230	1437	12503	8166	0.07472	0.65011	0.42460
240	260	250	1267	13770	6729	0.06588	0.71599	0.34989
260	280	270	1023	14793	5462	0.05319	0.76919	0.28401
280	300	290	979	15772	4439	0.05090	0.82009	0.23081
300	320	310	813	16585	3460	0.04227	0.86236	0.17991
320	340	330	734	17319	2647	0.03817	0.90053	0.13764
340	360	350	579	17898	1913	0.03011	0.93064	0.09947
360	380	370	477	18375	1334	0.02480	0.95544	0.06936
380	400	390	320	18695	857	0.01664	0.97208	0.04456
400	420	410	184	18879	537	0.00957	0.98165	0.02792
420	440	430	138	19017	353	0.00718	0.98882	0.01835
440	460	450	69	19086	215	0.00359	0.99241	0.01118
460	480	470	39	19125	146	0.00203	0.99444	0.00759
480	500	490	20	19145	107	0.00104	0.99548	0.00556
500	520	510	15	19160	87	0.00078	0.99626	0.00452
520	540	530	14	19174	72	0.00073	0.99698	0.00374
540	560	550	14	19188	58	0.00073	0.99771	0.00302
560	580	570	7	19195	44	0.00036	0.99808	0.00229
580	600	590	7	19202	37	0.00036	0.99844	0.00192
600	620	610	7	19209	30	0.00036	0.99880	0.00156
620	640	630	5	19214	23	0.00026	0.99906	0.00120
640	660	650	6	19220	18	0.00031	0.99938	0.00094
660	680	670	2	19222	12	0.00010	0.99948	0.00062
680	700	690	3	19225	10	0.00016	0.99964	0.00052
700	720	710	3	19228	7	0.00016	0.99979	0.00036
720	740	730	1	19229	4	0.00005	0.99984	0.00021
740	760	750	1	19230	3	0.00005	0.99990	0.00016
760	780	770	1	19231	2	0.00005	0.99995	0.00010
780	800	790	1	19232	1	0.00005	1.00000	0.00005
; Statistics:
; -----------
; input file	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/06/peak-motifs.2014-09-06.123915_2014-09-06.123915_sfIm4F/data/sequences/peak-motifs_ctrl_seqlen.tab
; class interval     	20
; classes            	38
; count              	19232
; sum                	4.22638e+06
; mean               	219.758
; median class       	[180..200[
; var                	7.09e+03
; std                	84.2096
; min                	42
; max                	790
; range              	748
; Host name	rsat
; Job started	2014-09-06.124234
; Job done	2014-09-06.124235
; Seconds	0.39
;	user	0.39
;	system	0.01
;	cuser	0
;	csystem	0
