; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/data/sequences/peak-motifs_test_maxlen1000.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/oligos_6nt_mkv3/peak-motifs_oligos_6nt_mkv3.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/oligos_6nt_mkv3/peak-motifs_oligos_6nt_mkv3_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/data/sequences/peak-motifs_test_maxlen1000.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/oligos_6nt_mkv3/peak-motifs_oligos_6nt_mkv3.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/oligos_6nt_mkv3/peak-motifs_oligos_6nt_mkv3_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26223
;		c	0.24007
;		g	0.23539
;		t	0.26231
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name           	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	oligos_6nt_mkv3	12	4	1	-24.800	12.300	37.100	a:0.262 c:0.240 g:0.235 t:0.262 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
oligos_6nt_mkv3	-5.0	517	203021	12427	5.768008e-02	5.809668e-02	12516.76	7.969627e-01	1.171535e+02	-2.07	1
oligos_6nt_mkv3	-4.9	479	203500	11948	5.545679e-02	5.550453e-02	11958.28	5.398624e-01	7.935977e+01	-1.90	2
oligos_6nt_mkv3	-4.8	524	204024	11424	5.302464e-02	5.348929e-02	11524.11	8.322773e-01	1.223448e+02	-2.09	3
oligos_6nt_mkv3	-4.7	455	204479	10969	5.091275e-02	5.108549e-02	11006.22	6.434828e-01	9.459197e+01	-1.98	4
oligos_6nt_mkv3	-4.6	435	204914	10534	4.889370e-02	4.903604e-02	10564.67	6.215650e-01	9.137005e+01	-1.96	5
oligos_6nt_mkv3	-4.5	378	205292	10156	4.713920e-02	4.729835e-02	10190.29	6.374759e-01	9.370896e+01	-1.97	6
oligos_6nt_mkv3	-4.4	412	205704	9744	4.522690e-02	4.519078e-02	9736.22	4.692803e-01	6.898420e+01	-1.84	7
oligos_6nt_mkv3	-4.3	412	206116	9332	4.331460e-02	4.350839e-02	9373.75	6.718158e-01	9.875692e+01	-1.99	8
oligos_6nt_mkv3	-4.2	361	206477	8971	4.163901e-02	4.166620e-02	8976.86	5.266680e-01	7.742019e+01	-1.89	9
oligos_6nt_mkv3	-4.1	361	206838	8610	3.996342e-02	3.970536e-02	8554.40	2.712664e-01	3.987616e+01	-1.60	10
oligos_6nt_mkv3	-4.0	363	207201	8247	3.827856e-02	3.818733e-02	8227.35	4.141178e-01	6.087532e+01	-1.78	11
oligos_6nt_mkv3	-3.9	328	207529	7919	3.675614e-02	3.638614e-02	7839.28	1.809565e-01	2.660060e+01	-1.42	12
oligos_6nt_mkv3	-3.8	342	207871	7577	3.516874e-02	3.476641e-02	7490.32	1.554069e-01	2.284481e+01	-1.36	13
oligos_6nt_mkv3	-3.7	336	208207	7241	3.360919e-02	3.314718e-02	7141.46	1.168040e-01	1.717019e+01	-1.23	14
oligos_6nt_mkv3	-3.6	314	208521	6927	3.215176e-02	3.173723e-02	6837.69	1.376155e-01	2.022949e+01	-1.31	15
