; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/data/sequences/peak-motifs_test_maxlen1000.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/positions_8nt_m1/peak-motifs_positions_8nt_m1.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/positions_8nt_m1/peak-motifs_positions_8nt_m1_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/data/sequences/peak-motifs_test_maxlen1000.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/positions_8nt_m1/peak-motifs_positions_8nt_m1.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/positions_8nt_m1/peak-motifs_positions_8nt_m1_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26223
;		c	0.24007
;		g	0.23539
;		t	0.26231
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name            	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	positions_8nt_m1	13	4	1	-29.500	12.800	42.300	a:0.262 c:0.240 g:0.235 t:0.262 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
positions_8nt_m1	-5.0	448	200732	14498	6.736081e-02	6.717555e-02	14458.13	3.668754e-01	5.576506e+01	-1.75	1
positions_8nt_m1	-4.9	465	201197	14033	6.520032e-02	6.469228e-02	13923.66	1.700662e-01	2.585006e+01	-1.41	2
positions_8nt_m1	-4.8	481	201678	13552	6.296549e-02	6.271281e-02	13497.62	3.155892e-01	4.796956e+01	-1.68	3
positions_8nt_m1	-4.7	431	202109	13121	6.096297e-02	6.036387e-02	12992.06	1.226091e-01	1.863658e+01	-1.27	4
positions_8nt_m1	-4.6	427	202536	12694	5.897904e-02	5.829683e-02	12547.17	8.929417e-02	1.357271e+01	-1.13	5
positions_8nt_m1	-4.5	431	202967	12263	5.697652e-02	5.646582e-02	12153.08	1.534491e-01	2.332426e+01	-1.37	6
positions_8nt_m1	-4.4	402	203369	11861	5.510874e-02	5.429582e-02	11686.03	4.874711e-02	7.409561e+00	-0.87	7
positions_8nt_m1	-4.3	366	203735	11495	5.340823e-02	5.256901e-02	11314.38	4.120805e-02	6.263624e+00	-0.80	8
positions_8nt_m1	-4.2	391	204126	11104	5.159156e-02	5.070109e-02	10912.34	3.043412e-02	4.625986e+00	-0.67	9
positions_8nt_m1	-4.1	393	204519	10711	4.976560e-02	4.870465e-02	10482.65	1.144179e-02	1.739153e+00	-0.24	10
positions_8nt_m1	-4.0	403	204922	10308	4.789317e-02	4.712586e-02	10142.85	4.725840e-02	7.183276e+00	-0.86	11
positions_8nt_m1	-3.9	344	205266	9964	4.629488e-02	4.524821e-02	9738.73	1.005895e-02	1.528961e+00	-0.18	12
positions_8nt_m1	-3.8	321	205587	9643	4.480344e-02	4.358970e-02	9381.77	3.052534e-03	4.639852e-01	0.33	13
positions_8nt_m1	-3.7	333	205920	9310	4.325625e-02	4.196916e-02	9032.98	1.539173e-03	2.339543e-01	0.63	14
positions_8nt_m1	-3.6	330	206250	8980	4.172300e-02	4.056121e-02	8729.95	3.302533e-03	5.019850e-01	0.30	15
positions_8nt_m1	-3.5	336	206586	8644	4.016187e-02	3.904291e-02	8403.17	3.859575e-03	5.866553e-01	0.23	16
