; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.194903_2014-09-05.194903_oebJl9/results/discovered_motifs/positions_7nt_m1/peak-motifs_positions_7nt_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-400	-380	-390	1	1	13	0.07692	0.07692	1.00000
-380	-360	-370	0	1	12	0.00000	0.07692	0.92308
-360	-340	-350	0	1	12	0.00000	0.07692	0.92308
-340	-320	-330	0	1	12	0.00000	0.07692	0.92308
-320	-300	-310	0	1	12	0.00000	0.07692	0.92308
-300	-280	-290	0	1	12	0.00000	0.07692	0.92308
-280	-260	-270	0	1	12	0.00000	0.07692	0.92308
-260	-240	-250	0	1	12	0.00000	0.07692	0.92308
-240	-220	-230	0	1	12	0.00000	0.07692	0.92308
-220	-200	-210	0	1	12	0.00000	0.07692	0.92308
-200	-180	-190	0	1	12	0.00000	0.07692	0.92308
-180	-160	-170	0	1	12	0.00000	0.07692	0.92308
-160	-140	-150	0	1	12	0.00000	0.07692	0.92308
-140	-120	-130	0	1	12	0.00000	0.07692	0.92308
-120	-100	-110	0	1	12	0.00000	0.07692	0.92308
-100	-80	-90	0	1	12	0.00000	0.07692	0.92308
-80	-60	-70	0	1	12	0.00000	0.07692	0.92308
-60	-40	-50	0	1	12	0.00000	0.07692	0.92308
-40	-20	-30	1	2	12	0.07692	0.15385	0.92308
-20	0	-10	1	3	11	0.07692	0.23077	0.84615
0	20	10	1	4	10	0.07692	0.30769	0.76923
20	40	30	0	4	9	0.00000	0.30769	0.69231
40	60	50	0	4	9	0.00000	0.30769	0.69231
60	80	70	0	4	9	0.00000	0.30769	0.69231
80	100	90	0	4	9	0.00000	0.30769	0.69231
100	120	110	1	5	9	0.07692	0.38462	0.69231
120	140	130	1	6	8	0.07692	0.46154	0.61538
140	160	150	0	6	7	0.00000	0.46154	0.53846
160	180	170	0	6	7	0.00000	0.46154	0.53846
180	200	190	0	6	7	0.00000	0.46154	0.53846
200	220	210	1	7	7	0.07692	0.53846	0.53846
220	240	230	0	7	6	0.00000	0.53846	0.46154
240	260	250	1	8	6	0.07692	0.61538	0.46154
260	280	270	0	8	5	0.00000	0.61538	0.38462
280	300	290	1	9	5	0.07692	0.69231	0.38462
300	320	310	0	9	4	0.00000	0.69231	0.30769
320	340	330	0	9	4	0.00000	0.69231	0.30769
340	360	350	0	9	4	0.00000	0.69231	0.30769
360	380	370	1	10	4	0.07692	0.76923	0.30769
380	400	390	3	13	3	0.23077	1.00000	0.23077
; Statistics:
; -----------
; class interval     	20
; classes            	40
; count              	13
; sum                	2077
; mean               	159.769
; median class       	[180..200[
; var                	4.68e+04
; std                	216.224
; min                	-390
; max                	381
; range              	771
; Host name	biow
; Job started	2014-09-05.195250
; Job done	2014-09-05.195250
; Seconds	0.22
;	user	0.22
;	system	0.02
;	cuser	0
;	csystem	0
