; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/dyads_m1/peak-motifs_dyads_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-460	-440	-450	2	2	51	0.03922	0.03922	1.00000
-440	-420	-430	1	3	49	0.01961	0.05882	0.96078
-420	-400	-410	1	4	48	0.01961	0.07843	0.94118
-400	-380	-390	1	5	47	0.01961	0.09804	0.92157
-380	-360	-370	2	7	46	0.03922	0.13725	0.90196
-360	-340	-350	3	10	44	0.05882	0.19608	0.86275
-340	-320	-330	0	10	41	0.00000	0.19608	0.80392
-320	-300	-310	3	13	41	0.05882	0.25490	0.80392
-300	-280	-290	1	14	38	0.01961	0.27451	0.74510
-280	-260	-270	0	14	37	0.00000	0.27451	0.72549
-260	-240	-250	0	14	37	0.00000	0.27451	0.72549
-240	-220	-230	0	14	37	0.00000	0.27451	0.72549
-220	-200	-210	0	14	37	0.00000	0.27451	0.72549
-200	-180	-190	1	15	37	0.01961	0.29412	0.72549
-180	-160	-170	2	17	36	0.03922	0.33333	0.70588
-160	-140	-150	1	18	34	0.01961	0.35294	0.66667
-140	-120	-130	0	18	33	0.00000	0.35294	0.64706
-120	-100	-110	1	19	33	0.01961	0.37255	0.64706
-100	-80	-90	1	20	32	0.01961	0.39216	0.62745
-80	-60	-70	1	21	31	0.01961	0.41176	0.60784
-60	-40	-50	2	23	30	0.03922	0.45098	0.58824
-40	-20	-30	0	23	28	0.00000	0.45098	0.54902
-20	0	-10	1	24	28	0.01961	0.47059	0.54902
0	20	10	1	25	27	0.01961	0.49020	0.52941
20	40	30	1	26	26	0.01961	0.50980	0.50980
40	60	50	1	27	25	0.01961	0.52941	0.49020
60	80	70	1	28	24	0.01961	0.54902	0.47059
80	100	90	2	30	23	0.03922	0.58824	0.45098
100	120	110	3	33	21	0.05882	0.64706	0.41176
120	140	130	2	35	18	0.03922	0.68627	0.35294
140	160	150	1	36	16	0.01961	0.70588	0.31373
160	180	170	1	37	15	0.01961	0.72549	0.29412
180	200	190	0	37	14	0.00000	0.72549	0.27451
200	220	210	0	37	14	0.00000	0.72549	0.27451
220	240	230	1	38	14	0.01961	0.74510	0.27451
240	260	250	0	38	13	0.00000	0.74510	0.25490
260	280	270	0	38	13	0.00000	0.74510	0.25490
280	300	290	0	38	13	0.00000	0.74510	0.25490
300	320	310	3	41	13	0.05882	0.80392	0.25490
320	340	330	1	42	10	0.01961	0.82353	0.19608
340	360	350	0	42	9	0.00000	0.82353	0.17647
360	380	370	1	43	9	0.01961	0.84314	0.17647
380	400	390	0	43	8	0.00000	0.84314	0.15686
400	420	410	1	44	8	0.01961	0.86275	0.15686
420	440	430	3	47	7	0.05882	0.92157	0.13725
440	460	450	1	48	4	0.01961	0.94118	0.07843
460	480	470	1	49	3	0.01961	0.96078	0.05882
480	500	490	2	51	2	0.03922	1.00000	0.03922
; Statistics:
; -----------
; class interval     	20
; classes            	48
; count              	51
; sum                	410
; mean               	8.03922
; median class       	[0..20[
; var                	8.64e+04
; std                	294.02
; min                	-448
; max                	484
; range              	932
; Host name	biow
; Job started	2014-09-05.205359
; Job done	2014-09-05.205359
; Seconds	0.22
;	user	0.22
;	system	0.01
;	cuser	0
;	csystem	0
