; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/data/sequences/peak-motifs_test_maxlen1000.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/dyads_m5/peak-motifs_dyads_m5.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/dyads_m5/peak-motifs_dyads_m5_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/data/sequences/peak-motifs_test_maxlen1000.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/dyads_m5/peak-motifs_dyads_m5.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/dyads_m5/peak-motifs_dyads_m5_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26223
;		c	0.24007
;		g	0.23539
;		t	0.26231
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name    	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	dyads_m5	12	4	1	-29.100	11.300	40.400	a:0.262 c:0.240 g:0.235 t:0.262 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
dyads_m5	-5.0	336	203766	11682	5.422240e-02	5.344645e-02	11514.82	5.543307e-02	8.314960e+00	-0.92	1
dyads_m5	-4.9	353	204119	11329	5.258394e-02	5.150547e-02	11096.65	1.209770e-02	1.814654e+00	-0.26	2
dyads_m5	-4.8	350	204469	10979	5.095941e-02	4.996193e-02	10764.10	1.721399e-02	2.582099e+00	-0.41	3
dyads_m5	-4.7	321	204790	10658	4.946947e-02	4.816496e-02	10376.95	2.458109e-03	3.687164e-01	0.43	4
dyads_m5	-4.6	328	205118	10330	4.794705e-02	4.657671e-02	10034.76	1.345779e-03	2.018669e-01	0.69	5
dyads_m5	-4.5	324	205442	10006	4.644319e-02	4.519110e-02	9736.24	2.700486e-03	4.050730e-01	0.39	6
dyads_m5	-4.4	309	205751	9697	4.500896e-02	4.353333e-02	9379.08	4.263031e-04	6.394546e-02	1.19	7
dyads_m5	-4.3	280	206031	9417	4.370933e-02	4.221820e-02	9095.74	3.140768e-04	4.711152e-02	1.33	8
dyads_m5	-4.2	281	206312	9136	4.240506e-02	4.080791e-02	8791.90	9.949675e-05	1.492451e-02	1.83	9
dyads_m5	-4.1	254	206566	8882	4.122611e-02	3.928041e-02	8462.81	2.021697e-06	3.032546e-04	3.52	10
dyads_m5	-4.0	271	206837	8611	3.996825e-02	3.807633e-02	8203.39	2.695652e-06	4.043477e-04	3.39	11
dyads_m5	-3.9	275	207112	8336	3.869183e-02	3.662128e-02	7889.91	2.015366e-07	3.023049e-05	4.52	12
dyads_m5	-3.8	283	207395	8053	3.737828e-02	3.535583e-02	7617.27	2.406864e-07	3.610296e-05	4.44	13
dyads_m5	-3.7	278	207673	7775	3.608793e-02	3.412622e-02	7352.36	3.416525e-07	5.124787e-05	4.29	14
dyads_m5	-3.6	250	207923	7525	3.492755e-02	3.301883e-02	7113.78	4.576096e-07	6.864143e-05	4.16	15
dyads_m5	-3.5	256	208179	7269	3.373931e-02	3.184787e-02	6861.50	3.730642e-07	5.595964e-05	4.25	16
dyads_m5	-3.4	272	208451	6997	3.247682e-02	3.060941e-02	6594.67	3.189418e-07	4.784127e-05	4.32	17
dyads_m5	-3.3	216	208667	6781	3.147424e-02	2.951774e-02	6359.48	5.622283e-08	8.433424e-06	5.07	18
dyads_m5	-3.2	215	208882	6566	3.047631e-02	2.855560e-02	6152.19	6.056807e-08	9.085211e-06	5.04	19
dyads_m5	-3.1	219	209101	6347	2.945982e-02	2.753294e-02	5931.86	3.308326e-08	4.962490e-06	5.30	20
dyads_m5	-3.0	211	209312	6136	2.848045e-02	2.655358e-02	5720.86	1.954123e-08	2.931184e-06	5.53	21
dyads_m5	-2.9	212	209524	5924	2.749645e-02	2.550620e-02	5495.21	3.666209e-09	5.499314e-07	6.26	22
dyads_m5	-2.8	221	209745	5703	2.647067e-02	2.457170e-02	5293.87	9.573549e-09	1.436032e-06	5.84	23
dyads_m5	-2.7	199	209944	5504	2.554700e-02	2.367746e-02	5101.21	8.918548e-09	1.337782e-06	5.87	24
dyads_m5	-2.6	199	210143	5305	2.462334e-02	2.289747e-02	4933.17	6.210635e-08	9.315952e-06	5.03	25
dyads_m5	-2.5	203	210346	5102	2.368111e-02	2.203721e-02	4747.83	1.437338e-07	2.156008e-05	4.67	26
dyads_m5	-2.4	186	210532	4916	2.281778e-02	2.112093e-02	4550.42	3.272609e-08	4.908913e-06	5.31	27
dyads_m5	-2.3	206	210738	4710	2.186163e-02	2.029836e-02	4373.20	1.909670e-07	2.864505e-05	4.54	28
dyads_m5	-2.2	150	210888	4560	2.116540e-02	1.958408e-02	4219.31	8.741675e-08	1.311251e-05	4.88	29
dyads_m5	-2.1	166	211054	4394	2.039490e-02	1.878994e-02	4048.22	3.200175e-08	4.800263e-06	5.32	30
dyads_m5	-2.0	169	211223	4225	1.961048e-02	1.802994e-02	3884.48	2.787574e-08	4.181360e-06	5.38	31
dyads_m5	-1.9	149	211372	4076	1.891889e-02	1.727790e-02	3722.45	4.395583e-09	6.593375e-07	6.18	32
dyads_m5	-1.8	165	211537	3911	1.815304e-02	1.648322e-02	3551.24	1.083264e-09	1.624896e-07	6.79	33
dyads_m5	-1.7	137	211674	3774	1.751715e-02	1.578941e-02	3401.77	1.333204e-10	1.999806e-08	7.70	34
dyads_m5	-1.6	137	211811	3637	1.688126e-02	1.517788e-02	3270.01	1.095208e-10	1.642812e-08	7.78	35
dyads_m5	-1.5	128	211939	3509	1.628714e-02	1.447484e-02	3118.55	2.609378e-12	3.914068e-10	9.41	36
dyads_m5	-1.4	130	212069	3379	1.568374e-02	1.392895e-02	3000.94	4.973506e-12	7.460259e-10	9.13	37
