; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/oligos_6nt_mkv3/peak-motifs_oligos_6nt_mkv3_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-480	-460	-470	1	1	33	0.03030	0.03030	1.00000
-460	-440	-450	1	2	32	0.03030	0.06061	0.96970
-440	-420	-430	2	4	31	0.06061	0.12121	0.93939
-420	-400	-410	1	5	29	0.03030	0.15152	0.87879
-400	-380	-390	1	6	28	0.03030	0.18182	0.84848
-380	-360	-370	0	6	27	0.00000	0.18182	0.81818
-360	-340	-350	1	7	27	0.03030	0.21212	0.81818
-340	-320	-330	1	8	26	0.03030	0.24242	0.78788
-320	-300	-310	0	8	25	0.00000	0.24242	0.75758
-300	-280	-290	2	10	25	0.06061	0.30303	0.75758
-280	-260	-270	1	11	23	0.03030	0.33333	0.69697
-260	-240	-250	0	11	22	0.00000	0.33333	0.66667
-240	-220	-230	0	11	22	0.00000	0.33333	0.66667
-220	-200	-210	0	11	22	0.00000	0.33333	0.66667
-200	-180	-190	0	11	22	0.00000	0.33333	0.66667
-180	-160	-170	0	11	22	0.00000	0.33333	0.66667
-160	-140	-150	3	14	22	0.09091	0.42424	0.66667
-140	-120	-130	0	14	19	0.00000	0.42424	0.57576
-120	-100	-110	0	14	19	0.00000	0.42424	0.57576
-100	-80	-90	1	15	19	0.03030	0.45455	0.57576
-80	-60	-70	0	15	18	0.00000	0.45455	0.54545
-60	-40	-50	0	15	18	0.00000	0.45455	0.54545
-40	-20	-30	1	16	18	0.03030	0.48485	0.54545
-20	0	-10	1	17	17	0.03030	0.51515	0.51515
0	20	10	1	18	16	0.03030	0.54545	0.48485
20	40	30	0	18	15	0.00000	0.54545	0.45455
40	60	50	1	19	15	0.03030	0.57576	0.45455
60	80	70	0	19	14	0.00000	0.57576	0.42424
80	100	90	0	19	14	0.00000	0.57576	0.42424
100	120	110	2	21	14	0.06061	0.63636	0.42424
120	140	130	0	21	12	0.00000	0.63636	0.36364
140	160	150	0	21	12	0.00000	0.63636	0.36364
160	180	170	0	21	12	0.00000	0.63636	0.36364
180	200	190	1	22	12	0.03030	0.66667	0.36364
200	220	210	0	22	11	0.00000	0.66667	0.33333
220	240	230	1	23	11	0.03030	0.69697	0.33333
240	260	250	1	24	10	0.03030	0.72727	0.30303
260	280	270	1	25	9	0.03030	0.75758	0.27273
280	300	290	1	26	8	0.03030	0.78788	0.24242
300	320	310	1	27	7	0.03030	0.81818	0.21212
320	340	330	0	27	6	0.00000	0.81818	0.18182
340	360	350	1	28	6	0.03030	0.84848	0.18182
360	380	370	0	28	5	0.00000	0.84848	0.15152
380	400	390	1	29	5	0.03030	0.87879	0.15152
400	420	410	0	29	4	0.00000	0.87879	0.12121
420	440	430	4	33	4	0.12121	1.00000	0.12121
; Statistics:
; -----------
; class interval     	20
; classes            	46
; count              	33
; sum                	-413.5
; mean               	-12.5303
; median class       	[-40..-20[
; var                	9.35e+04
; std                	305.855
; min                	-460.5
; max                	439.5
; range              	900
; Host name	biow
; Job started	2014-09-05.205304
; Job done	2014-09-05.205304
; Seconds	0.23
;	user	0.23
;	system	0.01
;	cuser	0
;	csystem	0
