; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/data/sequences/peak-motifs_test_maxlen1000.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/positions_6nt_m2/peak-motifs_positions_6nt_m2.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/positions_6nt_m2/peak-motifs_positions_6nt_m2_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/data/sequences/peak-motifs_test_maxlen1000.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/positions_6nt_m2/peak-motifs_positions_6nt_m2.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/positions_6nt_m2/peak-motifs_positions_6nt_m2_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26223
;		c	0.24007
;		g	0.23539
;		t	0.26231
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name            	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	positions_6nt_m2	11	4	1	-7.700	10.100	17.800	a:0.262 c:0.240 g:0.235 t:0.262 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
positions_6nt_m2	-5.0	2995	55166	160500	7.442098e-01	7.674236e-01	165506.41	1.000000e+00	1.210000e+02	-2.08	1
positions_6nt_m2	-4.9	3498	58664	157002	7.279902e-01	7.527812e-01	162348.55	1.000000e+00	1.210000e+02	-2.08	2
positions_6nt_m2	-4.8	4254	62918	152748	7.082651e-01	7.385514e-01	159279.68	1.000000e+00	1.210000e+02	-2.08	3
positions_6nt_m2	-4.7	4593	67511	148155	6.869682e-01	7.185319e-01	154962.18	1.000000e+00	1.210000e+02	-2.08	4
positions_6nt_m2	-4.6	4890	72401	143265	6.642942e-01	6.982113e-01	150579.75	1.000000e+00	1.210000e+02	-2.08	5
positions_6nt_m2	-4.5	4882	77283	138383	6.416572e-01	6.783418e-01	146294.59	1.000000e+00	1.210000e+02	-2.08	6
positions_6nt_m2	-4.4	4861	82144	133522	6.191176e-01	6.537292e-01	140986.51	1.000000e+00	1.210000e+02	-2.08	7
positions_6nt_m2	-4.3	4415	86559	129107	5.986460e-01	6.336197e-01	136649.58	1.000000e+00	1.210000e+02	-2.08	8
positions_6nt_m2	-4.2	4159	90718	124948	5.793615e-01	6.125313e-01	132101.57	1.000000e+00	1.210000e+02	-2.08	9
positions_6nt_m2	-4.1	3474	94192	121474	5.632532e-01	5.914047e-01	127545.29	1.000000e+00	1.210000e+02	-2.08	10
positions_6nt_m2	-4.0	2918	97110	118556	5.497229e-01	5.766534e-01	124363.95	1.000000e+00	1.210000e+02	-2.08	11
positions_6nt_m2	-3.9	2417	99527	116139	5.385158e-01	5.608194e-01	120949.12	1.000000e+00	1.210000e+02	-2.08	12
positions_6nt_m2	-3.8	2169	101696	113970	5.284585e-01	5.490201e-01	118404.41	1.000000e+00	1.210000e+02	-2.08	13
positions_6nt_m2	-3.7	1963	103659	112007	5.193564e-01	5.387622e-01	116192.15	1.000000e+00	1.210000e+02	-2.08	14
positions_6nt_m2	-3.6	2160	105819	109847	5.093409e-01	5.301282e-01	114330.09	1.000000e+00	1.210000e+02	-2.08	15
positions_6nt_m2	-3.5	2236	108055	107611	4.989729e-01	5.208292e-01	112324.63	1.000000e+00	1.210000e+02	-2.08	16
positions_6nt_m2	-3.4	2970	111025	104641	4.852016e-01	5.093391e-01	109846.63	1.000000e+00	1.210000e+02	-2.08	17
positions_6nt_m2	-3.3	3290	114315	101351	4.699464e-01	4.970643e-01	107199.37	1.000000e+00	1.210000e+02	-2.08	18
positions_6nt_m2	-3.2	3985	118300	97366	4.514687e-01	4.835786e-01	104290.99	1.000000e+00	1.210000e+02	-2.08	19
positions_6nt_m2	-3.1	4290	122590	93076	4.315768e-01	4.664634e-01	100599.82	1.000000e+00	1.210000e+02	-2.08	20
positions_6nt_m2	-3.0	4679	127269	88397	4.098811e-01	4.464956e-01	96293.47	1.000000e+00	1.210000e+02	-2.08	21
positions_6nt_m2	-2.9	4767	132036	83630	3.877773e-01	4.228604e-01	91196.19	1.000000e+00	1.210000e+02	-2.08	22
positions_6nt_m2	-2.8	4988	137024	78642	3.646489e-01	4.001728e-01	86303.26	1.000000e+00	1.210000e+02	-2.08	23
positions_6nt_m2	-2.7	4634	141658	74008	3.431618e-01	3.777490e-01	81467.24	1.000000e+00	1.210000e+02	-2.08	24
positions_6nt_m2	-2.6	4199	145857	69809	3.236918e-01	3.580153e-01	77211.38	1.000000e+00	1.210000e+02	-2.08	25
positions_6nt_m2	-2.5	3585	149442	66224	3.070688e-01	3.380046e-01	72895.76	1.000000e+00	1.210000e+02	-2.08	26
positions_6nt_m2	-2.4	2801	152243	63423	2.940811e-01	3.191807e-01	68836.11	1.000000e+00	1.210000e+02	-2.08	27
positions_6nt_m2	-2.3	2294	154537	61129	2.834442e-01	3.050096e-01	65779.90	1.000000e+00	1.210000e+02	-2.08	28
positions_6nt_m2	-2.2	1756	156293	59373	2.753020e-01	2.945143e-01	63516.43	1.000000e+00	1.210000e+02	-2.08	29
positions_6nt_m2	-2.1	1547	157840	57826	2.681288e-01	2.853152e-01	61532.51	1.000000e+00	1.210000e+02	-2.08	30
positions_6nt_m2	-2.0	1371	159211	56455	2.617717e-01	2.774022e-01	59825.95	1.000000e+00	1.210000e+02	-2.08	31
positions_6nt_m2	-1.9	1533	160744	54922	2.546635e-01	2.704934e-01	58335.96	1.000000e+00	1.210000e+02	-2.08	32
positions_6nt_m2	-1.8	1661	162405	53261	2.469617e-01	2.628446e-01	56686.39	1.000000e+00	1.210000e+02	-2.08	33
positions_6nt_m2	-1.7	2010	164415	51251	2.376417e-01	2.551687e-01	55030.95	1.000000e+00	1.210000e+02	-2.08	34
positions_6nt_m2	-1.6	2405	166820	48846	2.264902e-01	2.469801e-01	53264.95	1.000000e+00	1.210000e+02	-2.08	35
positions_6nt_m2	-1.5	2817	169637	46029	2.134282e-01	2.351573e-01	50715.20	1.000000e+00	1.210000e+02	-2.08	36
positions_6nt_m2	-1.4	3100	172737	42929	1.990541e-01	2.240341e-01	48316.32	1.000000e+00	1.210000e+02	-2.08	37
positions_6nt_m2	-1.3	3191	175928	39738	1.842580e-01	2.084688e-01	44959.42	1.000000e+00	1.210000e+02	-2.08	38
positions_6nt_m2	-1.2	3206	179134	36532	1.693923e-01	1.952669e-01	42112.23	1.000000e+00	1.210000e+02	-2.08	39
positions_6nt_m2	-1.1	3181	182315	33351	1.546426e-01	1.801673e-01	38855.79	1.000000e+00	1.210000e+02	-2.08	40
positions_6nt_m2	-1.0	2794	185109	30557	1.416873e-01	1.641321e-01	35397.54	1.000000e+00	1.210000e+02	-2.08	41
positions_6nt_m2	-0.9	2394	187503	28163	1.305868e-01	1.518592e-01	32750.72	1.000000e+00	1.210000e+02	-2.08	42
positions_6nt_m2	-0.8	1954	189457	26209	1.215264e-01	1.400691e-01	30208.00	1.000000e+00	1.210000e+02	-2.08	43
positions_6nt_m2	-0.7	1494	190951	24715	1.145990e-01	1.290398e-01	27829.38	1.000000e+00	1.210000e+02	-2.08	44
positions_6nt_m2	-0.6	1116	192067	23599	1.094243e-01	1.212057e-01	26139.83	1.000000e+00	1.210000e+02	-2.08	45
positions_6nt_m2	-0.5	881	192948	22718	1.053393e-01	1.151835e-01	24841.05	1.000000e+00	1.210000e+02	-2.08	46
positions_6nt_m2	-0.4	742	193690	21976	1.018988e-01	1.104700e-01	23824.52	1.000000e+00	1.210000e+02	-2.08	47
positions_6nt_m2	-0.3	749	194439	21227	9.842580e-02	1.068789e-01	23050.04	1.000000e+00	1.210000e+02	-2.08	48
positions_6nt_m2	-0.2	801	195240	20426	9.471171e-02	1.033449e-01	22287.89	1.000000e+00	1.210000e+02	-2.08	49
positions_6nt_m2	-0.1	869	196109	19557	9.068231e-02	9.973176e-02	21508.65	1.000000e+00	1.210000e+02	-2.08	50
positions_6nt_m2	0.0	1089	197198	18468	8.563281e-02	9.537002e-02	20567.98	1.000000e+00	1.210000e+02	-2.08	51
positions_6nt_m2	0.1	1171	198369	17297	8.020309e-02	9.117284e-02	19662.79	1.000000e+00	1.210000e+02	-2.08	52
positions_6nt_m2	0.2	1384	199753	15913	7.378573e-02	8.530164e-02	18396.58	1.000000e+00	1.210000e+02	-2.08	53
positions_6nt_m2	0.3	1383	201136	14530	6.737301e-02	7.910182e-02	17059.49	1.000000e+00	1.210000e+02	-2.08	54
positions_6nt_m2	0.4	1436	202572	13094	6.071453e-02	7.254562e-02	15645.55	1.000000e+00	1.210000e+02	-2.08	55
positions_6nt_m2	0.5	1322	203894	11772	5.458466e-02	6.650749e-02	14343.34	1.000000e+00	1.210000e+02	-2.08	56
positions_6nt_m2	0.6	1318	205212	10454	4.847333e-02	5.977866e-02	12892.17	1.000000e+00	1.210000e+02	-2.08	57
positions_6nt_m2	0.7	1081	206293	9373	4.346092e-02	5.360178e-02	11560.03	1.000000e+00	1.210000e+02	-2.08	58
positions_6nt_m2	0.8	974	207267	8399	3.894466e-02	4.789200e-02	10328.63	1.000000e+00	1.210000e+02	-2.08	59
positions_6nt_m2	0.9	662	207929	7737	3.587508e-02	4.261258e-02	9190.04	1.000000e+00	1.210000e+02	-2.08	60
positions_6nt_m2	1.0	604	208533	7133	3.307444e-02	3.872050e-02	8350.66	1.000000e+00	1.210000e+02	-2.08	61
positions_6nt_m2	1.1	451	208984	6682	3.098324e-02	3.603670e-02	7771.86	1.000000e+00	1.210000e+02	-2.08	62
positions_6nt_m2	1.2	314	209298	6368	2.952728e-02	3.345552e-02	7215.18	1.000000e+00	1.210000e+02	-2.08	63
positions_6nt_m2	1.3	270	209568	6098	2.827533e-02	3.170775e-02	6838.25	1.000000e+00	1.210000e+02	-2.08	64
positions_6nt_m2	1.4	258	209826	5840	2.707903e-02	3.039508e-02	6555.15	1.000000e+00	1.210000e+02	-2.08	65
positions_6nt_m2	1.5	307	210133	5533	2.565553e-02	2.897034e-02	6247.89	1.000000e+00	1.210000e+02	-2.08	66
positions_6nt_m2	1.6	345	210478	5188	2.405583e-02	2.775771e-02	5986.37	1.000000e+00	1.210000e+02	-2.08	67
positions_6nt_m2	1.7	374	210852	4814	2.232166e-02	2.618006e-02	5646.12	1.000000e+00	1.210000e+02	-2.08	68
