; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/apache/2014/09/05/peak-motifs.2014-09-05.202657_2014-09-05.202657_8OTbPR/results/discovered_motifs/positions_8nt_m3/peak-motifs_positions_8nt_m3_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-460	-440	-450	2	2	39	0.05128	0.05128	1.00000
-440	-420	-430	1	3	37	0.02564	0.07692	0.94872
-420	-400	-410	0	3	36	0.00000	0.07692	0.92308
-400	-380	-390	1	4	36	0.02564	0.10256	0.92308
-380	-360	-370	2	6	35	0.05128	0.15385	0.89744
-360	-340	-350	1	7	33	0.02564	0.17949	0.84615
-340	-320	-330	0	7	32	0.00000	0.17949	0.82051
-320	-300	-310	0	7	32	0.00000	0.17949	0.82051
-300	-280	-290	0	7	32	0.00000	0.17949	0.82051
-280	-260	-270	0	7	32	0.00000	0.17949	0.82051
-260	-240	-250	4	11	32	0.10256	0.28205	0.82051
-240	-220	-230	1	12	28	0.02564	0.30769	0.71795
-220	-200	-210	1	13	27	0.02564	0.33333	0.69231
-200	-180	-190	1	14	26	0.02564	0.35897	0.66667
-180	-160	-170	0	14	25	0.00000	0.35897	0.64103
-160	-140	-150	0	14	25	0.00000	0.35897	0.64103
-140	-120	-130	1	15	25	0.02564	0.38462	0.64103
-120	-100	-110	1	16	24	0.02564	0.41026	0.61538
-100	-80	-90	0	16	23	0.00000	0.41026	0.58974
-80	-60	-70	0	16	23	0.00000	0.41026	0.58974
-60	-40	-50	0	16	23	0.00000	0.41026	0.58974
-40	-20	-30	0	16	23	0.00000	0.41026	0.58974
-20	0	-10	1	17	23	0.02564	0.43590	0.58974
0	20	10	1	18	22	0.02564	0.46154	0.56410
20	40	30	2	20	21	0.05128	0.51282	0.53846
40	60	50	1	21	19	0.02564	0.53846	0.48718
60	80	70	0	21	18	0.00000	0.53846	0.46154
80	100	90	1	22	18	0.02564	0.56410	0.46154
100	120	110	2	24	17	0.05128	0.61538	0.43590
120	140	130	0	24	15	0.00000	0.61538	0.38462
140	160	150	0	24	15	0.00000	0.61538	0.38462
160	180	170	1	25	15	0.02564	0.64103	0.38462
180	200	190	2	27	14	0.05128	0.69231	0.35897
200	220	210	0	27	12	0.00000	0.69231	0.30769
220	240	230	2	29	12	0.05128	0.74359	0.30769
240	260	250	0	29	10	0.00000	0.74359	0.25641
260	280	270	1	30	10	0.02564	0.76923	0.25641
280	300	290	1	31	9	0.02564	0.79487	0.23077
300	320	310	0	31	8	0.00000	0.79487	0.20513
320	340	330	0	31	8	0.00000	0.79487	0.20513
340	360	350	0	31	8	0.00000	0.79487	0.20513
360	380	370	0	31	8	0.00000	0.79487	0.20513
380	400	390	0	31	8	0.00000	0.79487	0.20513
400	420	410	1	32	8	0.02564	0.82051	0.20513
420	440	430	1	33	7	0.02564	0.84615	0.17949
440	460	450	3	36	6	0.07692	0.92308	0.15385
460	480	470	3	39	3	0.07692	1.00000	0.07692
; Statistics:
; -----------
; class interval     	20
; classes            	47
; count              	39
; sum                	909.5
; mean               	23.3205
; median class       	[0..20[
; var                	9.01e+04
; std                	300.136
; min                	-446.5
; max                	476.5
; range              	923
; Host name	biow
; Job started	2014-09-05.205346
; Job done	2014-09-05.205346
; Seconds	0.22
;	user	0.22
;	system	0.01
;	cuser	0
;	csystem	0
