; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/data/sequences/peak-motifs_test_maxlen1000.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/results/discovered_motifs/dyads_m3/peak-motifs_dyads_m3.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/results/discovered_motifs/dyads_m3/peak-motifs_dyads_m3_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/data/sequences/peak-motifs_test_maxlen1000.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/results/discovered_motifs/dyads_m3/peak-motifs_dyads_m3.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/results/discovered_motifs/dyads_m3/peak-motifs_dyads_m3_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.29011
;		c	0.21156
;		g	0.20757
;		t	0.29076
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name    	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	dyads_m3	11	4	1	-25.200	12.000	37.200	a:0.290 c:0.212 g:0.208 t:0.291 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
dyads_m3	-5.0	74	18163	1675	8.443817e-02	8.884745e-02	1762.47	9.863964e-01	1.203404e+02	-2.08	1
dyads_m3	-4.9	63	18226	1612	8.126229e-02	8.480073e-02	1682.19	9.648345e-01	1.177098e+02	-2.07	2
dyads_m3	-4.8	55	18281	1557	7.848969e-02	8.164525e-02	1619.60	9.497316e-01	1.158673e+02	-2.06	3
dyads_m3	-4.7	49	18330	1508	7.601956e-02	7.816109e-02	1550.48	8.724443e-01	1.064382e+02	-2.03	4
dyads_m3	-4.6	51	18381	1457	7.344861e-02	7.525600e-02	1492.85	8.360311e-01	1.019958e+02	-2.01	5
dyads_m3	-4.5	51	18432	1406	7.087765e-02	7.280555e-02	1444.24	8.552587e-01	1.043416e+02	-2.02	6
dyads_m3	-4.4	34	18466	1372	6.916368e-02	6.989198e-02	1386.45	6.601708e-01	8.054083e+01	-1.91	7
dyads_m3	-4.3	32	18498	1340	6.755054e-02	6.755138e-02	1340.02	5.042060e-01	6.151313e+01	-1.79	8
dyads_m3	-4.2	45	18543	1295	6.528205e-02	6.534178e-02	1296.18	5.176475e-01	6.315300e+01	-1.80	9
dyads_m3	-4.1	40	18583	1255	6.326561e-02	6.310921e-02	1251.90	4.680314e-01	5.709984e+01	-1.76	10
dyads_m3	-4.0	36	18619	1219	6.145082e-02	6.140445e-02	1218.08	4.933205e-01	6.018510e+01	-1.78	11
dyads_m3	-3.9	32	18651	1187	5.983768e-02	5.930022e-02	1176.34	3.784817e-01	4.617477e+01	-1.66	12
dyads_m3	-3.8	38	18689	1149	5.792206e-02	5.740054e-02	1138.65	3.803296e-01	4.640021e+01	-1.67	13
dyads_m3	-3.7	31	18720	1118	5.635933e-02	5.585674e-02	1108.03	3.832472e-01	4.675615e+01	-1.67	14
dyads_m3	-3.6	31	18751	1087	5.479659e-02	5.440555e-02	1079.24	4.084344e-01	4.982900e+01	-1.70	15
dyads_m3	-3.5	24	18775	1063	5.358673e-02	5.292933e-02	1049.96	3.439648e-01	4.196371e+01	-1.62	16
