; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/data/sequences/peak-motifs_test_maxlen1000.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/results/discovered_motifs/oligos_8nt_mkv2/peak-motifs_oligos_8nt_mkv2.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/results/discovered_motifs/oligos_8nt_mkv2/peak-motifs_oligos_8nt_mkv2_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/data/sequences/peak-motifs_test_maxlen1000.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/results/discovered_motifs/oligos_8nt_mkv2/peak-motifs_oligos_8nt_mkv2.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/results/discovered_motifs/oligos_8nt_mkv2/peak-motifs_oligos_8nt_mkv2_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.29011
;		c	0.21156
;		g	0.20757
;		t	0.29076
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name           	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	oligos_8nt_mkv2	12	4	1	-16.700	12.700	29.400	a:0.290 c:0.212 g:0.208 t:0.291 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
oligos_8nt_mkv2	-5.0	125	15607	4013	2.045570e-01	2.130234e-01	4179.09	9.982363e-01	1.108042e+02	-2.04	1
oligos_8nt_mkv2	-4.9	120	15727	3893	1.984402e-01	2.044190e-01	4010.29	9.817499e-01	1.089742e+02	-2.04	2
oligos_8nt_mkv2	-4.8	124	15851	3769	1.921195e-01	1.978019e-01	3880.48	9.779187e-01	1.085490e+02	-2.04	3
oligos_8nt_mkv2	-4.7	120	15971	3649	1.860027e-01	1.902435e-01	3732.20	9.363696e-01	1.039370e+02	-2.02	4
oligos_8nt_mkv2	-4.6	105	16076	3544	1.806504e-01	1.838683e-01	3607.13	8.796900e-01	9.764558e+01	-1.99	5
oligos_8nt_mkv2	-4.5	122	16198	3422	1.744316e-01	1.785461e-01	3502.72	9.353303e-01	1.038217e+02	-2.02	6
oligos_8nt_mkv2	-4.4	110	16308	3312	1.688245e-01	1.722401e-01	3379.01	8.993324e-01	9.982590e+01	-2.00	7
oligos_8nt_mkv2	-4.3	123	16431	3189	1.625548e-01	1.672945e-01	3281.98	9.635102e-01	1.069496e+02	-2.03	8
oligos_8nt_mkv2	-4.2	98	16529	3091	1.575594e-01	1.617576e-01	3173.36	9.463106e-01	1.050405e+02	-2.02	9
oligos_8nt_mkv2	-4.1	100	16629	2991	1.524620e-01	1.557392e-01	3055.29	8.992285e-01	9.981436e+01	-2.00	10
oligos_8nt_mkv2	-4.0	86	16715	2905	1.480783e-01	1.511099e-01	2964.47	8.842620e-01	9.815308e+01	-1.99	11
oligos_8nt_mkv2	-3.9	100	16815	2805	1.429809e-01	1.456601e-01	2857.56	8.586427e-01	9.530934e+01	-1.98	12
oligos_8nt_mkv2	-3.8	134	16949	2671	1.361505e-01	1.406728e-01	2759.72	9.669664e-01	1.073333e+02	-2.03	13
oligos_8nt_mkv2	-3.7	110	17059	2561	1.305434e-01	1.354737e-01	2657.72	9.791411e-01	1.086847e+02	-2.04	14
oligos_8nt_mkv2	-3.6	111	17170	2450	1.248853e-01	1.306067e-01	2562.24	9.918313e-01	1.100933e+02	-2.04	15
