#weight	occ	cum	dcum	dCDF
-51.4	2	2	42282356	      1
-51.3	4	6	42282354	      1
-51.2	4	10	42282350	      1
-51.1	18	28	42282346	      1
-51	0	28	42282328	0.999999
-50.9	13	41	42282328	0.999999
-50.8	11	52	42282315	0.999999
-50.7	53	105	42282304	0.999999
-50.6	66	171	42282251	0.999998
-50.5	59	230	42282185	0.999996
-50.4	674	904	42282126	0.999995
-50.3	119	1023	42281452	0.999979
-50.2	314	1337	42281333	0.999976
-50.1	271	1608	42281019	0.999968
-50	351	1959	42280748	0.999962
-49.9	381	2340	42280397	0.999954
-49.8	376	2716	42280016	0.999945
-49.7	411	3127	42279640	0.999936
-49.6	397	3524	42279229	0.999926
-49.5	751	4275	42278832	0.999917
-49.4	602	4877	42278081	0.999899
-49.3	908	5785	42277479	0.999885
-49.2	851	6636	42276571	0.999863
-49.1	780	7416	42275720	0.999843
-49	919	8335	42274940	0.999825
-48.9	763	9098	42274021	0.999803
-48.8	757	9855	42273258	0.999785
-48.7	860	10715	42272501	0.999767
-48.6	1035	11750	42271641	0.999747
-48.5	1078	12828	42270606	0.999722
-48.4	1392	14220	42269528	0.999697
-48.3	1193	15413	42268136	0.999664
-48.2	1342	16755	42266943	0.999635
-48.1	1261	18016	42265601	0.999604
-48	1360	19376	42264340	0.999574
-47.9	1666	21042	42262980	0.999542
-47.8	1695	22737	42261314	0.999502
-47.7	1733	24470	42259619	0.999462
-47.6	1943	26413	42257886	0.999421
-47.5	1884	28297	42255943	0.999375
-47.4	2178	30475	42254059	0.999331
-47.3	2305	32780	42251881	0.999279
-47.2	2586	35366	42249576	0.999225
-47.1	2353	37719	42246990	0.999164
-47	2753	40472	42244637	0.999108
-46.9	2687	43159	42241884	0.999043
-46.8	3061	46220	42239197	0.998979
-46.7	2944	49164	42236136	0.998907
-46.6	3333	52497	42233192	0.998837
-46.5	3772	56269	42229859	0.998758
-46.4	3702	59971	42226087	0.998669
-46.3	4036	64007	42222385	0.998582
-46.2	4092	68099	42218349	0.998486
-46.1	4390	72489	42214257	0.998389
-46	4763	77252	42209867	0.998286
-45.9	4781	82033	42205104	0.998173
-45.8	5557	87590	42200323	0.99806
-45.7	5992	93582	42194766	0.997928
-45.6	6605	100187	42188774	0.997787
-45.5	6759	106946	42182169	0.997631
-45.4	6994	113940	42175410	0.997471
-45.3	7519	121459	42168416	0.997305
-45.2	7780	129239	42160897	0.997127
-45.1	8024	137263	42153117	0.996943
-45	7676	144939	42145093	0.996754
-44.9	8665	153604	42137417	0.996572
-44.8	8809	162413	42128752	0.996367
-44.7	8873	171286	42119943	0.996159
-44.6	9331	180617	42111070	0.995949
-44.5	9342	189959	42101739	0.995728
-44.4	10171	200130	42092397	0.995507
-44.3	9928	210058	42082226	0.995267
-44.2	10105	220163	42072298	0.995032
-44.1	10766	230929	42062193	0.994793
-44	10227	241156	42051427	0.994538
-43.9	10969	252125	42041200	0.994297
-43.8	11577	263702	42030231	0.994037
-43.7	11776	275478	42018654	0.993763
-43.6	11079	286557	42006878	0.993485
-43.5	12209	298766	41995799	0.993223
-43.4	13952	312718	41983590	0.992934
-43.3	13097	325815	41969638	0.992604
-43.2	13599	339414	41956541	0.992294
-43.1	14776	354190	41942942	0.991973
-43	14511	368701	41928166	0.991623
-42.9	15589	384290	41913655	0.99128
-42.8	15102	399392	41898066	0.990911
-42.7	15755	415147	41882964	0.990554
-42.6	15727	430874	41867209	0.990182
-42.5	16213	447087	41851482	0.98981
-42.4	17136	464223	41835269	0.989426
-42.3	17159	481382	41818133	0.989021
-42.2	16983	498365	41800974	0.988615
-42.1	18696	517061	41783991	0.988213
-42	18531	535592	41765295	0.987771
-41.9	19597	555189	41746764	0.987333
-41.8	20198	575387	41727167	0.986869
-41.7	20697	596084	41706969	0.986392
-41.6	19630	615714	41686272	0.985902
-41.5	21642	637356	41666642	0.985438
-41.4	21069	658425	41645000	0.984926
-41.3	21870	680295	41623931	0.984428
-41.2	23127	703422	41602061	0.983911
-41.1	23973	727395	41578934	0.983364
-41	24097	751492	41554961	0.982797
-40.9	26045	777537	41530864	0.982227
-40.8	27093	804630	41504819	0.981611
-40.7	27213	831843	41477726	0.98097
-40.6	26959	858802	41450513	0.980326
-40.5	27952	886754	41423554	0.979689
-40.4	28778	915532	41395602	0.979028
-40.3	29981	945513	41366824	0.978347
-40.2	29940	975453	41336843	0.977638
-40.1	31302	1006755	41306903	0.97693
-40	33589	1040344	41275601	0.97619
-39.9	32432	1072776	41242012	0.975395
-39.8	32589	1105365	41209580	0.974628
-39.7	32304	1137669	41176991	0.973858
-39.6	32870	1170539	41144687	0.973094
-39.5	36056	1206595	41111817	0.972316
-39.4	36656	1243251	41075761	0.971463
-39.3	38731	1281982	41039105	0.970596
-39.2	38517	1320499	41000374	0.96968
-39.1	41617	1362116	40961857	0.96877
-39	41499	1403615	40920240	0.967785
-38.9	43351	1446966	40878741	0.966804
-38.8	44500	1491466	40835390	0.965778
-38.7	47747	1539213	40790890	0.964726
-38.6	46576	1585789	40743143	0.963597
-38.5	49432	1635221	40696567	0.962495
-38.4	51011	1686232	40647135	0.961326
-38.3	54140	1740372	40596124	0.96012
-38.2	52906	1793278	40541984	0.958839
-38.1	57272	1850550	40489078	0.957588
-38	56580	1907130	40431806	0.956234
-37.9	58180	1965310	40375226	0.954895
-37.8	59077	2024387	40317046	0.953519
-37.7	61159	2085546	40257969	0.952122
-37.6	61397	2146943	40196810	0.950676
-37.5	62187	2209130	40135413	0.949224
-37.4	63946	2273076	40073226	0.947753
-37.3	63676	2336752	40009280	0.946241
-37.2	66028	2402780	39945604	0.944735
-37.1	68459	2471239	39879576	0.943173
-37	67945	2539184	39811117	0.941554
-36.9	69175	2608359	39743172	0.939947
-36.8	70996	2679355	39673997	0.938311
-36.7	71698	2751053	39603001	0.936632
-36.6	71335	2822388	39531303	0.934936
-36.5	72446	2894834	39459968	0.933249
-36.4	74205	2969039	39387522	0.931536
-36.3	74853	3043892	39313317	0.929781
-36.2	75974	3119866	39238464	0.92801
-36.1	78090	3197956	39162490	0.926214
-36	80773	3278729	39084400	0.924367
-35.9	79913	3358642	39003627	0.922456
-35.8	80926	3439568	38923714	0.920566
-35.7	81293	3520861	38842788	0.918652
-35.6	81186	3602047	38761495	0.91673
-35.5	82728	3684775	38680309	0.91481
-35.4	83743	3768518	38597581	0.912853
-35.3	84237	3852755	38513838	0.910873
-35.2	83840	3936595	38429601	0.90888
-35.1	86027	4022622	38345761	0.906897
-35	87138	4109760	38259734	0.904863
-34.9	87626	4197386	38172596	0.902802
-34.8	87870	4285256	38084970	0.90073
-34.7	90100	4375356	37997100	0.898651
-34.6	93150	4468506	37907000	0.896521
-34.5	90981	4559487	37813850	0.894317
-34.4	93147	4652634	37722869	0.892166
-34.3	93086	4745720	37629722	0.889963
-34.2	92808	4838528	37536636	0.887761
-34.1	94325	4932853	37443828	0.885566
-34	97650	5030503	37349503	0.883335
-33.9	99378	5129881	37251853	0.881026
-33.8	99579	5229460	37152475	0.878676
-33.7	102510	5331970	37052896	0.876321
-33.6	102729	5434699	36950386	0.873896
-33.5	102711	5537410	36847657	0.871467
-33.4	106822	5644232	36744946	0.869037
-33.3	104930	5749162	36638124	0.866511
-33.2	104048	5853210	36533194	0.864029
-33.1	104551	5957761	36429146	0.861568
-33	105254	6063015	36324595	0.859096
-32.9	104862	6167877	36219341	0.856607
-32.8	108370	6276247	36114479	0.854126
-32.7	107902	6384149	36006109	0.851563
-32.6	110109	6494258	35898207	0.849012
-32.5	111453	6605711	35788098	0.846407
-32.4	114178	6719889	35676645	0.843771
-32.3	116478	6836367	35562467	0.841071
-32.2	117615	6953982	35445989	0.838316
-32.1	121603	7075585	35328374	0.835535
-32	124949	7200534	35206771	0.832659
-31.9	124061	7324595	35081822	0.829704
-31.8	129499	7454094	34957761	0.826769
-31.7	130944	7585038	34828262	0.823707
-31.6	134219	7719257	34697318	0.82061
-31.5	138808	7858065	34563099	0.817436
-31.4	140741	7998806	34424291	0.814153
-31.3	198074	8196880	34283550	0.810824
-31.2	147236	8344116	34085476	0.806139
-31.1	154699	8498815	33938240	0.802657
-31	153094	8651909	33783541	0.798999
-30.9	150641	8802550	33630447	0.795378
-30.8	158888	8961438	33479806	0.791815
-30.7	157473	9118911	33320918	0.788057
-30.6	156819	9275730	33163445	0.784333
-30.5	159367	9435097	33006626	0.780624
-30.4	162002	9597099	32847259	0.776855
-30.3	159646	9756745	32685257	0.773024
-30.2	167503	9924248	32525611	0.769248
-30.1	166158	10090406	32358108	0.765286
-30	169047	10259453	32191950	0.761357
-29.9	169216	10428669	32022903	0.757359
-29.8	168562	10597231	31853687	0.753356
-29.7	171111	10768342	31685125	0.74937
-29.6	171429	10939771	31514014	0.745323
-29.5	169343	11109114	31342585	0.741269
-29.4	174017	11283131	31173242	0.737264
-29.3	172390	11455521	30999225	0.733148
-29.2	175245	11630766	30826835	0.729071
-29.1	175770	11806536	30651590	0.724926
-29	177374	11983910	30475820	0.720769
-28.9	178768	12162678	30298446	0.716574
-28.8	176516	12339194	30119678	0.712346
-28.7	179589	12518783	29943162	0.708172
-28.6	177432	12696215	29763573	0.703924
-28.5	177684	12873899	29586141	0.699728
-28.4	176702	13050601	29408457	0.695526
-28.3	172114	13222715	29231755	0.691346
-28.2	173289	13396004	29059641	0.687276
-28.1	169358	13565362	28886352	0.683177
-28	170400	13735762	28716994	0.679172
-27.9	170194	13905956	28546594	0.675142
-27.8	166204	14072160	28376400	0.671117
-27.7	164805	14236965	28210196	0.667186
-27.6	166330	14403295	28045391	0.663288
-27.5	166549	14569844	27879061	0.659354
-27.4	167843	14737687	27712512	0.655416
-27.3	164561	14902248	27544669	0.651446
-27.2	169459	15071707	27380108	0.647554
-27.1	166114	15237821	27210649	0.643546
-27	166134	15403955	27044535	0.639618
-26.9	167693	15571648	26878401	0.635688
-26.8	169668	15741316	26710708	0.631722
-26.7	167500	15908816	26541040	0.62771
-26.6	167884	16076700	26373540	0.623748
-26.5	166462	16243162	26205656	0.619778
-26.4	170058	16413220	26039194	0.615841
