#score	occ	co	cco	dCDF
-50.4	9	9	21141169	1
-50.3	35	44	21141134	0.999998
-50.2	57	101	21141077	0.999995
-50.1	145	246	21140932	0.999988
-50	157	403	21140775	0.999981
-49.9	142	545	21140633	0.999974
-49.8	170	715	21140463	0.999966
-49.7	164	879	21140299	0.999958
-49.6	175	1054	21140124	0.99995
-49.5	324	1378	21139800	0.999935
-49.4	288	1666	21139512	0.999921
-49.3	425	2091	21139087	0.999901
-49.2	417	2508	21138670	0.999881
-49.1	367	2875	21138303	0.999864
-49	424	3299	21137879	0.999844
-48.9	310	3609	21137569	0.999829
-48.8	290	3899	21137279	0.999816
-48.7	356	4255	21136923	0.999799
-48.6	442	4697	21136481	0.999778
-48.5	578	5275	21135903	0.99975
-48.4	627	5902	21135276	0.999721
-48.3	664	6566	21134612	0.999689
-48.2	651	7217	21133961	0.999659
-48.1	645	7862	21133316	0.999628
-48	588	8450	21132728	0.9996
-47.9	830	9280	21131898	0.999561
-47.8	851	10131	21131047	0.999521
-47.7	851	10982	21130196	0.999481
-47.6	910	11892	21129286	0.999437
-47.5	926	12818	21128360	0.999394
-47.4	1163	13981	21127197	0.999339
-47.3	1189	15170	21126008	0.999282
-47.2	1424	16594	21124584	0.999215
-47.1	1139	17733	21123445	0.999161
-47	1487	19220	21121958	0.999091
-46.9	1322	20542	21120636	0.999028
-46.8	1500	22042	21119136	0.998957
-46.7	1487	23529	21117649	0.998887
-46.6	1661	25190	21115988	0.998808
-46.5	1716	26906	21114272	0.998727
-46.4	1726	28632	21112546	0.998646
-46.3	1856	30488	21110690	0.998558
-46.2	1831	32319	21108859	0.998471
-46.1	1920	34239	21106939	0.99838
-46	2348	36587	21104591	0.998269
-45.9	2158	38745	21102433	0.998167
-45.8	2559	41304	21099874	0.998046
-45.7	2888	44192	21096986	0.99791
-45.6	3280	47472	21093706	0.997755
-45.5	3197	50669	21090509	0.997603
-45.4	3431	54100	21087078	0.997441
-45.3	3598	57698	21083480	0.997271
-45.2	3863	61561	21079617	0.997088
-45.1	3685	65246	21075932	0.996914
-45	3745	68991	21072187	0.996737
-44.9	3909	72900	21068278	0.996552
-44.8	4333	77233	21063945	0.996347
-44.7	4530	81763	21059415	0.996133
-44.6	4905	86668	21054510	0.995901
-44.5	5014	91682	21049496	0.995663
-44.4	5240	96922	21044256	0.995415
-44.3	5248	102170	21039008	0.995167
-44.2	5291	107461	21033717	0.994917
-44.1	5321	112782	21028396	0.994665
-44	4915	117697	21023481	0.994433
-43.9	5175	122872	21018306	0.994188
-43.8	5565	128437	21012741	0.993925
-43.7	5402	133839	21007339	0.993669
-43.6	5491	139330	21001848	0.99341
-43.5	5980	145310	20995868	0.993127
-43.4	6903	152213	20988965	0.9928
-43.3	6785	158998	20982180	0.992479
-43.2	6927	165925	20975253	0.992152
-43.1	7077	173002	20968176	0.991817
-43	7082	180084	20961094	0.991482
-42.9	7865	187949	20953229	0.99111
-42.8	7194	195143	20946035	0.99077
-42.7	7779	202922	20938256	0.990402
-42.6	7888	210810	20930368	0.990028
-42.5	7990	218800	20922378	0.989651
-42.4	8047	226847	20914331	0.98927
-42.3	8641	235488	20905690	0.988861
-42.2	7899	243387	20897791	0.988488
-42.1	9135	252522	20888656	0.988055
-42	8602	261124	20880054	0.987649
-41.9	9445	270569	20870609	0.987202
-41.8	9612	280181	20860997	0.986747
-41.7	9427	289608	20851570	0.986301
-41.6	9537	299145	20842033	0.98585
-41.5	10595	309740	20831438	0.985349
-41.4	9774	319514	20821664	0.984887
-41.3	11257	330771	20810407	0.984354
-41.2	11209	341980	20799198	0.983824
-41.1	11867	353847	20787331	0.983263
-41	11569	365416	20775762	0.982715
-40.9	13045	378461	20762717	0.982098
-40.8	13213	391674	20749504	0.981473
-40.7	13809	405483	20735695	0.98082
-40.6	13698	419181	20721997	0.980172
-40.5	14341	433522	20707656	0.979494
-40.4	14858	448380	20692798	0.978791
-40.3	15182	463562	20677616	0.978073
-40.2	15063	478625	20662553	0.977361
-40.1	15535	494160	20647018	0.976626
-40	18176	512336	20628842	0.975766
-39.9	16559	528895	20612283	0.974983
-39.8	16808	545703	20595475	0.974188
-39.7	16428	562131	20579047	0.973411
-39.6	17133	579264	20561914	0.9726
-39.5	19109	598373	20542805	0.971696
-39.4	19342	617715	20523463	0.970781
-39.3	20565	638280	20502898	0.969809
-39.2	19665	657945	20483233	0.968879
-39.1	21568	679513	20461665	0.967858
-39	21123	700636	20440542	0.966859
-38.9	22030	722666	20418512	0.965817
-38.8	22190	744856	20396322	0.964768
-38.7	23682	768538	20372640	0.963647
