#score	occ	co	cco	dCDF
-51	10	10	21141168	1
-50.9	0	10	21141168	1
-50.8	0	10	21141168	1
-50.7	50	60	21141118	0.999997
-50.6	22	82	21141096	0.999996
-50.5	93	175	21141003	0.999992
-50.4	36	211	21140967	0.99999
-50.3	183	394	21140784	0.999981
-50.2	111	505	21140673	0.999976
-50.1	268	773	21140405	0.999963
-50	331	1104	21140074	0.999948
-49.9	392	1496	21139682	0.999929
-49.8	381	1877	21139301	0.999911
-49.7	757	2634	21138544	0.999875
-49.6	883	3517	21137661	0.999834
-49.5	851	4368	21136810	0.999793
-49.4	987	5355	21135823	0.999747
-49.3	1170	6525	21134653	0.999691
-49.2	1350	7875	21133303	0.999628
-49.1	1137	9012	21132166	0.999574
-49	1289	10301	21130877	0.999513
-48.9	1235	11536	21129642	0.999454
-48.8	1416	12952	21128226	0.999387
-48.7	1152	14104	21127074	0.999333
-48.6	1413	15517	21125661	0.999266
-48.5	1211	16728	21124450	0.999209
-48.4	1076	17804	21123374	0.999158
-48.3	1192	18996	21122182	0.999101
-48.2	1057	20053	21121125	0.999051
-48.1	1101	21154	21120024	0.998999
-48	918	22072	21119106	0.998956
-47.9	1145	23217	21117961	0.998902
-47.8	991	24208	21116970	0.998855
-47.7	1099	25307	21115871	0.998803
-47.6	1008	26315	21114863	0.998755
-47.5	1272	27587	21113591	0.998695
-47.4	1116	28703	21112475	0.998642
-47.3	1253	29956	21111222	0.998583
-47.2	1280	31236	21109942	0.998523
-47.1	1759	32995	21108183	0.998439
-47	1580	34575	21106603	0.998365
-46.9	1783	36358	21104820	0.99828
-46.8	1962	38320	21102858	0.998187
-46.7	1761	40081	21101097	0.998104
-46.6	2078	42159	21099019	0.998006
-46.5	2395	44554	21096624	0.997893
-46.4	2468	47022	21094156	0.997776
-46.3	2771	49793	21091385	0.997645
-46.2	2862	52655	21088523	0.997509
-46.1	3182	55837	21085341	0.997359
-46	3117	58954	21082224	0.997211
-45.9	3430	62384	21078794	0.997049
-45.8	3737	66121	21075057	0.996872
-45.7	3951	70072	21071106	0.996686
-45.6	4353	74425	21066753	0.99648
-45.5	4296	78721	21062457	0.996276
-45.4	7186	85907	21055271	0.995937
-45.3	4775	90682	21050496	0.995711
-45.2	4949	95631	21045547	0.995477
-45.1	5037	100668	21040510	0.995238
-45	5726	106394	21034784	0.994967
-44.9	5234	111628	21029550	0.99472
-44.8	5670	117298	21023880	0.994452
-44.7	6044	123342	21017836	0.994166
-44.6	6135	129477	21011701	0.993876
-44.5	6044	135521	21005657	0.99359
-44.4	5975	141496	20999682	0.993307
-44.3	6628	148124	20993054	0.992994
-44.2	6943	155067	20986111	0.992665
-44.1	6967	162034	20979144	0.992336
-44	7021	169055	20972123	0.992004
-43.9	6879	175934	20965244	0.991678
-43.8	6981	182915	20958263	0.991348
-43.7	7057	189972	20951206	0.991014
-43.6	7516	197488	20943690	0.990659
-43.5	7451	204939	20936239	0.990306
-43.4	7966	212905	20928273	0.989929
-43.3	8139	221044	20920134	0.989544
-43.2	8047	229091	20912087	0.989164
-43.1	8361	237452	20903726	0.988768
-43	8167	245619	20895559	0.988382
-42.9	8455	254074	20887104	0.987982
-42.8	8533	262607	20878571	0.987578
-42.7	9336	271943	20869235	0.987137
-42.6	9279	281222	20859956	0.986698
-42.5	10532	291754	20849424	0.9862
-42.4	11094	302848	20838330	0.985675
-42.3	11614	314462	20826716	0.985126
-42.2	11097	325559	20815619	0.984601
-42.1	10642	336201	20804977	0.984097
-42	11599	347800	20793378	0.983549
-41.9	11497	359297	20781881	0.983005
-41.8	12443	371740	20769438	0.982416
-41.7	12530	384270	20756908	0.981824
-41.6	12825	397095	20744083	0.981217
-41.5	12797	409892	20731286	0.980612
-41.4	12768	422660	20718518	0.980008
-41.3	13542	436202	20704976	0.979367
-41.2	13225	449427	20691751	0.978742
-41.1	13567	462994	20678184	0.9781
-41	14411	477405	20663773	0.977418
-40.9	14190	491595	20649583	0.976747
-40.8	14398	505993	20635185	0.976066
-40.7	15210	521203	20619975	0.975347
-40.6	15203	536406	20604772	0.974627
-40.5	15581	551987	20589191	0.97389
-40.4	16594	568581	20572597	0.973106
-40.3	15589	584170	20557008	0.972368
-40.2	17420	601590	20539588	0.971544
-40.1	16821	618411	20522767	0.970749
-40	17063	635474	20505704	0.969941
-39.9	18097	653571	20487607	0.969085
-39.8	18099	671670	20469508	0.968229
-39.7	19589	691259	20449919	0.967303
-39.6	19975	711234	20429944	0.966358
-39.5	20377	731611	20409567	0.965394
-39.4	20694	752305	20388873	0.964415
-39.3	21281	773586	20367592	0.963409
-39.2	21532	795118	20346060	0.96239
-39.1	22390	817508	20323670	0.961331
-39	23219	840727	20300451	0.960233
-38.9	23387	864114	20277064	0.959126
-38.8	23799	887913	20253265	0.958001
-38.7	24542	912455	20228723	0.95684
-38.6	26209	938664	20202514	0.9556
-38.5	26006	964670	20176508	0.95437
-38.4	26953	991623	20149555	0.953095
-38.3	27349	1018972	20122206	0.951802
-38.2	28857	1047829	20093349	0.950437
-38.1	28738	1076567	20064611	0.949077
-38	29727	1106294	20034884	0.947671
-37.9	31162	1137456	20003722	0.946197
-37.8	32581	1170037	19971141	0.944656
-37.7	33528	1203565	19937613	0.94307
-37.6	32378	1235943	19905235	0.941539
-37.5	32835	1268778	19872400	0.939985
-37.4	34428	1303206	19837972	0.938357
-37.3	34521	1337727	19803451	0.936724
-37.2	34622	1372349	19768829	0.935086
-37.1	34626	1406975	19734203	0.933449
-37	35595	1442570	19698608	0.931765
