#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-51.4	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.3	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.2	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.1	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51	1.0e+00	<NULL>	<NULL>	1	0.999999
-50.9	1.0e+00	<NULL>	<NULL>	1	0.999999
-50.8	1.0e+00	<NULL>	<NULL>	1	0.999999
-50.7	1.0e+00	<NULL>	<NULL>	0.999997	0.999999
-50.6	1.0e+00	<NULL>	<NULL>	0.999996	0.999998
-50.5	1.0e+00	<NULL>	<NULL>	0.999992	0.999996
-50.4	1.0e+00	<NULL>	<NULL>	0.99999	0.999995
-50.3	1.0e+00	<NULL>	<NULL>	0.999981	0.999979
-50.2	1.0e+00	<NULL>	<NULL>	0.999976	0.999976
-50.1	1.0e+00	<NULL>	<NULL>	0.999963	0.999968
-50	1.0e+00	<NULL>	<NULL>	0.999948	0.999962
-49.9	1.0e+00	<NULL>	<NULL>	0.999929	0.999954
-49.8	1.0e+00	<NULL>	<NULL>	0.999911	0.999945
-49.7	1.0e+00	<NULL>	<NULL>	0.999875	0.999936
-49.6	1.0e+00	1.00000	1.00000	0.999834	0.999926
-49.5	1.0e+00	1.00000	1.00000	0.999793	0.999917
-49.4	1.0e+00	1.00000	1.00000	0.999747	0.999899
-49.3	1.0e+00	1.00000	1.00000	0.999691	0.999885
-49.2	1.0e+00	1.00000	1.00000	0.999628	0.999863
-49.1	1.0e+00	1.00000	1.00000	0.999574	0.999843
-49	1.0e+00	1.00000	1.00000	0.999513	0.999825
-48.9	1.0e+00	1.00000	1.00000	0.999454	0.999803
-48.8	1.0e+00	1.00000	1.00000	0.999387	0.999785
-48.7	1.0e+00	1.00000	1.00000	0.999333	0.999767
-48.6	1.0e+00	1.00000	1.00000	0.999266	0.999747
-48.5	1.0e+00	1.00000	1.00000	0.999209	0.999722
-48.4	1.0e+00	1.00000	1.00000	0.999158	0.999697
-48.3	1.0e+00	1.00000	1.00000	0.999101	0.999664
-48.2	1.0e+00	1.00000	1.00000	0.999051	0.999635
-48.1	1.0e+00	1.00000	1.00000	0.998999	0.999604
-48	1.0e+00	1.00000	1.00000	0.998956	0.999574
-47.9	1.0e+00	1.00000	1.00000	0.998902	0.999542
-47.8	1.0e+00	1.00000	1.00000	0.998855	0.999502
-47.7	1.0e+00	1.00000	1.00000	0.998803	0.999462
-47.6	1.0e+00	1.00000	1.00000	0.998755	0.999421
-47.5	1.0e+00	1.00000	1.00000	0.998695	0.999375
-47.4	1.0e+00	1.00000	1.00000	0.998642	0.999331
-47.3	1.0e+00	1.00000	1.00000	0.998583	0.999279
-47.2	1.0e+00	1.00000	1.00000	0.998523	0.999225
-47.1	1.0e+00	1.00000	1.00000	0.998439	0.999164
-47	1.0e+00	1.00000	1.00000	0.998365	0.999108
-46.9	1.0e+00	1.00000	1.00000	0.99828	0.999043
-46.8	1.0e+00	1.00000	1.00000	0.998187	0.998979
-46.7	1.0e+00	1.00000	1.00000	0.998104	0.998907
