; matrix-distrib  -v 1 -m $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do463plusdo466_mmus_foxa1_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do463plusdo466_mmus_foxa1_liver_meme_top_m1_matrix.tab -matrix_format tab -pseudo 1 -bgfile $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab -bg_format inclusive -bg_pseudo 0.01 -decimals 1 -o $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do463plusdo466_mmus_foxa1_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do463plusdo466_mmus_foxa1_liver_meme_top_m1_theor_score_distrib.tab
; Input files
;	bgfile	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab
; Output files
;	output	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do463plusdo466_mmus_foxa1_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do463plusdo466_mmus_foxa1_liver_meme_top_m1_theor_score_distrib.tab
; Background model
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26457
;		c	0.23303
;		g	0.23983
;		t	0.26257
;
; Matrix: matrix-quality_2014-09-05
;
; Theoretical distribution of weight probabilities
;	1	weight      	log-likelihood score: w=P(S|M)/P(S|B)
;	2	proba       	probability density function: P(W=w)
;	3	cum         	cumulative density function: P(W <= w)
;	4	Pval        	P-value = inverse cumulative density function: Pval = P(W >= w)
;	5	ln_Pval     	natural logarithm of the P-value
;	6	log_P       	base 10 logarithm of the P-value
;	7	sig         	significance: sig = -log10(Pval)
#weight	proba	cum	Pval	ln_Pval	log_P	sig
-51.0	NA	0.0e+00	1.0e+00	0.000	-0	0.000
-50.9	1.4e-06	1.4e-06	1.0e+00	0.000	-0	0.000
-50.8	NA	1.4e-06	1.0e+00	-0.000	-0	0.000
-50.7	4.9e-06	6.4e-06	1.0e+00	-0.000	-0	0.000
-50.6	NA	6.4e-06	1.0e+00	-0.000	-0	0.000
-50.5	3.4e-06	9.8e-06	1.0e+00	-0.000	-0	0.000
-50.4	6.6e-06	1.6e-05	1.0e+00	-0.000	-0	0.000
-50.3	6.8e-06	2.3e-05	1.0e+00	-0.000	-0	0.000
-50.2	1.1e-05	3.4e-05	1.0e+00	-0.000	-0	0.000
-50.1	1.4e-05	4.8e-05	1.0e+00	-0.000	-0	0.000
-50.0	2.1e-05	6.8e-05	1.0e+00	-0.000	-0	0.000
-49.9	2.5e-05	9.3e-05	1.0e+00	-0.000	-0	0.000
-49.8	2.6e-05	1.2e-04	1.0e+00	-0.000	-0	0.000
-49.7	3.0e-05	1.5e-04	1.0e+00	-0.000	-0	0.000
-49.6	3.7e-05	1.9e-04	1.0e+00	-0.000	-0	0.000
-49.5	4.3e-05	2.3e-04	1.0e+00	-0.000	-0	0.000
-49.4	5.3e-05	2.8e-04	1.0e+00	-0.000	-0	0.000
-49.3	4.4e-05	3.3e-04	1.0e+00	-0.000	-0	0.000
-49.2	5.9e-05	3.9e-04	1.0e+00	-0.000	-0	0.000
-49.1	6.5e-05	4.5e-04	1.0e+00	-0.000	-0	0.000
-49.0	7.2e-05	5.2e-04	1.0e+00	-0.000	-0	0.000
-48.9	6.5e-05	5.9e-04	1.0e+00	-0.001	-0	0.000
-48.8	6.4e-05	6.5e-04	1.0e+00	-0.001	-0	0.000
-48.7	6.5e-05	7.2e-04	1.0e+00	-0.001	-0	0.000
-48.6	6.6e-05	7.8e-04	1.0e+00	-0.001	-0	0.000
-48.5	8.0e-05	8.6e-04	1.0e+00	-0.001	-0	0.000
-48.4	6.6e-05	9.3e-04	1.0e+00	-0.001	-0	0.000
-48.3	6.3e-05	9.9e-04	1.0e+00	-0.001	-0	0.000
