; classfreq  -v 1 -ci 0.1 -min -50.4
;
;
;
;
;
;
;
;
;
#[min	n	n_cum	n_dcum	f_dcum
-50.4	0	0	269	1.00000
-50.3	0	0	269	1.00000
-50.2	0	0	269	1.00000
-50.1	0	0	269	1.00000
-50	0	0	269	1.00000
-49.9	0	0	269	1.00000
-49.8	0	0	269	1.00000
-49.7	0	0	269	1.00000
-49.6	0	0	269	1.00000
-49.5	0	0	269	1.00000
-49.4	0	0	269	1.00000
-49.3	0	0	269	1.00000
-49.2	0	0	269	1.00000
-49.1	0	0	269	1.00000
-49	0	0	269	1.00000
-48.9	0	0	269	1.00000
-48.8	0	0	269	1.00000
-48.7	0	0	269	1.00000
-48.6	0	0	269	1.00000
-48.5	0	0	269	1.00000
-48.4	0	0	269	1.00000
-48.3	0	0	269	1.00000
-48.2	0	0	269	1.00000
-48.1	0	0	269	1.00000
-48	0	0	269	1.00000
-47.9	0	0	269	1.00000
-47.8	0	0	269	1.00000
-47.7	0	0	269	1.00000
-47.6	0	0	269	1.00000
-47.5	0	0	269	1.00000
-47.4	0	0	269	1.00000
-47.3	0	0	269	1.00000
-47.2	0	0	269	1.00000
-47.1	0	0	269	1.00000
-47	0	0	269	1.00000
-46.9	0	0	269	1.00000
-46.8	0	0	269	1.00000
-46.7	0	0	269	1.00000
-46.6	0	0	269	1.00000
-46.5	0	0	269	1.00000
-46.4	0	0	269	1.00000
-46.3	0	0	269	1.00000
-46.2	0	0	269	1.00000
-46.1	0	0	269	1.00000
-46	0	0	269	1.00000
-45.9	0	0	269	1.00000
-45.8	0	0	269	1.00000
-45.7	0	0	269	1.00000
-45.6	0	0	269	1.00000
-45.5	0	0	269	1.00000
-45.4	0	0	269	1.00000
-45.3	0	0	269	1.00000
-45.2	0	0	269	1.00000
-45.1	0	0	269	1.00000
-45	0	0	269	1.00000
-44.9	0	0	269	1.00000
-44.8	0	0	269	1.00000
-44.7	0	0	269	1.00000
-44.6	0	0	269	1.00000
-44.5	0	0	269	1.00000
-44.4	0	0	269	1.00000
-44.3	0	0	269	1.00000
-44.2	0	0	269	1.00000
-44.1	0	0	269	1.00000
-44	0	0	269	1.00000
-43.9	0	0	269	1.00000
-43.8	0	0	269	1.00000
-43.7	0	0	269	1.00000
-43.6	0	0	269	1.00000
-43.5	0	0	269	1.00000
-43.4	0	0	269	1.00000
-43.3	0	0	269	1.00000
-43.2	0	0	269	1.00000
-43.1	0	0	269	1.00000
-43	0	0	269	1.00000
-42.9	0	0	269	1.00000
-42.8	0	0	269	1.00000
-42.7	0	0	269	1.00000
-42.6	0	0	269	1.00000
-42.5	0	0	269	1.00000
-42.4	0	0	269	1.00000
-42.3	0	0	269	1.00000
-42.2	0	0	269	1.00000
-42.1	0	0	269	1.00000
-42	0	0	269	1.00000
-41.9	0	0	269	1.00000
-41.8	0	0	269	1.00000
-41.7	0	0	269	1.00000
-41.6	0	0	269	1.00000
-41.5	0	0	269	1.00000
-41.4	0	0	269	1.00000
-41.3	0	0	269	1.00000
-41.2	0	0	269	1.00000
-41.1	0	0	269	1.00000
-41	0	0	269	1.00000
-40.9	0	0	269	1.00000
-40.8	0	0	269	1.00000
-40.7	0	0	269	1.00000
-40.6	0	0	269	1.00000
-40.5	0	0	269	1.00000
-40.4	0	0	269	1.00000
-40.3	0	0	269	1.00000
-40.2	0	0	269	1.00000
-40.1	0	0	269	1.00000
-40	0	0	269	1.00000
-39.9	0	0	269	1.00000
-39.8	0	0	269	1.00000
-39.7	0	0	269	1.00000
-39.6	0	0	269	1.00000
-39.5	0	0	269	1.00000
-39.4	0	0	269	1.00000
-39.3	0	0	269	1.00000
-39.2	0	0	269	1.00000
-39.1	0	0	269	1.00000
-39	0	0	269	1.00000
-38.9	0	0	269	1.00000
-38.8	0	0	269	1.00000
-38.7	0	0	269	1.00000
-38.6	0	0	269	1.00000
-38.5	0	0	269	1.00000
-38.4	0	0	269	1.00000
-38.3	0	0	269	1.00000
-38.2	0	0	269	1.00000
-38.1	0	0	269	1.00000
-38	0	0	269	1.00000
-37.9	0	0	269	1.00000
-37.8	0	0	269	1.00000
-37.7	0	0	269	1.00000
-37.6	0	0	269	1.00000
-37.5	0	0	269	1.00000
-37.4	0	0	269	1.00000
-37.3	0	0	269	1.00000
-37.2	0	0	269	1.00000
-37.1	0	0	269	1.00000
-37	0	0	269	1.00000
-36.9	0	0	269	1.00000
-36.8	0	0	269	1.00000
-36.7	0	0	269	1.00000
-36.6	0	0	269	1.00000
-36.5	0	0	269	1.00000
-36.4	0	0	269	1.00000
-36.3	0	0	269	1.00000
-36.2	0	0	269	1.00000
-36.1	0	0	269	1.00000
-36	0	0	269	1.00000
-35.9	0	0	269	1.00000
-35.8	0	0	269	1.00000
-35.7	0	0	269	1.00000
-35.6	0	0	269	1.00000
-35.5	0	0	269	1.00000
-35.4	0	0	269	1.00000
-35.3	0	0	269	1.00000
-35.2	0	0	269	1.00000
-35.1	0	0	269	1.00000
-35	0	0	269	1.00000
-34.9	0	0	269	1.00000
-34.8	0	0	269	1.00000
-34.7	0	0	269	1.00000
-34.6	0	0	269	1.00000
-34.5	0	0	269	1.00000
-34.4	0	0	269	1.00000
-34.3	0	0	269	1.00000
-34.2	0	0	269	1.00000
-34.1	0	0	269	1.00000
-34	0	0	269	1.00000
-33.9	0	0	269	1.00000
-33.8	0	0	269	1.00000
-33.7	0	0	269	1.00000
-33.6	0	0	269	1.00000
-33.5	0	0	269	1.00000
-33.4	0	0	269	1.00000
-33.3	0	0	269	1.00000
-33.2	0	0	269	1.00000
-33.1	0	0	269	1.00000
-33	0	0	269	1.00000
-32.9	0	0	269	1.00000
-32.8	0	0	269	1.00000
-32.7	0	0	269	1.00000
