#weight	occ	cum	dcum	dCDF
-50.6	6	6	42282356	      1
-50.5	16	22	42282350	      1
-50.4	20	42	42282334	0.999999
-50.3	9	51	42282314	0.999999
-50.2	13	64	42282305	0.999999
-50.1	23	87	42282292	0.999998
-50	31	118	42282269	0.999998
-49.9	27	145	42282238	0.999997
-49.8	36	181	42282211	0.999997
-49.7	49	230	42282175	0.999996
-49.6	72	302	42282126	0.999995
-49.5	63	365	42282054	0.999993
-49.4	66	431	42281991	0.999991
-49.3	102	533	42281925	0.99999
-49.2	125	658	42281823	0.999987
-49.1	205	863	42281698	0.999984
-49	181	1044	42281493	0.99998
-48.9	204	1248	42281312	0.999975
-48.8	188	1436	42281108	0.99997
-48.7	299	1735	42280920	0.999966
-48.6	285	2020	42280621	0.999959
-48.5	296	2316	42280336	0.999952
-48.4	247	2563	42280040	0.999945
-48.3	339	2902	42279793	0.999939
-48.2	476	3378	42279454	0.999931
-48.1	478	3856	42278978	0.99992
-48	536	4392	42278500	0.999909
-47.9	475	4867	42277964	0.999896
-47.8	677	5544	42277489	0.999885
-47.7	602	6146	42276812	0.999869
-47.6	901	7047	42276210	0.999855
-47.5	713	7760	42275309	0.999833
-47.4	716	8476	42274596	0.999816
-47.3	737	9213	42273880	 0.9998
-47.2	871	10084	42273143	0.999782
-47.1	1065	11149	42272272	0.999762
-47	983	12132	42271207	0.999736
-46.9	904	13036	42270224	0.999713
-46.8	916	13952	42269320	0.999692
-46.7	1341	15293	42268404	0.99967
-46.6	1169	16462	42267063	0.999638
-46.5	1197	17659	42265894	0.999611
-46.4	1039	18698	42264697	0.999582
-46.3	1232	19930	42263658	0.999558
-46.2	1442	21372	42262426	0.999529
-46.1	1454	22826	42260984	0.999495
-46	1442	24268	42259530	0.99946
-45.9	1542	25810	42258088	0.999426
-45.8	1365	27175	42256546	0.99939
-45.7	1806	28981	42255181	0.999357
-45.6	2010	30991	42253375	0.999315
-45.5	1945	32936	42251365	0.999267
-45.4	2292	35228	42249420	0.999221
-45.3	2129	37357	42247128	0.999167
-45.2	2395	39752	42244999	0.999116
-45.1	2366	42118	42242604	0.99906
-45	3066	45184	42240238	0.999004
-44.9	2901	48085	42237172	0.998931
-44.8	2838	50923	42234271	0.998863
-44.7	3235	54158	42231433	0.998796
-44.6	3177	57335	42228198	0.998719
-44.5	3988	61323	42225021	0.998644
-44.4	4156	65479	42221033	0.99855
-44.3	4582	70061	42216877	0.998451
-44.2	4826	74887	42212295	0.998343
-44.1	6090	80977	42207469	0.998229
-44	6481	87458	42201379	0.998085
-43.9	7134	94592	42194898	0.997932
-43.8	7297	101889	42187764	0.997763
-43.7	7714	109603	42180467	0.99759
-43.6	8613	118216	42172753	0.997408
-43.5	9129	127345	42164140	0.997204
-43.4	9469	136814	42155011	0.996988
-43.3	9593	146407	42145542	0.996764
-43.2	10192	156599	42135949	0.996537
-43.1	11113	167712	42125757	0.996296
-43	12527	180239	42114644	0.996034
-42.9	12866	193105	42102117	0.995737
-42.8	13148	206253	42089251	0.995433
-42.7	13434	219687	42076103	0.995122
-42.6	14178	233865	42062669	0.994804
-42.5	14438	248303	42048491	0.994469
-42.4	14395	262698	42034053	0.994128
-42.3	15209	277907	42019658	0.993787
-42.2	14881	292788	42004449	0.993427
-42.1	15894	308682	41989568	0.993075
-42	16793	325475	41973674	 0.9927
-41.9	18725	344200	41956881	0.992302
-41.8	18465	362665	41938156	0.991859
-41.7	18561	381226	41919691	0.991423
-41.6	19673	400899	41901130	0.990984
-41.5	19526	420425	41881457	0.990519
-41.4	19825	440250	41861931	0.990057
-41.3	19262	459512	41842106	0.989588
-41.2	20088	479600	41822844	0.989132
-41.1	20342	499942	41802756	0.988657
-41	21314	521256	41782414	0.988176
-40.9	21490	542746	41761100	0.987672
-40.8	21730	564476	41739610	0.987164
-40.7	21019	585495	41717880	0.98665
-40.6	21709	607204	41696861	0.986153
-40.5	21929	629133	41675152	0.985639
-40.4	22528	651661	41653223	0.985121
-40.3	22392	674053	41630695	0.984588
-40.2	23240	697293	41608303	0.984058
-40.1	23438	720731	41585063	0.983509
-40	23185	743916	41561625	0.982954
-39.9	24804	768720	41538440	0.982406
-39.8	25643	794363	41513636	0.981819
-39.7	26347	820710	41487993	0.981213
-39.6	26177	846887	41461646	0.98059
-39.5	28651	875538	41435469	0.979971
-39.4	28747	904285	41406818	0.979293
-39.3	31127	935412	41378071	0.978613
-39.2	30696	966108	41346944	0.977877
-39.1	32698	998806	41316248	0.977151
-39	33500	1032306	41283550	0.976378
-38.9	34685	1066991	41250050	0.975585
-38.8	34622	1101613	41215365	0.974765
-38.7	37364	1138977	41180743	0.973946
-38.6	39137	1178114	41143379	0.973063
-38.5	40671	1218785	41104242	0.972137
-38.4	42736	1261521	41063571	0.971175
-38.3	44059	1305580	41020835	0.970164
-38.2	46127	1351707	40976776	0.969122
-38.1	46228	1397935	40930649	0.968031
-38	50329	1448264	40884421	0.966938
-37.9	50305	1498569	40834092	0.965748
-37.8	54377	1552946	40783787	0.964558
-37.7	54500	1607446	40729410	0.963272
-37.6	57035	1664481	40674910	0.961983
-37.5	58872	1723353	40617875	0.960634
-37.4	61737	1785090	40559003	0.959242
-37.3	63718	1848808	40497266	0.957782
-37.2	64786	1913594	40433548	0.956275
-37.1	66838	1980432	40368762	0.954742
-37	70970	2051402	40301924	0.953162
-36.9	73577	2124979	40230954	0.951483
-36.8	73064	2198043	40157377	0.949743
-36.7	73649	2271692	40084313	0.948015
-36.6	77489	2349181	40010664	0.946273
-36.5	79096	2428277	39933175	0.944441
-36.4	81374	2509651	39854079	0.94257
-36.3	81425	2591076	39772705	0.940645
-36.2	78894	2669970	39691280	0.93872
-36.1	84988	2754958	39612386	0.936854
-36	84266	2839224	39527398	0.934844
-35.9	86937	2926161	39443132	0.932851
-35.8	88357	3014518	39356195	0.930795
-35.7	88369	3102887	39267838	0.928705
-35.6	89689	3192576	39179469	0.926615
-35.5	89667	3282243	39089780	0.924494
-35.4	92375	3374618	39000113	0.922373
-35.3	90261	3464879	38907738	0.920189
-35.2	90610	3555489	38817477	0.918054
-35.1	91725	3647214	38726867	0.915911
-35	90767	3737981	38635142	0.913741
-34.9	92264	3830245	38544375	0.911595
-34.8	87147	3917392	38452111	0.909413
-34.7	90250	4007642	38364964	0.907352
-34.6	90991	4098633	38274714	0.905217
-34.5	90842	4189475	38183723	0.903065
-34.4	91516	4280991	38092881	0.900917
-34.3	92239	4373230	38001365	0.898752
-34.2	94136	4467366	37909126	0.896571
-34.1	92047	4559413	37814990	0.894344
-34	94264	4653677	37722943	0.892167
-33.9	94909	4748586	37628679	0.889938
-33.8	95382	4843968	37533770	0.887693
-33.7	99303	4943271	37438388	0.885438
-33.6	95554	5038825	37339085	0.883089
-33.5	99063	5137888	37243531	0.880829
-33.4	100908	5238796	37144468	0.878486
-33.3	104117	5342913	37043560	 0.8761
-33.2	106226	5449139	36939443	0.873637
-33.1	106324	5555463	36833217	0.871125
-33	107758	5663221	36726893	0.86861
-32.9	105670	5768891	36619135	0.866062
-32.8	112172	5881063	36513465	0.863563
-32.7	114645	5995708	36401293	0.86091
-32.6	117652	6113360	36286648	0.858198
-32.5	120714	6234074	36168996	0.855416
-32.4	120509	6354583	36048282	0.852561
-32.3	124827	6479410	35927773	0.849711
-32.2	127240	6606650	35802946	0.846759
-32.1	129661	6736311	35675706	0.843749
-32	132388	6868699	35546045	0.840683
-31.9	134738	7003437	35413657	0.837552
-31.8	137237	7140674	35278919	0.834365
-31.7	140086	7280760	35141682	0.831119
-31.6	139641	7420401	35001596	0.827806
-31.5	142710	7563111	34861955	0.824504
-31.4	150402	7713513	34719245	0.821128
-31.3	156364	7869877	34568843	0.817571
-31.2	162183	8032060	34412479	0.813873
-31.1	163295	8195355	34250296	0.810038
-31	163642	8358997	34087001	0.806176
-30.9	166844	8525841	33923359	0.802305
-30.8	169359	8695200	33756515	0.798359
-30.7	170030	8865230	33587156	0.794354
-30.6	173244	9038474	33417126	0.790333
-30.5	169385	9207859	33243882	0.786235
-30.4	180578	9388437	33074497	0.782229
-30.3	175348	9563785	32893919	0.777959
-30.2	180772	9744557	32718571	0.773811
-30.1	176740	9921297	32537799	0.769536
-30	180907	10102204	32361059	0.765356
-29.9	183444	10285648	32180152	0.761078
-29.8	184061	10469709	31996708	0.756739
-29.7	186271	10655980	31812647	0.752386
-29.6	182395	10838375	31626376	0.74798
-29.5	184098	11022473	31443981	0.743667
-29.4	183842	11206315	31259883	0.739313
-29.3	184855	11391170	31076041	0.734965
-29.2	184220	11575390	30891186	0.730593
-29.1	183645	11759035	30706966	0.726236
-29	186217	11945252	30523321	0.721893
-28.9	186075	12131327	30337104	0.717488
-28.8	182010	12313337	30151029	0.713088
-28.7	187874	12501211	29969019	0.708783
-28.6	179441	12680652	29781145	0.70434
-28.5	185078	12865730	29601704	0.700096
-28.4	178623	13044353	29416626	0.695719
-28.3	182894	13227247	29238003	0.691494
-28.2	180426	13407673	29055109	0.687169
-28.1	175005	13582678	28874683	0.682901
-28	177574	13760252	28699678	0.678763
-27.9	173702	13933954	28522104	0.674563
-27.8	172087	14106041	28348402	0.670455
-27.7	168913	14274954	28176315	0.666385
-27.6	167276	14442230	28007402	0.66239
-27.5	168625	14610855	27840126	0.658434
-27.4	163427	14774282	27671501	0.654446
-27.3	163825	14938107	27508074	0.65058
-27.2	166817	15104924	27344249	0.646706
-27.1	165746	15270670	27177432	0.642761
-27	161837	15432507	27011686	0.638841
-26.9	160542	15593049	26849849	0.635013
-26.8	162508	15755557	26689307	0.631216
-26.7	161143	15916700	26526799	0.627373
-26.6	162983	16079683	26365656	0.623562
-26.5	166014	16245697	26202673	0.619707
-26.4	166168	16411865	26036659	0.615781
-26.3	163806	16575671	25870491	0.611851
-26.2	169593	16745264	25706685	0.607977
-26.1	168722	16913986	25537092	0.603966
-26	170453	17084439	25368370	0.599975
-25.9	172202	17256641	25197917	0.595944
-25.8	172238	17428879	25025715	0.591871
-25.7	174917	17603796	24853477	0.587798
-25.6	177979	17781775	24678560	0.583661
-25.5	173564	17955339	24500581	0.579452
-25.4	186587	18141926	24327017	0.575347
-25.3	183532	18325458	24140430	0.570934
-25.2	188723	18514181	23956898	0.566593
-25.1	192422	18706603	23768175	0.56213
-25	191574	18898177	23575753	0.557579
-24.9	195413	19093590	23384179	0.553048
-24.8	196996	19290586	23188766	0.548427
-24.7	201530	19492116	22991770	0.543767
-24.6	198807	19690923	22790240	0.539001
-24.5	202417	19893340	22591433	0.534299
-24.4	199768	20093108	22389016	0.529512
-24.3	204446	20297554	22189248	0.524787
-24.2	207624	20505178	21984802	0.519952
-24.1	211291	20716469	21777178	0.515042
-24	210727	20927196	21565887	0.510045
-23.9	220242	21147438	21355160	0.505061
-23.8	217276	21364714	21134918	0.499852
-23.7	220270	21584984	20917642	0.494713
-23.6	219648	21804632	20697372	0.489504
-23.5	222247	22026879	20477724	0.484309
-23.4	220342	22247221	20255477	0.479053
-23.3	220135	22467356	20035135	0.473842
-23.2	225182	22692538	19815000	0.468635
-23.1	218301	22910839	19589818	0.46331
-23	226918	23137757	19371517	0.458147
-22.9	218866	23356623	19144599	0.45278
-22.8	225529	23582152	18925733	0.447604
-22.7	218855	23801007	18700204	0.44227
-22.6	216950	24017957	18481349	0.437094
-22.5	216524	24234481	18264399	0.431963
-22.4	208377	24442858	18047875	0.426842
-22.3	212722	24655580	17839498	0.421914
-22.2	201572	24857152	17626776	0.416883
-22.1	199875	25057027	17425204	0.412115
-22	251501	25308528	17225329	0.407388
-21.9	194907	25503435	16973828	0.40144
-21.8	194230	25697665	16778921	0.39683
-21.7	187489	25885154	16584691	0.392237
-21.6	187909	26073063	16397202	0.387802
-21.5	187974	26261037	16209293	0.383358
-21.4	179916	26440953	16021319	0.378913
-21.3	180450	26621403	15841403	0.374658
-21.2	171240	26792643	15660953	0.37039
-21.1	172105	26964748	15489713	0.36634
-21	167667	27132415	15317608	0.36227
-20.9	165595	27298010	15149941	0.358304
-20.8	163989	27461999	14984346	0.354388
-20.7	157072	27619071	14820357	0.350509
-20.6	162730	27781801	14663285	0.346794
-20.5	152877	27934678	14500555	0.342946
-20.4	156234	28090912	14347678	0.33933
-20.3	148787	28239699	14191444	0.335635
-20.2	144362	28384061	14042657	0.332116
-20.1	144298	28528359	13898295	0.328702
-20	136745	28665104	13753997	0.325289
-19.9	192788	28857892	13617252	0.322055
-19.8	137311	28995203	13424464	0.317496
-19.7	133633	29128836	13287153	0.314248
-19.6	138285	29267121	13153520	0.311088
-19.5	133166	29400287	13015235	0.307817
-19.4	133112	29533399	12882069	0.304668
-19.3	137826	29671225	12748957	0.30152
-19.2	132213	29803438	12611131	0.29826
-19.1	137623	29941061	12478918	0.295133
-19	139098	30080159	12341295	0.291878
-18.9	132307	30212466	12202197	0.288588
-18.8	135326	30347792	12069890	0.285459
-18.7	136586	30484378	11934564	0.282259
-18.6	135501	30619879	11797978	0.279028
-18.5	142753	30762632	11662477	0.275824
-18.4	142116	30904748	11519724	0.272448
-18.3	139991	31044739	11377608	0.269086
-18.2	144556	31189295	11237617	0.265776
-18.1	140623	31329918	11093061	0.262357
-18	145019	31474937	10952438	0.259031
-17.9	146367	31621304	10807419	0.255601
-17.8	147007	31768311	10661052	0.252139
-17.7	148466	31916777	10514045	0.248663
-17.6	148307	32065084	10365579	0.245151
-17.5	148934	32214018	10217272	0.241644
-17.4	147092	32361110	10068338	0.238121
-17.3	150344	32511454	9921246	0.234643
-17.2	145281	32656735	9770902	0.231087
-17.1	148983	32805718	9625621	0.227651
-17	145978	32951696	9476638	0.224127
-16.9	147043	33098739	9330660	0.220675
-16.8	150754	33249493	9183617	0.217197
-16.7	148378	33397871	9032863	0.213632
-16.6	148650	33546521	8884485	0.210123
-16.5	148811	33695332	8735835	0.206607
-16.4	149301	33844633	8587024	0.203088
-16.3	150244	33994877	8437723	0.199557
-16.2	149135	34144012	8287479	0.196003
-16.1	148714	34292726	8138344	0.192476
-16	149839	34442565	7989630	0.188959
-15.9	145339	34587904	7839791	0.185415
-15.8	146487	34734391	7694452	0.181978
-15.7	141514	34875905	7547965	0.178513
-15.6	143744	35019649	7406451	0.175166
-15.5	136810	35156459	7262707	0.171767
-15.4	140953	35297412	7125897	0.168531
-15.3	139325	35436737	6984944	0.165198
-15.2	132582	35569319	6845619	0.161902
-15.1	133923	35703242	6713037	0.158767
-15	125870	35829112	6579114	 0.1556
-14.9	124993	35954105	6453244	0.152623
-14.8	121396	36075501	6328251	0.149666
-14.7	115573	36191074	6206855	0.146795
-14.6	113143	36304217	6091282	0.144062
-14.5	111607	36415824	5978139	0.141386
-14.4	106849	36522673	5866532	0.138747
-14.3	104407	36627080	5759683	0.13622
-14.2	103177	36730257	5655276	0.13375
-14.1	98387	36828644	5552099	0.13131
-14	97970	36926614	5453712	0.128983
-13.9	97203	37023817	5355742	0.126666
-13.8	89728	37113545	5258539	0.124367
-13.7	89344	37202889	5168811	0.122245
-13.6	83153	37286042	5079467	0.120132
-13.5	82131	37368173	4996314	0.118165
-13.4	82131	37450304	4914183	0.116223
-13.3	76895	37527199	4832052	0.114281
-13.2	78927	37606126	4755157	0.112462
-13.1	73880	37680006	4676230	0.110595
-13	75258	37755264	4602350	0.108848
-12.9	72082	37827346	4527092	0.107068
-12.8	66919	37894265	4455010	0.105363
-12.7	67789	37962054	4388091	0.103781
-12.6	62410	38024464	4320302	0.102177
-12.5	63388	38087852	4257892	0.100701
-12.4	63109	38150961	4194504	0.0992022
-12.3	60932	38211893	4131395	0.0977097
-12.2	60159	38272052	4070463	0.0962686
-12.1	59424	38331476	4010304	0.0948458
-12	61871	38393347	3950880	0.0934404
-11.9	58281	38451628	3889009	0.0919771
-11.8	60016	38511644	3830728	0.0905987
-11.7	58928	38570572	3770712	0.0891793
-11.6	58059	38628631	3711784	0.0877856
-11.5	59799	38688430	3653725	0.0864125
-11.4	59114	38747544	3593926	0.0849982
-11.3	57835	38805379	3534812	0.0836002
-11.2	59920	38865299	3476977	0.0822323
-11.1	57923	38923222	3417057	0.0808152
-11	59065	38982287	3359134	0.0794453
-10.9	61548	39043835	3300069	0.0780484
-10.8	61602	39105437	3238521	0.0765927
-10.7	60737	39166174	3176919	0.0751358
-10.6	62077	39228251	3116182	0.0736993
-10.5	60907	39289158	3054105	0.0722312
-10.4	61100	39350258	2993198	0.0707907
-10.3	61183	39411441	2932098	0.0693457
-10.2	60327	39471768	2870915	0.0678987
-10.1	62516	39534284	2810588	0.0664719
-10	60903	39595187	2748072	0.0649934
-9.9	59236	39654423	2687169	0.063553
-9.8	59038	39713461	2627933	0.062152
-9.7	58646	39772107	2568895	0.0607557
-9.6	57936	39830043	2510249	0.0593687
-9.5	56994	39887037	2452313	0.0579985
-9.4	58031	39945068	2395319	0.0566506
-9.3	58293	40003361	2337288	0.0552781
-9.2	55961	40059322	2278995	0.0538994
-9.1	57760	40117082	2223034	0.0525759
-9	54676	40171758	2165274	0.0512099
-8.9	56067	40227825	2110598	0.0499168
-8.8	54567	40282392	2054531	0.0485907
-8.7	55370	40337762	1999964	0.0473002
-8.6	54585	40392347	1944594	0.0459907
-8.5	52486	40444833	1890009	0.0446997
-8.4	52275	40497108	1837523	0.0434584
-8.3	50051	40547159	1785248	0.0422221
-8.2	54054	40601213	1735197	0.0410383
-8.1	49864	40651077	1681143	0.0397599
-8	47291	40698368	1631279	0.0385806
-7.9	46693	40745061	1583988	0.0374622
-7.8	45042	40790103	1537295	0.0363578
-7.7	44037	40834140	1492253	0.0352926
-7.6	42206	40876346	1448216	0.0342511
-7.5	40872	40917218	1406010	0.0332529
-7.4	38366	40955584	1365138	0.0322862
-7.3	36050	40991634	1326772	0.0313789
-7.2	36990	41028624	1290722	0.0305263
-7.1	34716	41063340	1253732	0.0296514
-7	33624	41096964	1219016	0.0288304
-6.9	32695	41129659	1185392	0.0280351
-6.8	29870	41159529	1152697	0.0272619
-6.7	31619	41191148	1122827	0.0265555
-6.6	28688	41219836	1091208	0.0258076
-6.5	27829	41247665	1062520	0.0251292
-6.4	25996	41273661	1034691	0.024471
-6.3	24504	41298165	1008695	0.0238562
-6.2	24482	41322647	984191	0.0232766
-6.1	22481	41345128	959709	0.0226976
-6	22769	41367897	937228	0.0221659
-5.9	21556	41389453	914459	0.0216274
-5.8	20606	41410059	892903	0.0211176
-5.7	20309	41430368	872297	0.0206303
-5.6	19478	41449846	851988	0.02015
-5.5	18891	41468737	832510	0.0196893
