#score	occ	co	cco	dCDF
-50.5	2	2	21141176	1
-50.4	1	3	21141175	1
-50.3	0	3	21141175	1
-50.2	0	3	21141175	1
-50.1	6	9	21141169	1
-50	7	16	21141162	0.999999
-49.9	8	24	21141154	0.999999
-49.8	7	31	21141147	0.999999
-49.7	17	48	21141130	0.999998
-49.6	11	59	21141119	0.999997
-49.5	25	84	21141094	0.999996
-49.4	13	97	21141081	0.999995
-49.3	44	141	21141037	0.999993
-49.2	54	195	21140983	0.999991
-49.1	133	328	21140850	0.999984
-49	104	432	21140746	0.99998
-48.9	131	563	21140615	0.999973
-48.8	121	684	21140494	0.999968
-48.7	218	902	21140276	0.999957
-48.6	210	1112	21140066	0.999947
-48.5	218	1330	21139848	0.999937
-48.4	196	1526	21139652	0.999928
-48.3	223	1749	21139429	0.999917
-48.2	335	2084	21139094	0.999901
-48.1	349	2433	21138745	0.999885
-48	369	2802	21138376	0.999867
-47.9	312	3114	21138064	0.999853
-47.8	449	3563	21137615	0.999831
-47.7	406	3969	21137209	0.999812
-47.6	663	4632	21136546	0.999781
-47.5	464	5096	21136082	0.999759
-47.4	503	5599	21135579	0.999735
-47.3	537	6136	21135042	0.99971
-47.2	677	6813	21134365	0.999678
-47.1	854	7667	21133511	0.999637
-47	704	8371	21132807	0.999604
-46.9	670	9041	21132137	0.999572
-46.8	618	9659	21131519	0.999543
-46.7	980	10639	21130539	0.999497
-46.6	821	11460	21129718	0.999458
-46.5	842	12302	21128876	0.999418
-46.4	638	12940	21128238	0.999388
-46.3	809	13749	21127429	0.99935
-46.2	985	14734	21126444	0.999303
-46.1	996	15730	21125448	0.999256
-46	879	16609	21124569	0.999214
-45.9	893	17502	21123676	0.999172
-45.8	630	18132	21123046	0.999142
-45.7	950	19082	21122096	0.999097
-45.6	951	20033	21121145	0.999052
-45.5	876	20909	21120269	0.999011
-45.4	751	21660	21119518	0.998975
-45.3	828	22488	21118690	0.998936
-45.2	889	23377	21117801	0.998894
-45.1	1093	24470	21116708	0.998843
-45	1496	25966	21115212	0.998772
-44.9	1318	27284	21113894	0.998709
-44.8	1181	28465	21112713	0.998654
-44.7	1544	30009	21111169	0.998581
-44.6	1398	31407	21109771	0.998514
-44.5	1859	33266	21107912	0.998426
-44.4	1760	35026	21106152	0.998343
-44.3	2047	37073	21104105	0.998246
-44.2	1939	39012	21102166	0.998155
-44.1	2424	41436	21099742	0.99804
-44	2559	43995	21097183	0.997919
-43.9	2913	46908	21094270	0.997781
-43.8	2825	49733	21091445	0.997648
-43.7	2765	52498	21088680	0.997517
-43.6	3749	56247	21084931	0.997339
-43.5	3917	60164	21081014	0.997154
-43.4	4532	64696	21076482	0.99694
-43.3	4128	68824	21072354	0.996745
-43.2	4765	73589	21067589	0.996519
-43.1	5379	78968	21062210	0.996265
-43	6116	85084	21056094	0.995975
-42.9	6070	91154	21050024	0.995688
-42.8	5739	96893	21044285	0.995417
-42.7	5976	102869	21038309	0.995134
-42.6	6619	109488	21031690	0.994821
-42.5	7374	116862	21024316	0.994472
-42.4	6779	123641	21017537	0.994152
-42.3	7390	131031	21010147	0.993802
-42.2	6924	137955	21003223	0.993475
-42.1	7598	145553	20995625	0.993115
-42	7913	153466	20987712	0.992741
-41.9	8659	162125	20979053	0.992331
-41.8	8373	170498	20970680	0.991935
-41.7	8136	178634	20962544	0.99155
-41.6	8599	187233	20953945	0.991144
-41.5	8794	196027	20945151	0.990728
-41.4	9459	205486	20935692	0.99028
-41.3	8794	214280	20926898	0.989864
-41.2	9427	223707	20917471	0.989418
-41.1	9552	233259	20907919	0.988967
-41	10135	243394	20897784	0.988487
-40.9	9859	253253	20887925	0.988021
-40.8	10506	263759	20877419	0.987524
-40.7	9587	273346	20867832	0.98707
-40.6	9956	283302	20857876	0.9866
-40.5	10341	293643	20847535	0.98611
-40.4	10461	304104	20837074	0.985616
-40.3	10436	314540	20826638	0.985122
-40.2	10175	324715	20816463	0.984641
-40.1	10985	335700	20805478	0.984121
-40	10247	345947	20795231	0.983636
-39.9	11138	357085	20784093	0.98311
-39.8	11340	368425	20772753	0.982573
-39.7	11459	379884	20761294	0.982031
-39.6	11650	391534	20749644	0.98148
-39.5	13273	404807	20736371	0.980852
-39.4	12497	417304	20723874	0.980261
-39.3	13625	430929	20710249	0.979617
-39.2	13831	444760	20696418	0.978962
-39.1	14226	458986	20682192	0.978289
-39	15834	474820	20666358	0.977541
-38.9	15600	490420	20650758	0.976803
-38.8	16888	507308	20633870	0.976004
-38.7	17890	525198	20615980	0.975158
-38.6	18854	544052	20597126	0.974266
-38.5	18388	562440	20578738	0.973396
-38.4	18798	581238	20559940	0.972507
-38.3	19100	600338	20540840	0.971603
-38.2	20668	621006	20520172	0.970626
-38.1	21413	642419	20498759	0.969613
-38	22981	665400	20475778	0.968526
-37.9	23149	688549	20452629	0.967431
-37.8	24597	713146	20428032	0.966267
-37.7	25806	738952	20402226	0.965047
-37.6	26382	765334	20375844	0.963799
-37.5	28432	793766	20347412	0.962454
-37.4	29404	823170	20318008	0.961063
-37.3	30945	854115	20287063	0.959599
-37.2	30896	885011	20256167	0.958138
-37.1	31671	916682	20224496	0.95664
-37	33138	949820	20191358	0.955073
-36.9	35203	985023	20156155	0.953407
-36.8	35798	1020821	20120357	0.951714
-36.7	35194	1056015	20085163	0.950049
-36.6	37975	1093990	20047188	0.948253
-36.5	37760	1131750	20009428	0.946467
-36.4	39263	1171013	19970165	0.94461
-36.3	37400	1208413	19932765	0.942841
-36.2	38929	1247342	19893836	0.940999
-36.1	41023	1288365	19852813	0.939059
-36	41888	1330253	19810925	0.937078
-35.9	42889	1373142	19768036	0.935049
-35.8	43005	1416147	19725031	0.933015
-35.7	43938	1460085	19681093	0.930936
-35.6	43233	1503318	19637860	0.928891
-35.5	45095	1548413	19592765	0.926758
-35.4	45127	1593540	19547638	0.924624
-35.3	44905	1638445	19502733	0.9225
-35.2	43108	1681553	19459625	0.920461
-35.1	45841	1727394	19413784	0.918292
-35	44508	1771902	19369276	0.916187
-34.9	44776	1816678	19324500	0.914069
-34.8	43453	1860131	19281047	0.912014
-34.7	44697	1904828	19236350	0.9099
-34.6	45987	1950815	19190363	0.907724
-34.5	45878	1996693	19144485	0.905554
-34.4	46338	2043031	19098147	0.903362
-34.3	45452	2088483	19052695	0.901213
-34.2	46748	2135231	19005947	0.899001
-34.1	45033	2180264	18960914	0.896871
-34	46136	2226400	18914778	0.894689
-33.9	47210	2273610	18867568	0.892456
-33.8	48503	2322113	18819065	0.890162
-33.7	50408	2372521	18768657	0.887777
-33.6	47984	2420505	18720673	0.885508
-33.5	50186	2470691	18670487	0.883134
-33.4	50138	2520829	18620349	0.880762
-33.3	52425	2573254	18567924	0.878282
-33.2	53185	2626439	18514739	0.875767
-33.1	54169	2680608	18460570	0.873204
-33	55743	2736351	18404827	0.870568
-32.9	54462	2790813	18350365	0.867992
-32.8	57538	2848351	18292827	0.86527
-32.7	59789	2908140	18233038	0.862442
-32.6	61465	2969605	18171573	0.859535
-32.5	61992	3031597	18109581	0.856602
-32.4	61357	3092954	18048224	0.8537
-32.3	63208	3156162	17985016	0.85071
-32.2	64165	3220327	17920851	0.847675
-32.1	64283	3284610	17856568	0.844634
-32	65976	3350586	17790592	0.841514
-31.9	67396	3417982	17723196	0.838326
-31.8	69989	3487971	17653207	0.835015
-31.7	70271	3558242	17582936	0.831691
-31.6	70028	3628270	17512908	0.828379
-31.5	70954	3699224	17441954	0.825023
-31.4	75146	3774370	17366808	0.821468
-31.3	78001	3852371	17288807	0.817779
-31.2	81215	3933586	17207592	0.813937
-31.1	80594	4014180	17126998	0.810125
-31	80867	4095047	17046131	0.8063
-30.9	84004	4179051	16962127	0.802326
-30.8	84192	4263243	16877935	0.798344
-30.7	84987	4348230	16792948	0.794324
-30.6	86785	4435015	16706163	0.790219
-30.5	83635	4518650	16622528	0.786263
-30.4	91064	4609714	16531464	0.781956
-30.3	86535	4696249	16444929	0.777862
-30.2	89633	4785882	16355296	0.773623
-30.1	85754	4871636	16269542	0.769566
-30	88123	4959759	16181419	0.765398
-29.9	88987	5048746	16092432	0.761189
-29.8	90197	5138943	16002235	0.756923
-29.7	89371	5228314	15912864	0.752695
-29.6	90122	5318436	15822742	0.748432
-29.5	90344	5408780	15732398	0.744159
-29.4	91118	5499898	15641280	0.739849
-29.3	92716	5592614	15548564	0.735463
-29.2	92973	5685587	15455591	0.731066
-29.1	91671	5777258	15363920	0.72673
-29	90644	5867902	15273276	0.722442
-28.9	91949	5959851	15181327	0.718093
-28.8	89501	6049352	15091826	0.713859
-28.7	95565	6144917	14996261	0.709339
-28.6	89004	6233921	14907257	0.705129
-28.5	93205	6327126	14814052	0.70072
-28.4	88523	6415649	14725529	0.696533
-28.3	92015	6507664	14633514	0.692181
-28.2	90498	6598162	14543016	0.6879
-28.1	87973	6686135	14455043	0.683739
-28	88532	6774667	14366511	0.679551
-27.9	84782	6859449	14281729	0.675541
-27.8	84694	6944143	14197035	0.671535
-27.7	86089	7030232	14110946	0.667463
-27.6	84421	7114653	14026525	0.663469
-27.5	85264	7199917	13941261	0.659436
-27.4	83458	7283375	13857803	0.655489
-27.3	83492	7366867	13774311	0.651539
-27.2	85768	7452635	13688543	0.647483
-27.1	84905	7537540	13603638	0.643466
-27	84383	7621923	13519255	0.639475
-26.9	82604	7704527	13436651	0.635568
-26.8	85011	7789538	13351640	0.631547
-26.7	84687	7874225	13266953	0.627541
-26.6	84297	7958522	13182656	0.623554
-26.5	87094	8045616	13095562	0.619434
-26.4	86701	8132317	13008861	0.615333
-26.3	87025	8219342	12921836	0.611216
-26.2	88155	8307497	12833681	0.607047
-26.1	87115	8394612	12746566	0.602926
-26	87279	8481891	12659287	0.598798
-25.9	89099	8570990	12570188	0.594583
-25.8	88266	8659256	12481922	0.590408
-25.7	91474	8750730	12390448	0.586081
-25.6	93423	8844153	12297025	0.581662
-25.5	89005	8933158	12208020	0.577452
-25.4	98807	9031965	12109213	0.572779
-25.3	94340	9126305	12014873	0.568316
-25.2	98492	9224797	11916381	0.563657
-25.1	99285	9324082	11817096	0.558961
-25	99315	9423397	11717781	0.554263
-24.9	101774	9525171	11616007	0.549449
-24.8	102574	9627745	11513433	0.544598
-24.7	103058	9730803	11410375	0.539723
-24.6	101986	9832789	11308389	0.534899
-24.5	104218	9937007	11204171	0.529969
-24.4	104603	10041610	11099568	0.525021
-24.3	105125	10146735	10994443	0.520049
-24.2	107146	10253881	10887297	0.514981
-24.1	107147	10361028	10780150	0.509912
-24	106093	10467121	10674057	0.504894
-23.9	110215	10577336	10563842	0.499681
-23.8	110770	10688106	10453072	0.494441
-23.7	112897	10801003	10340175	0.489101
-23.6	111327	10912330	10228848	0.483835
-23.5	115222	11027552	10113626	0.478385
-23.4	110812	11138364	10002814	0.473144
-23.3	113281	11251645	9889533	0.467785
-23.2	116139	11367784	9773394	0.462292
-23.1	110663	11478447	9662731	0.457057
-23	116690	11595137	9546041	0.451538
-22.9	107756	11702893	9438285	0.446441
-22.8	112845	11815738	9325440	0.441103
-22.7	108186	11923924	9217254	0.435986
-22.6	108905	12032829	9108349	0.430835
-22.5	107372	12140201	9000977	0.425756
-22.4	103813	12244014	8897164	0.420845
-22.3	104265	12348279	8792899	0.415913
-22.2	99990	12448269	8692909	0.411184
-22.1	100345	12548614	8592564	0.406437
-22	125278	12673892	8467286	0.400512
-21.9	97261	12771153	8370025	0.395911
-21.8	94684	12865837	8275341	0.391432
-21.7	96536	12962373	8178805	0.386866
-21.6	93002	13055375	8085803	0.382467
-21.5	93861	13149236	7991942	0.378027
-21.4	90056	13239292	7901886	0.373768
-21.3	89940	13329232	7811946	0.369513
-21.2	86246	13415478	7725700	0.365434
-21.1	88268	13503746	7637432	0.361259
-21	84897	13588643	7552535	0.357243
-20.9	84395	13673038	7468140	0.353251
-20.8	82566	13755604	7385574	0.349345
-20.7	78527	13834131	7307047	0.345631
-20.6	82996	13917127	7224051	0.341705
-20.5	74497	13991624	7149554	0.338181
-20.4	78497	14070121	7071057	0.334468
-20.3	74735	14144856	6996322	0.330933
-20.2	71622	14216478	6924700	0.327546
-20.1	71297	14287775	6853403	0.324173
-20	69280	14357055	6784123	0.320896
-19.9	95924	14452979	6688199	0.316359
-19.8	69690	14522669	6618509	0.313062
-19.7	66688	14589357	6551821	0.309908
-19.6	71303	14660660	6480518	0.306535
-19.5	68494	14729154	6412024	0.303295
-19.4	69430	14798584	6342594	0.300011
-19.3	72344	14870928	6270250	0.296589
-19.2	67138	14938066	6203112	0.293414
-19.1	72801	15010867	6130311	0.28997
-19	70878	15081745	6059433	0.286618
-18.9	69391	15151136	5990042	0.283335
-18.8	71246	15222382	5918796	0.279965
-18.7	70161	15292543	5848635	0.276647
-18.6	69816	15362359	5778819	0.273344
-18.5	73942	15436301	5704877	0.269847
-18.4	72490	15508791	5632387	0.266418
-18.3	72366	15581157	5560021	0.262995
-18.2	74242	15655399	5485779	0.259483
-18.1	71909	15727308	5413870	0.256082
-18	74287	15801595	5339583	0.252568
-17.9	74458	15876053	5265125	0.249046
-17.8	76409	15952462	5188716	0.245432
-17.7	75770	16028232	5112946	0.241848
-17.6	76712	16104944	5036234	0.238219
-17.5	76953	16181897	4959281	0.234579
-17.4	76329	16258226	4882952	0.230969
-17.3	77856	16336082	4805096	0.227286
-17.2	74471	16410553	4730625	0.223764
-17.1	76058	16486611	4654567	0.220166
-17	75278	16561889	4579289	0.216605
-16.9	77524	16639413	4501765	0.212938
-16.8	77079	16716492	4424686	0.209292
-16.7	74717	16791209	4349969	0.205758
-16.6	74973	16866182	4274996	0.202212
-16.5	75905	16942087	4199091	0.198621
-16.4	74528	17016615	4124563	0.195096
-16.3	78013	17094628	4046550	0.191406
-16.2	75998	17170626	3970552	0.187811
-16.1	75427	17246053	3895125	0.184244
-16	77015	17323068	3818110	0.180601
-15.9	72444	17395512	3745666	0.177174
-15.8	73952	17469464	3671714	0.173676
-15.7	69868	17539332	3601846	0.170371
-15.6	73049	17612381	3528797	0.166916
-15.5	67802	17680183	3460995	0.163709
-15.4	71630	17751813	3389365	0.160321
-15.3	68262	17820075	3321103	0.157092
-15.2	65510	17885585	3255593	0.153993
-15.1	67423	17953008	3188170	0.150804
-15	61158	18014166	3127012	0.147911
-14.9	60667	18074833	3066345	0.145041
-14.8	59024	18133857	3007321	0.142249
-14.7	56463	18190320	2950858	0.139579
-14.6	54651	18244971	2896207	0.136994
-14.5	54880	18299851	2841327	0.134398
-14.4	52318	18352169	2789009	0.131923
-14.3	51121	18403290	2737888	0.129505
-14.2	51483	18454773	2686405	0.12707
-14.1	48329	18503102	2638076	0.124784
-14	46530	18549632	2591546	0.122583
-13.9	48549	18598181	2542997	0.120286
-13.8	42877	18641058	2500120	0.118258
-13.7	43825	18684883	2456295	0.116185
-13.6	40796	18725679	2415499	0.114256
-13.5	39256	18764935	2376243	0.112399
-13.4	40024	18804959	2336219	0.110506
-13.3	37170	18842129	2299049	0.108747
-13.2	39211	18881340	2259838	0.106893
-13.1	35156	18916496	2224682	0.10523
-13	36425	18952921	2188257	0.103507
-12.9	34382	18987303	2153875	0.101881
-12.8	31996	19019299	2121879	0.100367
-12.7	32790	19052089	2089089	0.0988161
-12.6	30090	19082179	2058999	0.0973928
-12.5	30286	19112465	2028713	0.0959603
-12.4	29375	19141840	1999338	0.0945708
-12.3	29758	19171598	1969580	0.0931632
-12.2	29044	19200642	1940536	0.0917894
-12.1	29355	19229997	1911181	0.0904009
-12	28780	19258777	1882401	0.0890396
-11.9	29181	19287958	1853220	0.0876593
-11.8	30550	19318508	1822670	0.0862142
-11.7	30432	19348940	1792238	0.0847747
-11.6	28887	19377827	1763351	0.0834084
-11.5	30597	19408424	1732754	0.0819611
-11.4	29686	19438110	1703068	0.0805569
-11.3	29858	19467968	1673210	0.0791446
-11.2	30331	19498299	1642879	0.0777099
-11.1	29697	19527996	1613182	0.0763052
-11	29546	19557542	1583636	0.0749077
-10.9	31180	19588722	1552456	0.0734328
-10.8	31106	19619828	1521350	0.0719615
-10.7	31329	19651157	1490021	0.0704796
-10.6	32083	19683240	1457938	0.068962
-10.5	30715	19713955	1427223	0.0675092
-10.4	31230	19745185	1395993	0.0660319
-10.3	31383	19776568	1364610	0.0645475
-10.2	30973	19807541	1333637	0.0630824
-10.1	30500	19838041	1303137	0.0616398
-10	30656	19868697	1272481	0.0601897
-9.9	29772	19898469	1242709	0.0587814
-9.8	28888	19927357	1213821	0.057415
-9.7	30143	19957500	1183678	0.0559892
-9.6	28395	19985895	1155283	0.0546461
-9.5	29562	20015457	1125721	0.0532478
-9.4	29258	20044715	1096463	0.0518639
-9.3	28575	20073290	1067888	0.0505122
-9.2	27839	20101129	1040049	0.0491954
-9.1	28662	20129791	1011387	0.0478397
-9	26540	20156331	984847	0.0465843
-8.9	28299	20184630	956548	0.0452457
-8.8	27273	20211903	929275	0.0439557
-8.7	27138	20239041	902137	0.042672
-8.6	27046	20266087	875091	0.0413927
-8.5	25145	20291232	849946	0.0402033
-8.4	25331	20316563	824615	0.0390052
-8.3	24740	20341303	799875	0.0378349
-8.2	27062	20368365	772813	0.0365549
-8.1	24059	20392424	748754	0.0354169
-8	22819	20415243	725935	0.0343375
-7.9	22879	20438122	703056	0.0332553
-7.8	21528	20459650	681528	0.032237
-7.7	20845	20480495	660683	0.031251
-7.6	19277	20499772	641406	0.0303392
-7.5	19043	20518815	622363	0.0294384
-7.4	17416	20536231	604947	0.0286146
-7.3	16275	20552506	588672	0.0278448
-7.2	17093	20569599	571579	0.0270363
-7.1	16549	20586148	555030	0.0262535
-7	14926	20601074	540104	0.0255475
-6.9	15765	20616839	524339	0.0248018
-6.8	12805	20629644	511534	0.0241961
-6.7	14754	20644398	496780	0.0234982
-6.6	12759	20657157	484021	0.0228947
-6.5	12913	20670070	471108	0.0222839
-6.4	11670	20681740	459438	0.0217319
-6.3	10667	20692407	448771	0.0212273
-6.2	11264	20703671	437507	0.0206945
-6.1	10088	20713759	427419	0.0202174
-6	10519	20724278	416900	0.0197198
-5.9	9584	20733862	407316	0.0192665
-5.8	9223	20743085	398093	0.0188302
-5.7	9435	20752520	388658	0.0183839
-5.6	8985	20761505	379673	0.0179589
-5.5	8576	20770081	371097	0.0175533
-5.4	7729	20777810	363368	0.0171877
-5.3	7429	20785239	355939	0.0168363
-5.2	7247	20792486	348692	0.0164935
-5.1	6621	20799107	342071	0.0161803
-5	7694	20806801	334377	0.0158164
-4.9	6324	20813125	328053	0.0155173
-4.8	6716	20819841	321337	0.0151996
-4.7	5730	20825571	315607	0.0149285
-4.6	6415	20831986	309192	0.0146251
-4.5	6742	20838728	302450	0.0143062
-4.4	5904	20844632	296546	0.0140269
-4.3	6991	20851623	289555	0.0136963
-4.2	5799	20857422	283756	0.013422
-4.1	6751	20864173	277005	0.0131026
-4	6516	20870689	270489	0.0127944
-3.9	6250	20876939	264239	0.0124988
-3.8	6255	20883194	257984	0.0122029
-3.7	6124	20889318	251860	0.0119132
-3.6	6496	20895814	245364	0.011606
-3.5	6492	20902306	238872	0.0112989
-3.4	6243	20908549	232629	0.0110036
-3.3	6340	20914889	226289	0.0107037
-3.2	6229	20921118	220060	0.0104091
-3.1	7211	20928329	212849	0.010068
-3	6484	20934813	206365	0.00976128
-2.9	6269	20941082	200096	0.00946475
-2.8	6250	20947332	193846	0.00916912
-2.7	6197	20953529	187649	0.008876
-2.6	6227	20959756	181422	0.00858145
-2.5	6113	20965869	175309	0.0082923
-2.4	6058	20971927	169251	0.00800575
-2.3	5632	20977559	163619	0.00773935
-2.2	5837	20983396	157782	0.00746325
-2.1	5666	20989062	152116	0.00719525
-2	5116	20994178	147000	0.00695325
-1.9	5788	20999966	141212	0.00667948
-1.8	5218	21005184	135994	0.00643266
-1.7	5562	21010746	130432	0.00616957
-1.6	4932	21015678	125500	0.00593628
-1.5	4902	21020580	120598	0.00570441
-1.4	5197	21025777	115401	0.00545859
-1.3	4722	21030499	110679	0.00523523
-1.2	4520	21035019	106159	0.00502143
-1.1	4584	21039603	101575	0.0048046
-1	4778	21044381	96797	0.0045786
-0.9	4367	21048748	92430	0.00437204
-0.8	4570	21053318	87860	0.00415587
-0.7	4062	21057380	83798	0.00396373
-0.6	3749	21061129	80049	0.0037864
-0.5	3927	21065056	76122	0.00360065
-0.4	3437	21068493	72685	0.00343808
-0.3	3380	21071873	69305	0.0032782
-0.2	3158	21075031	66147	0.00312882
-0.1	2801	21077832	63346	0.00299633
0	2876	21080708	60470	0.00286029
0.1	2689	21083397	57781	0.0027331
0.2	2564	21085961	55217	0.00261182
0.3	2398	21088359	52819	0.00249839
0.4	2298	21090657	50521	0.0023897
0.5	2199	21092856	48322	0.00228568
0.6	2049	21094905	46273	0.00218876
0.7	2041	21096946	44232	0.00209222
0.8	1845	21098791	42387	0.00200495
0.9	1499	21100290	40888	0.00193405
1	1625	21101915	39263	0.00185718
1.1	1405	21103320	37858	0.00179072
1.2	1720	21105040	36138	0.00170937
1.3	1346	21106386	34792	0.0016457
1.4	1199	21107585	33593	0.00158898
1.5	1086	21108671	32507	0.00153762
1.6	1032	21109703	31475	0.0014888
1.7	999	21110702	30476	0.00144155
1.8	1151	21111853	29325	0.0013871
1.9	806	21112659	28519	0.00134898
2	873	21113532	27646	0.00130768
2.1	896	21114428	26750	0.0012653
2.2	712	21115140	26038	0.00123162
2.3	615	21115755	25423	0.00120253
2.4	674	21116429	24749	0.00117065
2.5	571	21117000	24178	0.00114364
2.6	535	21117535	23643	0.00111834
2.7	683	21118218	22960	0.00108603
2.8	483	21118701	22477	0.00106319
2.9	722	21119423	21755	0.00102903
3	515	21119938	21240	0.00100467
3.1	503	21120441	20737	0.000980882
3.2	607	21121048	20130	0.00095217
3.3	529	21121577	19601	0.000927148
3.4	727	21122304	18874	0.00089276
3.5	456	21122760	18418	0.000871191
3.6	554	21123314	17864	0.000844986
3.7	556	21123870	17308	0.000818687
3.8	552	21124422	16756	0.000792576
3.9	522	21124944	16234	0.000767885
4	563	21125507	15671	0.000741255
