#score	occ	co	cco	dCDF
-51.9	10	10	21141168	1
-51.8	0	10	21141168	1
-51.7	35	45	21141133	0.999998
-51.6	0	45	21141133	0.999998
-51.5	39	84	21141094	0.999996
-51.4	9	93	21141085	0.999996
-51.3	26	119	21141059	0.999994
-51.2	59	178	21141000	0.999992
-51.1	75	253	21140925	0.999988
-51	117	370	21140808	0.999982
-50.9	159	529	21140649	0.999975
-50.8	78	607	21140571	0.999971
-50.7	109	716	21140462	0.999966
-50.6	111	827	21140351	0.999961
-50.5	69	896	21140282	0.999958
-50.4	216	1112	21140066	0.999947
-50.3	124	1236	21139942	0.999942
-50.2	307	1543	21139635	0.999927
-50.1	187	1730	21139448	0.999918
-50	208	1938	21139240	0.999908
-49.9	223	2161	21139017	0.999898
-49.8	270	2431	21138747	0.999885
-49.7	225	2656	21138522	0.999874
-49.6	352	3008	21138170	0.999858
-49.5	279	3287	21137891	0.999845
-49.4	383	3670	21137508	0.999826
-49.3	401	4071	21137107	0.999807
-49.2	350	4421	21136757	0.999791
-49.1	658	5079	21136099	0.99976
-49	369	5448	21135730	0.999742
-48.9	692	6140	21135038	0.99971
-48.8	469	6609	21134569	0.999687
-48.7	570	7179	21133999	0.99966
-48.6	816	7995	21133183	0.999622
-48.5	829	8824	21132354	0.999583
-48.4	843	9667	21131511	0.999543
-48.3	784	10451	21130727	0.999506
-48.2	625	11076	21130102	0.999476
-48.1	871	11947	21129231	0.999435
-48	776	12723	21128455	0.999398
-47.9	891	13614	21127564	0.999356
-47.8	894	14508	21126670	0.999314
-47.7	726	15234	21125944	0.999279
-47.6	951	16185	21124993	0.999234
-47.5	681	16866	21124312	0.999202
-47.4	793	17659	21123519	0.999165
-47.3	819	18478	21122700	0.999126
-47.2	900	19378	21121800	0.999083
-47.1	905	20283	21120895	0.999041
-47	884	21167	21120011	0.998999
-46.9	715	21882	21119296	0.998965
-46.8	946	22828	21118350	0.99892
-46.7	801	23629	21117549	0.998882
-46.6	885	24514	21116664	0.99884
-46.5	1206	25720	21115458	0.998783
-46.4	1151	26871	21114307	0.998729
-46.3	1549	28420	21112758	0.998656
-46.2	1140	29560	21111618	0.998602
-46.1	1218	30778	21110400	0.998544
-46	1082	31860	21109318	0.998493
-45.9	1530	33390	21107788	0.998421
-45.8	1528	34918	21106260	0.998348
-45.7	1556	36474	21104704	0.998275
-45.6	1869	38343	21102835	0.998186
-45.5	1891	40234	21100944	0.998097
-45.4	1527	41761	21099417	0.998025
-45.3	1762	43523	21097655	0.997941
-45.2	1974	45497	21095681	0.997848
-45.1	1830	47327	21093851	0.997761
-45	2303	49630	21091548	0.997652
-44.9	2042	51672	21089506	0.997556
-44.8	2862	54534	21086644	0.99742
-44.7	2597	57131	21084047	0.997298
-44.6	2742	59873	21081305	0.997168
-44.5	3362	63235	21077943	0.997009
-44.4	2731	65966	21075212	0.99688
-44.3	3612	69578	21071600	0.996709
-44.2	3775	73353	21067825	0.99653
-44.1	4425	77778	21063400	0.996321
-44	4580	82358	21058820	0.996104
-43.9	5059	87417	21053761	0.995865
-43.8	5569	92986	21048192	0.995602
-43.7	5494	98480	21042698	0.995342
-43.6	5625	104105	21037073	0.995076
-43.5	6919	111024	21030154	0.994748
-43.4	6095	117119	21024059	0.99446
-43.3	6721	123840	21017338	0.994142
-43.2	6802	130642	21010536	0.99382
-43.1	6946	137588	21003590	0.993492
-43	7634	145222	20995956	0.993131
-42.9	7063	152285	20988893	0.992797
-42.8	8592	160877	20980301	0.99239
-42.7	8012	168889	20972289	0.992011
-42.6	7571	176460	20964718	0.991653
-42.5	8415	184875	20956303	0.991255
-42.4	8077	192952	20948226	0.990873
-42.3	8710	201662	20939516	0.990461
-42.2	9206	210868	20930310	0.990026
-42.1	8885	219753	20921425	0.989605
-42	9389	229142	20912036	0.989161
-41.9	9307	238449	20902729	0.988721
-41.8	9426	247875	20893303	0.988275
-41.7	10938	258813	20882365	0.987758
-41.6	9777	268590	20872588	0.987295
-41.5	11075	279665	20861513	0.986772
-41.4	10696	290361	20850817	0.986266
-41.3	11205	301566	20839612	0.985736
-41.2	11493	313059	20828119	0.985192
-41.1	11096	324155	20817023	0.984667
-41	11437	335592	20805586	0.984126
-40.9	10866	346458	20794720	0.983612
-40.8	11025	357483	20783695	0.983091
-40.7	11113	368596	20772582	0.982565
-40.6	10529	379125	20762053	0.982067
-40.5	11932	391057	20750121	0.981503
-40.4	11432	402489	20738689	0.980962
-40.3	10778	413267	20727911	0.980452
-40.2	11373	424640	20716538	0.979914
-40.1	11272	435912	20705266	0.979381
-40	11574	447486	20693692	0.978833
-39.9	12121	459607	20681571	0.97826
-39.8	11612	471219	20669959	0.977711
-39.7	12594	483813	20657365	0.977115
-39.6	13252	497065	20644113	0.976488
-39.5	13184	510249	20630929	0.975865
-39.4	13953	524202	20616976	0.975205
-39.3	14461	538663	20602515	0.974521
-39.2	15042	553705	20587473	0.973809
-39.1	16163	569868	20571310	0.973045
-39	16742	586610	20554568	0.972253
-38.9	17606	604216	20536962	0.97142
-38.8	17855	622071	20519107	0.970575
-38.7	17977	640048	20501130	0.969725
-38.6	19117	659165	20482013	0.968821
-38.5	20321	679486	20461692	0.96786
-38.4	21737	701223	20439955	0.966831
-38.3	21790	723013	20418165	0.965801
-38.2	23152	746165	20395013	0.964706
-38.1	23766	769931	20371247	0.963581
-38	24768	794699	20346479	0.96241
-37.9	26155	820854	20320324	0.961173
-37.8	27207	848061	20293117	0.959886
-37.7	27833	875894	20265284	0.958569
-37.6	29455	905349	20235829	0.957176
-37.5	30961	936310	20204868	0.955712
-37.4	32593	968903	20172275	0.95417
-37.3	32867	1001770	20139408	0.952615
-37.2	35294	1037064	20104114	0.950946
-37.1	36178	1073242	20067936	0.949235
-37	36928	1110170	20031008	0.947488
-36.9	37949	1148119	19993059	0.945693
-36.8	38115	1186234	19954944	0.94389
-36.7	39264	1225498	19915680	0.942033
-36.6	41667	1267165	19874013	0.940062
-36.5	42176	1309341	19831837	0.938067
-36.4	42568	1351909	19789269	0.936053
-36.3	42796	1394705	19746473	0.934029
-36.2	44515	1439220	19701958	0.931923
-36.1	43472	1482692	19658486	0.929867
-36	44306	1526998	19614180	0.927771
-35.9	44546	1571544	19569634	0.925664
-35.8	44270	1615814	19525364	0.92357
-35.7	44970	1660784	19480394	0.921443
-35.6	45163	1705947	19435231	0.919307
-35.5	45485	1751432	19389746	0.917155
-35.4	45548	1796980	19344198	0.915001
-35.3	44815	1841795	19299383	0.912881
-35.2	44388	1886183	19254995	0.910782
-35.1	46563	1932746	19208432	0.908579
-35	46430	1979176	19162002	0.906383
-34.9	44684	2023860	19117318	0.904269
-34.8	45572	2069432	19071746	0.902114
-34.7	46655	2116087	19025091	0.899907
-34.6	45970	2162057	18979121	0.897732
-34.5	46112	2208169	18933009	0.895551
-34.4	45000	2253169	18888009	0.893423
-34.3	44427	2297596	18843582	0.891321
-34.2	43869	2341465	18799713	0.889246
-34.1	43251	2384716	18756462	0.8872
-34	43680	2428396	18712782	0.885134
-33.9	44038	2472434	18668744	0.883051
-33.8	45431	2517865	18623313	0.880902
-33.7	45985	2563850	18577328	0.878727
-33.6	45350	2609200	18531978	0.876582
-33.5	44341	2653541	18487637	0.874485
-33.4	45053	2698594	18442584	0.872354
-33.3	45607	2744201	18396977	0.870196
-33.2	47126	2791327	18349851	0.867967
-33.1	48694	2840021	18301157	0.865664
-33	50393	2890414	18250764	0.86328
-32.9	50638	2941052	18200126	0.860885
-32.8	50856	2991908	18149270	0.85848
-32.7	53223	3045131	18096047	0.855962
-32.6	54936	3100067	18041111	0.853364
-32.5	57533	3157600	17983578	0.850642
-32.4	58559	3216159	17925019	0.847872
-32.3	60569	3276728	17864450	0.845007
-32.2	61337	3338065	17803113	0.842106
-32.1	62919	3400984	17740194	0.83913
-32	63509	3464493	17676685	0.836126
-31.9	65810	3530303	17610875	0.833013
-31.8	66685	3596988	17544190	0.829859
-31.7	67064	3664052	17477126	0.826686
-31.6	71000	3735052	17406126	0.823328
-31.5	72897	3807949	17333229	0.81988
-31.4	74400	3882349	17258829	0.816361
-31.3	77579	3959928	17181250	0.812691
-31.2	79445	4039373	17101805	0.808933
-31.1	79531	4118904	17022274	0.805171
-31	80511	4199415	16941763	0.801363
-30.9	81573	4280988	16860190	0.797505
-30.8	83875	4364863	16776315	0.793537
-30.7	85085	4449948	16691230	0.789513
-30.6	88053	4538001	16603177	0.785348
-30.5	90316	4628317	16512861	0.781076
-30.4	91068	4719385	16421793	0.776768
