#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-51.9	1.0e+00	<NULL>	<NULL>	1	<NULL>
-51.8	1.0e+00	<NULL>	<NULL>	1	<NULL>
-51.7	1.0e+00	<NULL>	<NULL>	0.999998	<NULL>
-51.6	1.0e+00	<NULL>	<NULL>	0.999998	<NULL>
-51.5	1.0e+00	<NULL>	<NULL>	0.999996	<NULL>
-51.4	1.0e+00	<NULL>	<NULL>	0.999996	<NULL>
-51.3	1.0e+00	<NULL>	<NULL>	0.999994	<NULL>
-51.2	1.0e+00	<NULL>	<NULL>	0.999992	<NULL>
-51.1	1.0e+00	<NULL>	<NULL>	0.999988	<NULL>
-51	1.0e+00	<NULL>	<NULL>	0.999982	<NULL>
-50.9	1.0e+00	<NULL>	<NULL>	0.999975	<NULL>
-50.8	1.0e+00	<NULL>	<NULL>	0.999971	<NULL>
-50.7	1.0e+00	<NULL>	<NULL>	0.999966	<NULL>
-50.6	1.0e+00	<NULL>	<NULL>	0.999961	      1
-50.5	1.0e+00	<NULL>	<NULL>	0.999958	      1
-50.4	1.0e+00	1.00000	1.00000	0.999947	0.999999
-50.3	1.0e+00	1.00000	1.00000	0.999942	0.999999
-50.2	1.0e+00	1.00000	1.00000	0.999927	0.999999
-50.1	1.0e+00	1.00000	1.00000	0.999918	0.999998
-50	1.0e+00	1.00000	1.00000	0.999908	0.999998
-49.9	1.0e+00	1.00000	1.00000	0.999898	0.999997
-49.8	1.0e+00	1.00000	1.00000	0.999885	0.999997
-49.7	1.0e+00	1.00000	1.00000	0.999874	0.999996
-49.6	1.0e+00	1.00000	1.00000	0.999858	0.999995
-49.5	1.0e+00	1.00000	1.00000	0.999845	0.999993
-49.4	1.0e+00	1.00000	1.00000	0.999826	0.999991
-49.3	1.0e+00	1.00000	1.00000	0.999807	0.99999
-49.2	1.0e+00	1.00000	1.00000	0.999791	0.999987
-49.1	1.0e+00	1.00000	1.00000	0.99976	0.999984
-49	1.0e+00	1.00000	1.00000	0.999742	0.99998
-48.9	1.0e+00	1.00000	1.00000	0.99971	0.999975
-48.8	1.0e+00	1.00000	1.00000	0.999687	0.99997
-48.7	1.0e+00	1.00000	1.00000	0.99966	0.999966
-48.6	1.0e+00	1.00000	1.00000	0.999622	0.999959
-48.5	1.0e+00	1.00000	1.00000	0.999583	0.999952
-48.4	1.0e+00	1.00000	1.00000	0.999543	0.999945
-48.3	1.0e+00	1.00000	1.00000	0.999506	0.999939
-48.2	1.0e+00	1.00000	1.00000	0.999476	0.999931
-48.1	1.0e+00	1.00000	1.00000	0.999435	0.99992
-48	1.0e+00	1.00000	1.00000	0.999398	0.999909
-47.9	1.0e+00	1.00000	1.00000	0.999356	0.999896
-47.8	1.0e+00	1.00000	1.00000	0.999314	0.999885
-47.7	1.0e+00	1.00000	1.00000	0.999279	0.999869
-47.6	1.0e+00	1.00000	1.00000	0.999234	0.999855
-47.5	1.0e+00	1.00000	1.00000	0.999202	0.999833
-47.4	1.0e+00	1.00000	1.00000	0.999165	0.999816
-47.3	1.0e+00	1.00000	1.00000	0.999126	 0.9998
-47.2	1.0e+00	1.00000	1.00000	0.999083	0.999782
-47.1	1.0e+00	1.00000	1.00000	0.999041	0.999762
-47	1.0e+00	1.00000	1.00000	0.998999	0.999736
-46.9	1.0e+00	1.00000	1.00000	0.998965	0.999713
-46.8	1.0e+00	1.00000	1.00000	0.99892	0.999692
-46.7	1.0e+00	1.00000	1.00000	0.998882	0.99967
-46.6	1.0e+00	1.00000	1.00000	0.99884	0.999638
-46.5	1.0e+00	1.00000	1.00000	0.998783	0.999611
-46.4	1.0e+00	1.00000	1.00000	0.998729	0.999582
-46.3	1.0e+00	1.00000	1.00000	0.998656	0.999558
-46.2	1.0e+00	1.00000	1.00000	0.998602	0.999529
-46.1	1.0e+00	1.00000	1.00000	0.998544	0.999495
-46	1.0e+00	1.00000	1.00000	0.998493	0.99946
-45.9	1.0e+00	1.00000	1.00000	0.998421	0.999426
-45.8	1.0e+00	1.00000	1.00000	0.998348	0.99939
-45.7	1.0e+00	1.00000	1.00000	0.998275	0.999357
-45.6	1.0e+00	1.00000	1.00000	0.998186	0.999315
-45.5	1.0e+00	1.00000	1.00000	0.998097	0.999267
-45.4	1.0e+00	1.00000	1.00000	0.998025	0.999221
-45.3	1.0e+00	1.00000	1.00000	0.997941	0.999167
-45.2	1.0e+00	1.00000	1.00000	0.997848	0.999116
-45.1	1.0e+00	1.00000	1.00000	0.997761	0.99906
-45	1.0e+00	1.00000	1.00000	0.997652	0.999004
-44.9	1.0e+00	1.00000	1.00000	0.997556	0.998931
-44.8	1.0e+00	1.00000	1.00000	0.99742	0.998863
-44.7	1.0e+00	1.00000	1.00000	0.997298	0.998796
-44.6	1.0e+00	1.00000	1.00000	0.997168	0.998719
-44.5	1.0e+00	1.00000	1.00000	0.997009	0.998644
-44.4	1.0e+00	1.00000	1.00000	0.99688	0.99855
-44.3	1.0e+00	1.00000	1.00000	0.996709	0.998451
-44.2	1.0e+00	1.00000	1.00000	0.99653	0.998343
-44.1	1.0e+00	1.00000	1.00000	0.996321	0.998229
-44	1.0e+00	1.00000	1.00000	0.996104	0.998085
-43.9	1.0e+00	1.00000	1.00000	0.995865	0.997932
