; matrix-distrib  -v 1 -m $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do560plusdo843_mmus_cebpa_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do560plusdo843_mmus_cebpa_liver_meme_top_m1_matrix.tab -matrix_format tab -pseudo 1 -bgfile $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab -bg_format inclusive -bg_pseudo 0.01 -decimals 1 -o $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do560plusdo843_mmus_cebpa_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do560plusdo843_mmus_cebpa_liver_meme_top_m1_theor_score_distrib.tab
; Input files
;	bgfile	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab
; Output files
;	output	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do560plusdo843_mmus_cebpa_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do560plusdo843_mmus_cebpa_liver_meme_top_m1_theor_score_distrib.tab
; Background model
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26457
;		c	0.23303
;		g	0.23983
;		t	0.26257
;
; Matrix: matrix-quality_2014-09-05
;
; Theoretical distribution of weight probabilities
;	1	weight      	log-likelihood score: w=P(S|M)/P(S|B)
;	2	proba       	probability density function: P(W=w)
;	3	cum         	cumulative density function: P(W <= w)
;	4	Pval        	P-value = inverse cumulative density function: Pval = P(W >= w)
;	5	ln_Pval     	natural logarithm of the P-value
;	6	log_P       	base 10 logarithm of the P-value
;	7	sig         	significance: sig = -log10(Pval)
#weight	proba	cum	Pval	ln_Pval	log_P	sig
-51.9	NA	0.0e+00	1.0e+00	0.000	-0	0.000
-51.8	9.1e-07	9.1e-07	1.0e+00	0.000	-0	0.000
-51.7	NA	9.1e-07	1.0e+00	-0.000	-0	0.000
-51.6	2.3e-06	3.2e-06	1.0e+00	-0.000	-0	0.000
-51.5	6.4e-07	3.8e-06	1.0e+00	-0.000	-0	0.000
-51.4	2.0e-06	5.9e-06	1.0e+00	-0.000	-0	0.000
-51.3	1.1e-06	7.0e-06	1.0e+00	-0.000	-0	0.000
-51.2	2.4e-06	9.4e-06	1.0e+00	-0.000	-0	0.000
-51.1	4.1e-06	1.3e-05	1.0e+00	-0.000	-0	0.000
-51.0	4.8e-06	1.8e-05	1.0e+00	-0.000	-0	0.000
-50.9	4.6e-06	2.3e-05	1.0e+00	-0.000	-0	0.000
-50.8	8.1e-06	3.1e-05	1.0e+00	-0.000	-0	0.000
-50.7	4.1e-06	3.5e-05	1.0e+00	-0.000	-0	0.000
-50.6	6.2e-06	4.1e-05	1.0e+00	-0.000	-0	0.000
-50.5	7.0e-06	4.8e-05	1.0e+00	-0.000	-0	0.000
-50.4	8.9e-06	5.7e-05	1.0e+00	-0.000	-0	0.000
-50.3	1.4e-05	7.1e-05	1.0e+00	-0.000	-0	0.000
-50.2	7.2e-06	7.8e-05	1.0e+00	-0.000	-0	0.000
-50.1	1.7e-05	9.5e-05	1.0e+00	-0.000	-0	0.000
-50.0	1.2e-05	1.1e-04	1.0e+00	-0.000	-0	0.000
-49.9	1.1e-05	1.2e-04	1.0e+00	-0.000	-0	0.000
-49.8	1.5e-05	1.3e-04	1.0e+00	-0.000	-0	0.000
-49.7	1.4e-05	1.5e-04	1.0e+00	-0.000	-0	0.000
-49.6	1.7e-05	1.6e-04	1.0e+00	-0.000	-0	0.000
-49.5	2.3e-05	1.9e-04	1.0e+00	-0.000	-0	0.000
-49.4	2.1e-05	2.1e-04	1.0e+00	-0.000	-0	0.000
-49.3	1.9e-05	2.3e-04	1.0e+00	-0.000	-0	0.000
-49.2	2.6e-05	2.5e-04	1.0e+00	-0.000	-0	0.000
