#weight	occ	cum	dcum	dCDF
-33.2	1	1	41593748	      1
-33.1	0	1	41593747	      1
-33	1	2	41593747	      1
-32.9	2	4	41593746	      1
-32.8	2	6	41593744	      1
-32.7	7	13	41593742	      1
-32.6	2	15	41593735	      1
-32.5	2	17	41593733	      1
-32.4	1	18	41593731	      1
-32.3	7	25	41593730	      1
-32.2	7	32	41593723	0.999999
-32.1	9	41	41593716	0.999999
-32	7	48	41593707	0.999999
-31.9	6	54	41593700	0.999999
-31.8	15	69	41593694	0.999999
-31.7	11	80	41593679	0.999998
-31.6	25	105	41593668	0.999998
-31.5	25	130	41593643	0.999997
-31.4	25	155	41593618	0.999997
-31.3	23	178	41593593	0.999996
-31.2	41	219	41593570	0.999996
-31.1	41	260	41593529	0.999995
-31	60	320	41593488	0.999994
-30.9	46	366	41593428	0.999992
-30.8	78	444	41593382	0.999991
-30.7	82	526	41593304	0.999989
-30.6	91	617	41593222	0.999987
-30.5	115	732	41593131	0.999985
-30.4	141	873	41593016	0.999982
-30.3	151	1024	41592875	0.999979
-30.2	152	1176	41592724	0.999975
-30.1	166	1342	41592572	0.999972
-30	233	1575	41592406	0.999968
-29.9	255	1830	41592173	0.999962
-29.8	294	2124	41591918	0.999956
-29.7	303	2427	41591624	0.999949
-29.6	356	2783	41591321	0.999942
-29.5	424	3207	41590965	0.999933
-29.4	414	3621	41590541	0.999923
-29.3	530	4151	41590127	0.999913
-29.2	551	4702	41589597	 0.9999
-29.1	586	5288	41589046	0.999887
-29	668	5956	41588460	0.999873
-28.9	754	6710	41587792	0.999857
-28.8	837	7547	41587038	0.999839
-28.7	939	8486	41586201	0.999819
-28.6	1030	9516	41585262	0.999796
-28.5	1084	10600	41584232	0.999771
-28.4	1181	11781	41583148	0.999745
-28.3	1397	13178	41581967	0.999717
-28.2	1441	14619	41580570	0.999683
-28.1	1560	16179	41579129	0.999649
-28	1795	17974	41577569	0.999611
-27.9	2026	20000	41575774	0.999568
-27.8	2020	22020	41573748	0.999519
-27.7	2257	24277	41571728	0.999471
-27.6	2537	26814	41569471	0.999416
-27.5	2767	29581	41566934	0.999355
-27.4	2933	32514	41564167	0.999289
-27.3	3245	35759	41561234	0.999218
-27.2	3507	39266	41557989	0.99914
-27.1	3755	43021	41554482	0.999056
-27	3996	47017	41550727	0.998966
-26.9	4362	51379	41546731	0.99887
-26.8	4802	56181	41542369	0.998765
-26.7	5085	61266	41537567	0.998649
-26.6	5360	66626	41532482	0.998527
-26.5	5873	72499	41527122	0.998398
-26.4	6220	78719	41521249	0.998257
-26.3	6807	85526	41515029	0.998107
-26.2	7130	92656	41508222	0.997944
-26.1	7458	100114	41501092	0.997772
-26	8309	108423	41493634	0.997593
-25.9	8618	117041	41485325	0.997393
-25.8	9320	126361	41476707	0.997186
-25.7	9974	136335	41467387	0.996962
-25.6	10388	146723	41457413	0.996722
-25.5	11398	158121	41447025	0.996472
-25.4	12200	170321	41435627	0.996198
-25.3	12668	182989	41423427	0.995905
-25.2	13497	196486	41410759	0.995601
-25.1	14359	210845	41397262	0.995276
-25	15315	226160	41382903	0.994931
-24.9	16161	242321	41367588	0.994563
-24.8	17252	259573	41351427	0.994174
-24.7	18344	277917	41334175	0.993759
-24.6	19045	296962	41315831	0.993318
-24.5	20216	317178	41296786	0.99286
-24.4	21437	338615	41276570	0.992374
-24.3	22666	361281	41255133	0.991859
-24.2	25360	386641	41232467	0.991314
-24.1	25073	411714	41207107	0.990704
-24	26281	437995	41182034	0.990102
-23.9	27805	465800	41155753	0.98947
-23.8	29325	495125	41127948	0.988801
-23.7	30689	525814	41098623	0.988096
-23.6	32194	558008	41067934	0.987358
-23.5	33885	591893	41035740	0.986584
-23.4	35133	627026	41001855	0.98577
-23.3	37068	664094	40966722	0.984925
-23.2	38888	702982	40929654	0.984034
-23.1	41097	744079	40890766	0.983099
-23	42535	786614	40849669	0.982111
-22.9	44867	831481	40807134	0.981088
-22.8	46555	878036	40762267	0.980009
-22.7	48263	926299	40715712	0.97889
-22.6	50739	977038	40667449	0.97773
-22.5	52547	1029585	40616710	0.97651
-22.4	54983	1084568	40564163	0.975247
-22.3	57533	1142101	40509180	0.973925
-22.2	59769	1201870	40451647	0.972542
-22.1	62118	1263988	40391878	0.971105
-22	64596	1328584	40329760	0.969611
-21.9	66700	1395284	40265164	0.968058
-21.8	69329	1464613	40198464	0.966454
-21.7	72222	1536835	40129135	0.964788
-21.6	74298	1611133	40056913	0.963051
-21.5	77229	1688362	39982615	0.961265
-21.4	80170	1768532	39905386	0.959408
-21.3	83042	1851574	39825216	0.957481
-21.2	85506	1937080	39742174	0.955484
-21.1	88940	2026020	39656668	0.953429
-21	91938	2117958	39567728	0.95129
-20.9	94904	2212862	39475790	0.94908
-20.8	97567	2310429	39380886	0.946798
-20.7	100959	2411388	39283319	0.944452
-20.6	105108	2516496	39182360	0.942025
-20.5	107414	2623910	39077252	0.939498
-20.4	110830	2734740	38969838	0.936916
-20.3	114660	2849400	38859008	0.934251
-20.2	117363	2966763	38744348	0.931495
-20.1	120959	3087722	38626985	0.928673
-20	124023	3211745	38506026	0.925765
-19.9	128449	3340194	38382003	0.922783
-19.8	131396	3471590	38253554	0.919695
-19.7	134623	3606213	38122158	0.916536
-19.6	138767	3744980	37987535	0.913299
-19.5	142650	3887630	37848768	0.909963
-19.4	146168	4033798	37706118	0.906533
-19.3	149492	4183290	37559950	0.903019
-19.2	153206	4336496	37410458	0.899425
-19.1	155823	4492319	37257252	0.895742
-19	160993	4653312	37101429	0.891995
-18.9	163984	4817296	36940436	0.888125
-18.8	167310	4984606	36776452	0.884182
-18.7	171990	5156596	36609142	0.88016
-18.6	176675	5333271	36437152	0.876025
-18.5	180076	5513347	36260477	0.871777
-18.4	182181	5695528	36080401	0.867448
-18.3	186874	5882402	35898220	0.863068
-18.2	191268	6073670	35711346	0.858575
-18.1	194678	6268348	35520078	0.853976
-18	198451	6466799	35325400	0.849296
-17.9	202853	6669652	35126949	0.844525
-17.8	204534	6874186	34924096	0.839648
-17.7	210118	7084304	34719562	0.83473
-17.6	213109	7297413	34509444	0.829679
-17.5	216785	7514198	34296335	0.824555
-17.4	219825	7734023	34079550	0.819343
-17.3	224143	7958166	33859725	0.814058
-17.2	229537	8187703	33635582	0.808669
-17.1	231162	8418865	33406045	0.803151
-17	235388	8654253	33174883	0.797593
-16.9	237473	8891726	32939495	0.791934
-16.8	241331	9133057	32702022	0.786224
-16.7	245384	9378441	32460691	0.780422
-16.6	249235	9627676	32215307	0.774523
-16.5	251674	9879350	31966072	0.768531
-16.4	292476	10171826	31714398	0.76248
-16.3	257030	10428856	31421922	0.755448
-16.2	261563	10690419	31164892	0.749269
-16.1	264286	10954705	30903329	0.74298
-16	266210	11220915	30639043	0.736626
-15.9	270207	11491122	30372833	0.730226
-15.8	272756	11763878	30102626	0.72373
-15.7	274285	12038163	29829870	0.717172
-15.6	278093	12316256	29555585	0.710578
-15.5	279449	12595705	29277492	0.703892
-15.4	283367	12879072	28998043	0.697173
-15.3	284641	13163713	28714676	0.69036
-15.2	287996	13451709	28430035	0.683517
-15.1	289308	13741017	28142039	0.676593
-15	292837	14033854	27852731	0.669637
-14.9	293678	14327532	27559894	0.662597
-14.8	294851	14622383	27266216	0.655536
-14.7	297906	14920289	26971365	0.648448
-14.6	335829	15256118	26673459	0.641285
-14.5	301594	15557712	26337630	0.633211
-14.4	303386	15861098	26036036	0.62596
-14.3	302016	16163114	25732650	0.618666
-14.2	305586	16468700	25430634	0.611405
-14.1	306300	16775000	25125048	0.604058
-14	307519	17082519	24818748	0.596694
-13.9	308041	17390560	24511229	0.589301
-13.8	309818	17700378	24203188	0.581895
-13.7	309400	18009778	23893370	0.574446
-13.6	310358	18320136	23583970	0.567008
-13.5	310853	18630989	23273612	0.559546
-13.4	311512	18942501	22962759	0.552072
-13.3	312903	19255404	22651247	0.544583
-13.2	311699	19567103	22338344	0.53706
-13.1	311833	19878936	22026645	0.529566
-13	310823	20189759	21714812	0.522069
-12.9	310696	20500455	21403989	0.514596
-12.8	311759	20812214	21093293	0.507127
-12.7	309851	21122065	20781534	0.499631
-12.6	310995	21433060	20471683	0.492182
-12.5	309486	21742546	20160688	0.484705
-12.4	309739	22052285	19851202	0.477264
-12.3	310058	22362343	19541463	0.469817
-12.2	308348	22670691	19231405	0.462363
-12.1	308568	22979259	18923057	0.45495
-12	305953	23285212	18614489	0.447531
-11.9	304586	23589798	18308536	0.440175
-11.8	305185	23894983	18003950	0.432852
-11.7	302081	24197064	17698765	0.425515
-11.6	301447	24498511	17396684	0.418252
-11.5	299897	24798408	17095237	0.411005
-11.4	297084	25095492	16795340	0.403795
-11.3	295788	25391280	16498256	0.396652
-11.2	294853	25686133	16202468	0.389541
-11.1	292388	25978521	15907615	0.382452
-11	290690	26269211	15615227	0.375422
-10.9	288122	26557333	15324537	0.368434
-10.8	286620	26843953	15036415	0.361507
-10.7	284014	27127967	14749795	0.354616
-10.6	283874	27411841	14465781	0.347787
-10.5	278639	27690480	14181907	0.340962
-10.4	277286	27967766	13903268	0.334263
-10.3	274257	28242023	13625982	0.327597
-10.2	271523	28513546	13351725	0.321003
-10.1	269068	28782614	13080202	0.314475
-10	266398	29049012	12811134	0.308006
-9.9	264455	29313467	12544736	0.301601
-9.8	260114	29573581	12280281	0.295243
-9.7	257899	29831480	12020167	0.28899
-9.6	254525	30086005	11762268	0.282789
-9.5	251885	30337890	11507743	0.27667
-9.4	249872	30587762	11255858	0.270614
-9.3	246674	30834436	11005986	0.264607
-9.2	244944	31079380	10759312	0.258676
-9.1	241800	31321180	10514368	0.252787
-9	238741	31559921	10272568	0.246974
-8.9	234462	31794383	10033827	0.241234
-8.8	231756	32026139	9799365	0.235597
-8.7	230885	32257024	9567609	0.230025
-8.6	225849	32482873	9336724	0.224474
-8.5	221691	32704564	9110875	0.219044
-8.4	219247	32923811	8889184	0.213714
-8.3	215066	33138877	8669937	0.208443
-8.2	212091	33350968	8454871	0.203273
-8.1	208576	33559544	8242780	0.198174
-8	206356	33765900	8034204	0.193159
-7.9	202365	33968265	7827848	0.188198
-7.8	198657	34166922	7625483	0.183332
-7.7	195142	34362064	7426826	0.178556
-7.6	193078	34555142	7231684	0.173865
-7.5	187937	34743079	7038606	0.169223
-7.4	186123	34929202	6850669	0.164704
-7.3	181952	35111154	6664546	0.16023
-7.2	178806	35289960	6482594	0.155855
-7.1	174559	35464519	6303788	0.151556
-7	171343	35635862	6129229	0.147359
-6.9	168161	35804023	5957886	0.14324
-6.8	167708	35971731	5789725	0.139197
-6.7	161930	36133661	5622017	0.135165
-6.6	158490	36292151	5460087	0.131272
-6.5	155228	36447379	5301597	0.127461
-6.4	151998	36599377	5146369	0.123729
-6.3	148151	36747528	4994371	0.120075
-6.2	145719	36893247	4846220	0.116513
-6.1	142309	37035556	4700501	0.11301
-6	139449	37175005	4558192	0.109588
-5.9	136807	37311812	4418743	0.106236
-5.8	133454	37445266	4281936	0.102947
-5.7	129548	37574814	4148482	0.0997381
-5.6	126768	37701582	4018934	0.0966235
-5.5	124213	37825795	3892166	0.0935757
-5.4	121407	37947202	3767953	0.0905894
-5.3	118122	38065324	3646546	0.0876705
-5.2	115137	38180461	3528424	0.0848306
-5.1	112729	38293190	3413287	0.0820625
-5	109051	38402241	3300558	0.0793523
-4.9	106995	38509236	3191507	0.0767304
-4.8	103992	38613228	3084512	0.0741581
-4.7	101160	38714388	2980520	0.0716579
-4.6	99059	38813447	2879360	0.0692258
-4.5	95317	38908764	2780301	0.0668442
-4.4	93312	39002076	2684984	0.0645526
-4.3	91030	39093106	2591672	0.0623092
-4.2	89380	39182486	2500642	0.0601206
-4.1	85771	39268257	2411262	0.0579717
-4	83573	39351830	2325491	0.0559096
-3.9	81082	39432912	2241918	0.0539004
-3.8	79235	39512147	2160836	0.051951
-3.7	76390	39588537	2081601	0.050046
-3.6	74598	39663135	2005211	0.0482094
-3.5	72187	39735322	1930613	0.0464159
-3.4	69703	39805025	1858426	0.0446804
-3.3	67969	39872994	1788723	0.0430046
-3.2	65852	39938846	1720754	0.0413705
-3.1	63966	40002812	1654902	0.0397873
-3	62321	40065133	1590936	0.0382494
-2.9	59986	40125119	1528615	0.0367511
-2.8	58105	40183224	1468629	0.0353089
-2.7	56667	40239891	1410524	0.0339119
-2.6	53764	40293655	1353857	0.0325495
-2.5	52394	40346049	1300093	0.0312569
-2.4	50889	40396938	1247699	0.0299973
-2.3	48856	40445794	1196810	0.0287738
-2.2	47269	40493063	1147954	0.0275992
-2.1	45614	40538677	1100685	0.0264628
-2	44345	40583022	1055071	0.0253661
-1.9	43803	40626825	1010726	 0.0243
-1.8	41093	40667918	966923	0.0232468
-1.7	39418	40707336	925830	0.0222589
-1.6	38466	40745802	886412	0.0213112
-1.5	36783	40782585	847946	0.0203864
-1.4	35469	40818054	811163	0.019502
-1.3	34606	40852660	775694	0.0186493
-1.2	34619	40887279	741088	0.0178173
-1.1	31887	40919166	706469	0.016985
-1	30295	40949461	674582	0.0162184
-0.9	29194	40978655	644287	0.01549
-0.8	28385	41007040	615093	0.0147881
-0.7	27515	41034555	586708	0.0141057
-0.6	25992	41060547	559193	0.0134442
-0.5	25334	41085881	533201	0.0128193
-0.4	24297	41110178	507867	0.0122102
-0.3	23121	41133299	483570	0.011626
-0.2	22101	41155400	460449	0.0110701
-0.1	21367	41176767	438348	0.0105388
0	20509	41197276	416981	0.0100251
0.1	19654	41216930	396472	0.00953201
0.2	18990	41235920	376818	0.00905949
0.3	17778	41253698	357828	0.00860293
0.4	17012	41270710	340050	0.00817551
0.5	16181	41286891	323038	0.0077665
0.6	15831	41302722	306857	0.00737748
0.7	15205	41317927	291026	0.00699687
0.8	14658	41332585	275821	0.00663131
0.9	13802	41346387	261163	0.0062789
1	12949	41359336	247361	0.00594707
1.1	12583	41371919	234412	0.00563575
1.2	11977	41383896	221829	0.00533323
1.3	11233	41395129	209852	0.00504528
1.4	10762	41405891	198619	0.00477521
1.5	10280	41416171	187857	0.00451647
1.6	9689	41425860	177577	0.00426932
1.7	9317	41435177	167888	0.00403638
1.8	8877	41444054	158571	0.00381238
1.9	8494	41452548	149694	0.00359895
2	7971	41460519	141200	0.00339474
2.1	7623	41468142	133229	0.0032031
2.2	7188	41475330	125606	0.00301983
2.3	6959	41482289	118418	0.00284701
2.4	6692	41488981	111459	0.00267971
2.5	6183	41495164	104767	0.00251882
2.6	5851	41501015	98584	0.00237016
2.7	5641	41506656	92733	0.00222949
2.8	5274	41511930	87092	0.00209387
2.9	5129	41517059	81818	0.00196707
3	4870	41521929	76689	0.00184376
3.1	4497	41526426	71819	0.00172668
3.2	4154	41530580	67322	0.00161856
3.3	4083	41534663	63168	0.00151869
3.4	3750	41538413	59085	0.00142053
3.5	3544	41541957	55335	0.00133037
3.6	3217	41545174	51791	0.00124516
3.7	3157	41548331	48574	0.00116782
3.8	3006	41551337	45417	0.00109192
3.9	2788	41554125	42411	0.00101965
4	2665	41556790	39623	0.000952619
4.1	2527	41559317	36958	0.000888547
4.2	2394	41561711	34431	0.000827793
4.3	2132	41563843	32037	0.000770236
4.4	2042	41565885	29905	0.000718978
4.5	1880	41567765	27863	0.000669884
4.6	1846	41569611	25983	0.000624685
4.7	1842	41571453	24137	0.000580304
4.8	1617	41573070	22295	0.000536018
4.9	1424	41574494	20678	0.000497142
5	1396	41575890	19254	0.000462906
5.1	1268	41577158	17858	0.000429343
5.2	1239	41578397	16590	0.000398858
5.3	1115	41579512	15351	0.00036907
5.4	1029	41580541	14236	0.000342263
5.5	1014	41581555	13207	0.000317524
5.6	935	41582490	12193	0.000293145
5.7	839	41583329	11258	0.000270666
5.8	820	41584149	10419	0.000250494
5.9	729	41584878	9599	0.00023078
6	665	41585543	8870	0.000213253
6.1	657	41586200	8205	0.000197265
6.2	636	41586836	7548	0.00018147
6.3	554	41587390	6912	0.000166179
6.4	449	41587839	6358	0.00015286
6.5	489	41588328	5909	0.000142065
6.6	438	41588766	5420	0.000130308
6.7	450	41589216	4982	0.000119778
6.8	421	41589637	4532	0.000108959
6.9	333	41589970	4111	9.8837e-05
7	291	41590261	3778	9.0831e-05
7.1	360	41590621	3487	8.38347e-05
7.2	287	41590908	3127	7.51796e-05
7.3	250	41591158	2840	6.82795e-05
7.4	219	41591377	2590	6.2269e-05
7.5	275	41591652	2371	5.70038e-05
7.6	193	41591845	2096	5.03922e-05
7.7	176	41592021	1903	4.57521e-05
7.8	181	41592202	1727	4.15207e-05
7.9	141	41592343	1546	3.7169e-05
8	123	41592466	1405	3.37791e-05
8.1	125	41592591	1282	3.08219e-05
8.2	105	41592696	1157	2.78167e-05
8.3	110	41592806	1052	2.52923e-05
8.4	113	41592919	942	2.26476e-05
8.5	66	41592985	829	1.99309e-05
8.6	88	41593073	763	1.83441e-05
8.7	68	41593141	675	1.62284e-05
8.8	94	41593235	607	1.45935e-05
8.9	61	41593296	513	1.23336e-05
9	59	41593355	452	1.0867e-05
9.1	41	41593396	393	9.44854e-06
9.2	32	41593428	352	8.46281e-06
9.3	37	41593465	320	7.69346e-06
9.4	31	41593496	283	6.80391e-06
9.5	17	41593513	252	6.0586e-06
9.6	28	41593541	235	5.64989e-06
9.7	28	41593569	207	4.97671e-06
9.8	25	41593594	179	4.30353e-06
9.9	18	41593612	154	3.70248e-06
10	20	41593632	136	3.26972e-06
10.1	8	41593640	116	2.78888e-06
10.2	11	41593651	108	2.59654e-06
10.3	8	41593659	97	2.33208e-06
10.4	15	41593674	89	2.13974e-06
10.5	3	41593677	74	1.77911e-06
10.6	14	41593691	71	1.70699e-06
10.7	7	41593698	57	1.3704e-06
10.8	3	41593701	50	1.2021e-06
10.9	8	41593709	47	1.12998e-06
11	6	41593715	39	9.37641e-07
11.1	1	41593716	33	7.93388e-07
11.2	7	41593723	32	7.69346e-07
11.3	1	41593724	25	6.01052e-07
11.4	4	41593728	24	5.7701e-07
11.5	1	41593729	20	4.80841e-07
11.6	2	41593731	19	4.56799e-07
11.7	3	41593734	17	4.08715e-07
11.8	1	41593735	14	3.36589e-07
11.9	3	41593738	13	3.12547e-07
12	1	41593739	10	2.40421e-07
12.1	3	41593742	9	2.16379e-07
12.2	0	41593742	6	1.44252e-07
12.3	1	41593743	6	1.44252e-07
12.4	1	41593744	5	1.2021e-07
12.5	0	41593744	4	9.61683e-08
12.6	2	41593746	4	9.61683e-08
12.7	1	41593747	2	4.80841e-08
12.8	0	41593747	1	2.40421e-08
12.9	1	41593748	1	2.40421e-08
