#score	occ	co	cco	dCDF
-32.7	1	1	20796873	1
-32.6	0	1	20796873	1
-32.5	0	1	20796873	1
-32.4	0	1	20796873	1
-32.3	1	2	20796872	1
-32.2	3	5	20796869	1
-32.1	2	7	20796867	1
-32	1	8	20796866	1
-31.9	2	10	20796864	1
-31.8	6	16	20796858	0.999999
-31.7	4	20	20796854	0.999999
-31.6	8	28	20796846	0.999999
-31.5	9	37	20796837	0.999998
-31.4	7	44	20796830	0.999998
-31.3	8	52	20796822	0.999997
-31.2	20	72	20796802	0.999997
-31.1	12	84	20796790	0.999996
-31	23	107	20796767	0.999995
-30.9	21	128	20796746	0.999994
-30.8	24	152	20796722	0.999993
-30.7	37	189	20796685	0.999991
-30.6	46	235	20796639	0.999989
-30.5	41	276	20796598	0.999987
-30.4	64	340	20796534	0.999984
-30.3	70	410	20796464	0.99998
-30.2	73	483	20796391	0.999977
-30.1	75	558	20796316	0.999973
-30	101	659	20796215	0.999968
-29.9	114	773	20796101	0.999963
-29.8	133	906	20795968	0.999956
-29.7	153	1059	20795815	0.999949
-29.6	137	1196	20795678	0.999942
-29.5	194	1390	20795484	0.999933
-29.4	209	1599	20795275	0.999923
-29.3	274	1873	20795001	0.99991
-29.2	254	2127	20794747	0.999898
-29.1	298	2425	20794449	0.999883
-29	339	2764	20794110	0.999867
-28.9	346	3110	20793764	0.99985
-28.8	405	3515	20793359	0.999831
-28.7	437	3952	20792922	0.99981
-28.6	521	4473	20792401	0.999785
-28.5	509	4982	20791892	0.99976
-28.4	596	5578	20791296	0.999732
-28.3	735	6313	20790561	0.999696
-28.2	721	7034	20789840	0.999662
-28.1	776	7810	20789064	0.999624
-28	850	8660	20788214	0.999584
-27.9	972	9632	20787242	0.999537
-27.8	1024	10656	20786218	0.999488
-27.7	1114	11770	20785104	0.999434
-27.6	1268	13038	20783836	0.999373
-27.5	1358	14396	20782478	0.999308
-27.4	1454	15850	20781024	0.999238
-27.3	1711	17561	20779313	0.999156
-27.2	1730	19291	20777583	0.999072
-27.1	1927	21218	20775656	0.99898
-27	2057	23275	20773599	0.998881
-26.9	2188	25463	20771411	0.998776
-26.8	2416	27879	20768995	0.998659
-26.7	2605	30484	20766390	0.998534
-26.6	2649	33133	20763741	0.998407
-26.5	2918	36051	20760823	0.998267
-26.4	3162	39213	20757661	0.998114
-26.3	3559	42772	20754102	0.997943
-26.2	3651	46423	20750451	0.997768
-26.1	3746	50169	20746705	0.997588
-26	4101	54270	20742604	0.99739
-25.9	4343	58613	20738261	0.997182
-25.8	4533	63146	20733728	0.996964
-25.7	4944	68090	20728784	0.996726
-25.6	5228	73318	20723556	0.996475
-25.5	5725	79043	20717831	0.996199
-25.4	6133	85176	20711698	0.995904
-25.3	6510	91686	20705188	0.995591
-25.2	6843	98529	20698345	0.995262
-25.1	7126	105655	20691219	0.99492
-25	7623	113278	20683596	0.994553
-24.9	7987	121265	20675609	0.994169
-24.8	8707	129972	20666902	0.99375
-24.7	9123	139095	20657779	0.993312
-24.6	9560	148655	20648219	0.992852
-24.5	10043	158698	20638176	0.992369
-24.4	10727	169425	20627449	0.991853
-24.3	11323	180748	20616126	0.991309
-24.2	13411	194159	20602715	0.990664
-24.1	12557	206716	20590158	0.99006
-24	13189	219905	20576969	0.989426
-23.9	13809	233714	20563160	0.988762
-23.8	14542	248256	20548618	0.988063
-23.7	15366	263622	20533252	0.987324
-23.6	15928	279550	20517324	0.986558
-23.5	16682	296232	20500642	0.985756
-23.4	17368	313600	20483274	0.984921
-23.3	18467	332067	20464807	0.984033
-23.2	19290	351357	20445517	0.983105
-23.1	20669	372026	20424848	0.982111
-23	21329	393355	20403519	0.981086
-22.9	22677	416032	20380842	0.979995
-22.8	23256	439288	20357586	0.978877
-22.7	23962	463250	20333624	0.977725
-22.6	25136	488386	20308488	0.976516
-22.5	26104	514490	20282384	0.975261
-22.4	27257	541747	20255127	0.973951
-22.3	28834	570581	20226293	0.972564
-22.2	29629	600210	20196664	0.971139
-22.1	30755	630965	20165909	0.969661
-22	32224	663189	20133685	0.968111
-21.9	33295	696484	20100390	0.96651
-21.8	34382	730866	20066008	0.964857
-21.7	36011	766877	20029997	0.963125
-21.6	37083	803960	19992914	0.961342
-21.5	38419	842379	19954495	0.959495
-21.4	40099	882478	19914396	0.957567
-21.3	41275	923753	19873121	0.955582
-21.2	42751	966504	19830370	0.953526
-21.1	44338	1010842	19786032	0.951395
-21	45806	1056648	19740226	0.949192
-20.9	47503	1104151	19692723	0.946908
-20.8	48582	1152733	19644141	0.944572
-20.7	50106	1202839	19594035	0.942163
-20.6	52477	1255316	19541558	0.939639
-20.5	53577	1308893	19487981	0.937063
-20.4	54796	1363689	19433185	0.934428
-20.3	56974	1420663	19376211	0.931689
-20.2	58793	1479456	19317418	0.928862
-20.1	60177	1539633	19257241	0.925968
-20	61972	1601605	19195269	0.922988
-19.9	63771	1665376	19131498	0.919922
-19.8	65366	1730742	19066132	0.916779
-19.7	67159	1797901	18998973	0.913549
-19.6	69108	1867009	18929865	0.910226
-19.5	71730	1938739	18858135	0.906777
-19.4	73426	2012165	18784709	0.903247
-19.3	74275	2086440	18710434	0.899675
-19.2	76575	2163015	18633859	0.895993
-19.1	77802	2240817	18556057	0.892252
-19	80356	2321173	18475701	0.888388
-18.9	82060	2403233	18393641	0.884443
-18.8	83651	2486884	18309990	0.88042
-18.7	85916	2572800	18224074	0.876289
-18.6	88478	2661278	18135596	0.872035
-18.5	90040	2751318	18045556	0.867705
-18.4	90985	2842303	17954571	0.86333
-18.3	93866	2936169	17860705	0.858817
-18.2	95411	3031580	17765294	0.854229
-18.1	97796	3129376	17667498	0.849527
-18	99342	3228718	17568156	0.84475
