#score	occ	co	cco	dCDF
-34.4	1	1	20796873	1
-34.3	0	1	20796873	1
-34.2	1	2	20796872	1
-34.1	1	3	20796871	1
-34	0	3	20796871	1
-33.9	0	3	20796871	1
-33.8	0	3	20796871	1
-33.7	2	5	20796869	1
-33.6	5	10	20796864	1
-33.5	4	14	20796860	0.999999
-33.4	0	14	20796860	0.999999
-33.3	3	17	20796857	0.999999
-33.2	6	23	20796851	0.999999
-33.1	8	31	20796843	0.999999
-33	5	36	20796838	0.999998
-32.9	9	45	20796829	0.999998
-32.8	5	50	20796824	0.999998
-32.7	6	56	20796818	0.999997
-32.6	10	66	20796808	0.999997
-32.5	11	77	20796797	0.999996
-32.4	11	88	20796786	0.999996
-32.3	15	103	20796771	0.999995
-32.2	23	126	20796748	0.999994
-32.1	27	153	20796721	0.999993
-32	26	179	20796695	0.999991
-31.9	25	204	20796670	0.99999
-31.8	18	222	20796652	0.999989
-31.7	41	263	20796611	0.999987
-31.6	55	318	20796556	0.999985
-31.5	65	383	20796491	0.999982
-31.4	64	447	20796427	0.999979
-31.3	74	521	20796353	0.999975
-31.2	74	595	20796279	0.999971
-31.1	87	682	20796192	0.999967
-31	105	787	20796087	0.999962
-30.9	111	898	20795976	0.999957
-30.8	117	1015	20795859	0.999951
-30.7	180	1195	20795679	0.999943
-30.6	153	1348	20795526	0.999935
-30.5	192	1540	20795334	0.999926
-30.4	224	1764	20795110	0.999915
-30.3	242	2006	20794868	0.999904
-30.2	240	2246	20794628	0.999892
-30.1	299	2545	20794329	0.999878
-30	291	2836	20794038	0.999864
-29.9	368	3204	20793670	0.999846
-29.8	355	3559	20793315	0.999829
-29.7	428	3987	20792887	0.999808
-29.6	449	4436	20792438	0.999787
-29.5	509	4945	20791929	0.999762
-29.4	527	5472	20791402	0.999737
-29.3	684	6156	20790718	0.999704
-29.2	696	6852	20790022	0.999671
-29.1	712	7564	20789310	0.999636
-29	797	8361	20788513	0.999598
-28.9	921	9282	20787592	0.999554
-28.8	961	10243	20786631	0.999507
-28.7	1068	11311	20785563	0.999456
-28.6	1112	12423	20784451	0.999403
-28.5	1201	13624	20783250	0.999345
-28.4	1400	15024	20781850	0.999278
-28.3	1469	16493	20780381	0.999207
-28.2	1623	18116	20778758	0.999129
-28.1	1669	19785	20777089	0.999049
-28	1838	21623	20775251	0.99896
-27.9	1871	23494	20773380	0.99887
-27.8	2076	25570	20771304	0.99877
-27.7	2263	27833	20769041	0.998662
-27.6	2375	30208	20766666	0.998547
-27.5	2571	32779	20764095	0.998424
-27.4	2740	35519	20761355	0.998292
-27.3	2967	38486	20758388	0.998149
-27.2	3183	41669	20755205	0.997996
-27.1	3255	44924	20751950	0.99784
-27	3558	48482	20748392	0.997669
-26.9	3806	52288	20744586	0.997486
-26.8	4100	56388	20740486	0.997289
-26.7	4351	60739	20736135	0.997079
-26.6	4463	65202	20731672	0.996865
-26.5	4741	69943	20726931	0.996637
-26.4	5222	75165	20721709	0.996386
-26.3	5424	80589	20716285	0.996125
-26.2	5836	86425	20710449	0.995844
-26.1	6156	92581	20704293	0.995548
-26	6534	99115	20697759	0.995234
-25.9	6657	105772	20691102	0.994914
-25.8	7186	112958	20683916	0.994569
-25.7	7641	120599	20676275	0.994201
-25.6	8085	128684	20668190	0.993812
-25.5	8442	137126	20659748	0.993406
-25.4	8793	145919	20650955	0.992984
-25.3	9351	155270	20641604	0.992534
-25.2	9876	165146	20631728	0.992059
-25.1	10622	175768	20621106	0.991548
-25	11169	186937	20609937	0.991011
-24.9	11301	198238	20598636	0.990468
-24.8	12372	210610	20586264	0.989873
-24.7	13052	223662	20573212	0.989245
-24.6	13382	237044	20559830	0.988602
-24.5	13749	250793	20546081	0.987941
-24.4	14630	265423	20531451	0.987237
-24.3	15425	280848	20516026	0.986496
-24.2	16042	296890	20499984	0.985724
-24.1	16675	313565	20483309	0.984922
-24	17178	330743	20466131	0.984097
-23.9	18189	348932	20447942	0.983222
-23.8	19165	368097	20428777	0.9823
-23.7	19571	387668	20409206	0.981359
-23.6	20296	407964	20388910	0.980383
-23.5	21845	429809	20367065	0.979333
-23.4	22221	452030	20344844	0.978265
-23.3	23017	475047	20321827	0.977158
-23.2	24183	499230	20297644	0.975995
-23.1	25091	524321	20272553	0.974788
-23	26458	550779	20246095	0.973516
-22.9	26616	577395	20219479	0.972236
-22.8	27741	605136	20191738	0.970903
-22.7	28756	633892	20162982	0.96952
-22.6	30390	664282	20132592	0.968059
-22.5	31087	695369	20101505	0.966564
-22.4	32319	727688	20069186	0.96501
-22.3	33482	761170	20035704	0.9634
-22.2	34626	795796	20001078	0.961735
-22.1	35949	831745	19965129	0.960006
-22	36964	868709	19928165	0.958229
-21.9	38343	907052	19889822	0.956385
-21.8	39505	946557	19850317	0.954486
-21.7	40806	987363	19809511	0.952523
-21.6	42078	1029441	19767433	0.9505
-21.5	43161	1072602	19724272	0.948425
-21.4	44360	1116962	19679912	0.946292
-21.3	45834	1162796	19634078	0.944088
-21.2	47348	1210144	19586730	0.941811
-21.1	48867	1259011	19537863	0.939462
-21	50383	1309394	19487480	0.937039
