; matrix-distrib  -v 1 -m $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do562plusdo732_mmus_hnf4a_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do562plusdo732_mmus_hnf4a_liver_meme_top_m1_matrix.tab -matrix_format tab -pseudo 1 -bgfile $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab -bg_format inclusive -bg_pseudo 0.01 -decimals 1 -o $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do562plusdo732_mmus_hnf4a_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do562plusdo732_mmus_hnf4a_liver_meme_top_m1_theor_score_distrib.tab
; Input files
;	bgfile	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab
; Output files
;	output	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do562plusdo732_mmus_hnf4a_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do562plusdo732_mmus_hnf4a_liver_meme_top_m1_theor_score_distrib.tab
; Background model
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26457
;		c	0.23303
;		g	0.23983
;		t	0.26257
;
; Matrix: matrix-quality_2014-09-05
;
; Theoretical distribution of weight probabilities
;	1	weight      	log-likelihood score: w=P(S|M)/P(S|B)
;	2	proba       	probability density function: P(W=w)
;	3	cum         	cumulative density function: P(W <= w)
;	4	Pval        	P-value = inverse cumulative density function: Pval = P(W >= w)
;	5	ln_Pval     	natural logarithm of the P-value
;	6	log_P       	base 10 logarithm of the P-value
;	7	sig         	significance: sig = -log10(Pval)
#weight	proba	cum	Pval	ln_Pval	log_P	sig
-35.0	NA	0.0e+00	1.0e+00	0.000	-0	0.000
-34.9	4.6e-09	4.6e-09	1.0e+00	0.000	-0	0.000
-34.8	4.5e-09	9.1e-09	1.0e+00	-0.000	-0	0.000
-34.7	7.8e-09	1.7e-08	1.0e+00	-0.000	-0	0.000
-34.6	NA	1.7e-08	1.0e+00	-0.000	-0	0.000
-34.5	8.5e-09	2.5e-08	1.0e+00	-0.000	-0	0.000
-34.4	8.3e-09	3.4e-08	1.0e+00	-0.000	-0	0.000
-34.3	2.7e-08	6.0e-08	1.0e+00	-0.000	-0	0.000
-34.2	2.6e-08	8.7e-08	1.0e+00	-0.000	-0	0.000
-34.1	3.7e-08	1.2e-07	1.0e+00	-0.000	-0	0.000
-34.0	3.5e-08	1.6e-07	1.0e+00	-0.000	-0	0.000
-33.9	4.7e-08	2.1e-07	1.0e+00	-0.000	-0	0.000
-33.8	4.3e-08	2.5e-07	1.0e+00	-0.000	-0	0.000
-33.7	7.5e-08	3.2e-07	1.0e+00	-0.000	-0	0.000
-33.6	1.3e-07	4.5e-07	1.0e+00	-0.000	-0	0.000
-33.5	1.5e-07	6.0e-07	1.0e+00	-0.000	-0	0.000
-33.4	1.4e-07	7.4e-07	1.0e+00	-0.000	-0	0.000
-33.3	1.7e-07	9.1e-07	1.0e+00	-0.000	-0	0.000
-33.2	1.9e-07	1.1e-06	1.0e+00	-0.000	-0	0.000
-33.1	2.5e-07	1.4e-06	1.0e+00	-0.000	-0	0.000
-33.0	3.7e-07	1.7e-06	1.0e+00	-0.000	-0	0.000
-32.9	4.1e-07	2.1e-06	1.0e+00	-0.000	-0	0.000
-32.8	3.9e-07	2.5e-06	1.0e+00	-0.000	-0	0.000
-32.7	4.3e-07	3.0e-06	1.0e+00	-0.000	-0	0.000
-32.6	6.5e-07	3.6e-06	1.0e+00	-0.000	-0	0.000
-32.5	8.0e-07	4.4e-06	1.0e+00	-0.000	-0	0.000
-32.4	8.1e-07	5.2e-06	1.0e+00	-0.000	-0	0.000
-32.3	9.1e-07	6.1e-06	1.0e+00	-0.000	-0	0.000
