#weight	occ	cum	dcum	dCDF
-49.3	3	3	41593748	      1
-49.2	1	4	41593745	      1
-49.1	7	11	41593744	      1
-49	8	19	41593737	      1
-48.9	10	29	41593729	      1
-48.8	24	53	41593719	0.999999
-48.7	37	90	41593695	0.999999
-48.6	85	175	41593658	0.999998
-48.5	60	235	41593573	0.999996
-48.4	105	340	41593513	0.999994
-48.3	261	601	41593408	0.999992
-48.2	249	850	41593147	0.999986
-48.1	543	1393	41592898	0.99998
-48	534	1927	41592355	0.999967
-47.9	538	2465	41591821	0.999954
-47.8	879	3344	41591283	0.999941
-47.7	917	4261	41590404	0.99992
-47.6	1363	5624	41589487	0.999898
-47.5	1126	6750	41588124	0.999865
-47.4	1398	8148	41586998	0.999838
-47.3	1584	9732	41585600	0.999804
-47.2	1768	11500	41584016	0.999766
-47.1	2093	13593	41582248	0.999724
-47	2268	15861	41580155	0.999673
-46.9	2699	18560	41577887	0.999619
-46.8	2809	21369	41575188	0.999554
-46.7	3363	24732	41572379	0.999486
-46.6	3681	28413	41569016	0.999405
-46.5	3781	32194	41565335	0.999317
-46.4	4251	36445	41561554	0.999226
-46.3	4594	41039	41557303	0.999124
-46.2	5007	46046	41552709	0.999013
-46.1	5402	51448	41547702	0.998893
-46	5626	57074	41542300	0.998763
-45.9	6577	63651	41536674	0.998628
-45.8	6850	70501	41530097	0.99847
-45.7	7288	77789	41523247	0.998305
-45.6	7912	85701	41515959	0.99813
-45.5	8171	93872	41508047	0.99794
-45.4	8816	102688	41499876	0.997743
-45.3	9486	112174	41491060	0.997531
-45.2	9904	122078	41481574	0.997303
-45.1	10449	132527	41471670	0.997065
-45	10828	143355	41461221	0.996814
-44.9	11762	155117	41450393	0.996553
-44.8	12373	167490	41438631	0.996271
-44.7	12613	180103	41426258	0.995973
-44.6	13106	193209	41413645	0.99567
-44.5	14094	207303	41400539	0.995355
-44.4	14457	221760	41386445	0.995016
-44.3	15265	237025	41371988	0.994668
-44.2	15415	252440	41356723	0.994301
-44.1	16154	268594	41341308	0.993931
-44	16622	285216	41325154	0.993542
-43.9	17215	302431	41308532	0.993143
-43.8	17869	320300	41291317	0.992729
-43.7	18421	338721	41273448	0.992299
-43.6	18967	357688	41255027	0.991856
-43.5	19510	377198	41236060	 0.9914
-43.4	20099	397297	41216550	0.990931
-43.3	20886	418183	41196451	0.990448
-43.2	21261	439444	41175565	0.989946
-43.1	21899	461343	41154304	0.989435
-43	22272	483615	41132405	0.988908
-42.9	22024	505639	41110133	0.988373
-42.8	23103	528742	41088109	0.987843
-42.7	23333	552075	41065006	0.987288
-42.6	23494	575569	41041673	0.986727
-42.5	24037	599606	41018179	0.986162
-42.4	24604	624210	40994142	0.985584
-42.3	24709	648919	40969538	0.984993
-42.2	24875	673794	40944829	0.984399
-42.1	25079	698873	40919954	0.983801
-42	25241	724114	40894875	0.983198
-41.9	25262	749376	40869634	0.982591
-41.8	25566	774942	40844372	0.981983
-41.7	25496	800438	40818806	0.981369
-41.6	25575	826013	40793310	0.980756
-41.5	25632	851645	40767735	0.980141
-41.4	25900	877545	40742103	0.979525
-41.3	26164	903709	40716203	0.978902
-41.2	25947	929656	40690039	0.978273
-41.1	26058	955714	40664092	0.977649
-41	26651	982365	40638034	0.977023
-40.9	26843	1009208	40611383	0.976382
-40.8	27230	1036438	40584540	0.975737
-40.7	28541	1064979	40557310	0.975082
-40.6	28519	1093498	40528769	0.974396
-40.5	28780	1122278	40500250	0.97371
-40.4	29066	1151344	40471470	0.973018
-40.3	29785	1181129	40442404	0.972319
-40.2	31338	1212467	40412619	0.971603
-40.1	31892	1244359	40381281	0.97085
-40	32874	1277233	40349389	0.970083
-39.9	34293	1311526	40316515	0.969293
-39.8	35393	1346919	40282222	0.968468
-39.7	37205	1384124	40246829	0.967617
-39.6	37663	1421787	40209624	0.966723
-39.5	39586	1461373	40171961	0.965817
-39.4	41392	1502765	40132375	0.964866
-39.3	42606	1545371	40090983	0.96387
-39.2	44163	1589534	40048377	0.962846
-39.1	46362	1635896	40004214	0.961784
-39	47920	1683816	39957852	0.96067
-38.9	50455	1734271	39909932	0.959518
-38.8	52563	1786834	39859477	0.958305
-38.7	53459	1840293	39806914	0.957041
-38.6	56716	1897009	39753455	0.955756
-38.5	57948	1954957	39696739	0.954392
-38.4	59790	2014747	39638791	0.952999
-38.3	62081	2076828	39579001	0.951561
-38.2	64269	2141097	39516920	0.950069
