#score	occ	co	cco	dCDF
-48.9	1	1	20796873	1
-48.8	3	4	20796870	1
-48.7	4	8	20796866	1
-48.6	5	13	20796861	0.999999
-48.5	8	21	20796853	0.999999
-48.4	19	40	20796834	0.999998
-48.3	32	72	20796802	0.999997
-48.2	40	112	20796762	0.999995
-48.1	64	176	20796698	0.999992
-48	101	277	20796597	0.999987
-47.9	121	398	20796476	0.999981
-47.8	146	544	20796330	0.999974
-47.7	249	793	20796081	0.999962
-47.6	278	1071	20795803	0.999949
-47.5	319	1390	20795484	0.999933
-47.4	354	1744	20795130	0.999916
-47.3	458	2202	20794672	0.999894
-47.2	521	2723	20794151	0.999869
-47.1	677	3400	20793474	0.999837
-47	734	4134	20792740	0.999801
-46.9	881	5015	20791859	0.999759
-46.8	917	5932	20790942	0.999715
-46.7	1079	7011	20789863	0.999663
-46.6	1249	8260	20788614	0.999603
-46.5	1275	9535	20787339	0.999542
-46.4	1489	11024	20785850	0.99947
-46.3	1677	12701	20784173	0.999389
-46.2	1863	14564	20782310	0.9993
-46.1	2057	16621	20780253	0.999201
-46	2177	18798	20778076	0.999096
-45.9	2512	21310	20775564	0.998975
-45.8	2779	24089	20772785	0.998842
-45.7	2947	27036	20769838	0.9987
-45.6	3308	30344	20766530	0.998541
-45.5	3296	33640	20763234	0.998382
-45.4	3676	37316	20759558	0.998206
-45.3	4017	41333	20755541	0.998013
-45.2	4315	45648	20751226	0.997805
-45.1	4623	50271	20746603	0.997583
-45	4748	55019	20741855	0.997354
-44.9	4990	60009	20736865	0.997115
-44.8	5417	65426	20731448	0.996854
-44.7	5614	71040	20725834	0.996584
-44.6	6054	77094	20719780	0.996293
-44.5	6354	83448	20713426	0.995987
-44.4	6647	90095	20706779	0.995668
-44.3	6866	96961	20699913	0.995338
-44.2	7287	104248	20692626	0.994987
-44.1	7447	111695	20685179	0.994629
-44	7839	119534	20677340	0.994252
-43.9	8137	127671	20669203	0.993861
-43.8	8528	136199	20660675	0.993451
-43.7	8840	145039	20651835	0.993026
-43.6	8939	153978	20642896	0.992596
-43.5	9165	163143	20633731	0.992155
-43.4	9492	172635	20624239	0.991699
-43.3	10143	182778	20614096	0.991211
-43.2	10160	192938	20603936	0.990723
-43.1	10499	203437	20593437	0.990218
-43	10896	214333	20582541	0.989694
-42.9	10529	224862	20572012	0.989188
-42.8	11281	236143	20560731	0.988645
-42.7	11285	247428	20549446	0.988103
-42.6	11369	258797	20538077	0.987556
-42.5	11615	270412	20526462	0.986997
-42.4	11925	282337	20514537	0.986424
-42.3	11930	294267	20502607	0.98585
-42.2	12155	306422	20490452	0.985266
-42.1	12357	318779	20478095	0.984672
-42	12592	331371	20465503	0.984066
-41.9	12403	343774	20453100	0.98347
-41.8	12630	356404	20440470	0.982863
-41.7	12600	369004	20427870	0.982257
-41.6	12847	381851	20415023	0.981639
-41.5	12892	394743	20402131	0.981019
-41.4	13205	407948	20388926	0.980384
-41.3	13454	421402	20375472	0.979737
-41.2	13399	434801	20362073	0.979093
-41.1	13481	448282	20348592	0.978445
-41	13734	462016	20334858	0.977784
-40.9	14077	476093	20320781	0.977107
-40.8	14258	490351	20306523	0.976422
-40.7	14609	504960	20291914	0.975719
-40.6	15078	520038	20276836	0.974994
-40.5	15212	535250	20261624	0.974263
-40.4	15493	550743	20246131	0.973518
-40.3	15772	566515	20230359	0.97276
-40.2	16825	583340	20213534	0.971951
-40.1	17039	600379	20196495	0.971131
-40	17437	617816	20179058	0.970293
-39.9	18187	636003	20160871	0.969418
-39.8	18537	654540	20142334	0.968527
-39.7	19764	674304	20122570	0.967577
-39.6	19852	694156	20102718	0.966622
-39.5	20680	714836	20082038	0.965628
-39.4	21335	736171	20060703	0.964602
-39.3	21745	757916	20038958	0.963556
-39.2	22594	780510	20016364	0.96247
-39.1	23621	804131	19992743	0.961334
-39	24222	828353	19968521	0.960169
-38.9	25477	853830	19943044	0.958944
-38.8	26295	880125	19916749	0.95768
-38.7	26939	907064	19889810	0.956385
-38.6	28316	935380	19861494	0.955023
-38.5	28490	963870	19833004	0.953653
-38.4	29259	993129	19803745	0.952246
-38.3	30300	1023429	19773445	0.950789
-38.2	31242	1054671	19742203	0.949287
-38.1	32053	1086724	19710150	0.947746
-38	32975	1119699	19677175	0.94616
-37.9	34650	1154349	19642525	0.944494
-37.8	34681	1189030	19607844	0.942827
-37.7	35062	1224092	19572782	0.941141
-37.6	36060	1260152	19536722	0.939407
-37.5	36968	1297120	19499754	0.937629
-37.4	37695	1334815	19462059	0.935817
-37.3	38414	1373229	19423645	0.933969
-37.2	39409	1412638	19384236	0.932075
-37.1	40396	1453034	19343840	0.930132
-37	41810	1494844	19302030	0.928122
-36.9	41954	1536798	19260076	0.926104
-36.8	42793	1579591	19217283	0.924047
-36.7	43857	1623448	19173426	0.921938
-36.6	45262	1668710	19128164	0.919761
-36.5	45643	1714353	19082521	0.917567
-36.4	46368	1760721	19036153	0.915337
-36.3	46749	1807470	18989404	0.913089
-36.2	47840	1855310	18941564	0.910789
-36.1	48529	1903839	18893035	0.908456
-36	49334	1953173	18843701	0.906083
-35.9	49693	2002866	18794008	0.903694
-35.8	50323	2053189	18743685	0.901274
-35.7	50724	2103913	18692961	0.898835
-35.6	51494	2155407	18641467	0.896359
-35.5	51374	2206781	18590093	0.893889
-35.4	52169	2258950	18537924	0.89138
-35.3	52530	2311480	18485394	0.888854
-35.2	52528	2364008	18432866	0.886329
-35.1	52709	2416717	18380157	0.883794
-35	53288	2470005	18326869	0.881232
-34.9	52721	2522726	18274148	0.878697
-34.8	52708	2575434	18221440	0.876162
-34.7	53218	2628652	18168222	0.873604
-34.6	53636	2682288	18114586	0.871024
-34.5	53350	2735638	18061236	0.868459
-34.4	52817	2788455	18008419	0.86592
-34.3	52830	2841285	17955589	0.863379
-34.2	52887	2894172	17902702	0.860836
-34.1	53126	2947298	17849576	0.858282
-34	53731	3001029	17795845	0.855698
-33.9	53432	3054461	17742413	0.853129
-33.8	54275	3108736	17688138	0.850519
-33.7	54216	3162952	17633922	0.847912
-33.6	54318	3217270	17579604	0.8453
-33.5	73566	3290836	17506038	0.841763
-33.4	54965	3345801	17451073	0.83912
-33.3	56503	3402304	17394570	0.836403
-33.2	56967	3459271	17337603	0.833664
-33.1	57919	3517190	17279684	0.830879
-33	58460	3575650	17221224	0.828068
-32.9	59466	3635116	17161758	0.825209
-32.8	60612	3695728	17101146	0.822294
-32.7	61409	3757137	17039737	0.819341
-32.6	63139	3820276	16976598	0.816305
-32.5	63945	3884221	16912653	0.813231
-32.4	64792	3949013	16847861	0.810115
-32.3	66258	4015271	16781603	0.806929
-32.2	67501	4082772	16714102	0.803683
-32.1	68370	4151142	16645732	0.800396
-32	69844	4220986	16575888	0.797037
-31.9	70746	4291732	16505142	0.793636
-31.8	71873	4363605	16433269	0.79018
-31.7	73351	4436956	16359918	0.786653
-31.6	74435	4511391	16285483	0.783074
-31.5	75634	4587025	16209849	0.779437
-31.4	77441	4664466	16132408	0.775713
-31.3	77331	4741797	16055077	0.771995
-31.2	78646	4820443	15976431	0.768213
-31.1	79612	4900055	15896819	0.764385
-31	80579	4980634	15816240	0.76051
-30.9	81436	5062070	15734804	0.756595
-30.8	82354	5144424	15652450	0.752635
-30.7	83132	5227556	15569318	0.748637
-30.6	83201	5310757	15486117	0.744637
-30.5	84596	5395353	15401521	0.740569
-30.4	85042	5480395	15316479	0.73648
-30.3	87651	5568046	15228828	0.732265
-30.2	86487	5654533	15142341	0.728107
-30.1	87542	5742075	15054799	0.723897
-30	87616	5829691	14967183	0.719684
-29.9	88674	5918365	14878509	0.71542
-29.8	89544	6007909	14788965	0.711115
-29.7	90167	6098076	14698798	0.706779
-29.6	90009	6188085	14608789	0.702451
-29.5	91153	6279238	14517636	0.698068
-29.4	91810	6371048	14425826	0.693654
-29.3	92451	6463499	14333375	0.689208
-29.2	94601	6558100	14238774	0.684659
-29.1	93981	6652081	14144793	0.68014
-29	93942	6746023	14050851	0.675623
-28.9	94676	6840699	13956175	0.671071
-28.8	95000	6935699	13861175	0.666503
-28.7	95487	7031186	13765688	0.661911
-28.6	95704	7126890	13669984	0.65731
-28.5	95637	7222527	13574347	0.652711
-28.4	95120	7317647	13479227	0.648137
-28.3	95648	7413295	13383579	0.643538
-28.2	94534	7507829	13289045	0.638992
-28.1	94568	7602397	13194477	0.634445
-28	94086	7696483	13100391	0.629921
-27.9	93352	7789835	13007039	0.625432
-27.8	93393	7883228	12913646	0.620942
-27.7	92543	7975771	12821103	0.616492
-27.6	91973	8067744	12729130	0.612069
-27.5	90424	8158168	12638706	0.607721
-27.4	89322	8247490	12549384	0.603426
-27.3	89216	8336706	12460168	0.599137
-27.2	88149	8424855	12372019	0.594898
-27.1	86426	8511281	12285593	0.590742
-27	86570	8597851	12199023	0.58658
-26.9	85167	8683018	12113856	0.582484
-26.8	84037	8767055	12029819	0.578444
-26.7	83650	8850705	11946169	0.574421
-26.6	82481	8933186	11863688	0.570455
-26.5	82735	9015921	11780953	0.566477
-26.4	84083	9100004	11696870	0.562434
-26.3	81366	9181370	11615504	0.558522
-26.2	81716	9263086	11533788	0.554592
-26.1	81769	9344855	11452019	0.550661
-26	81761	9426616	11370258	0.546729
-25.9	81875	9508491	11288383	0.542792
-25.8	81689	9590180	11206694	0.538864
-25.7	82522	9672702	11124172	0.534896
-25.6	84039	9756741	11040133	0.530855
-25.5	84070	9840811	10956063	0.526813
-25.4	85459	9926270	10870604	0.522704
-25.3	85630	10011900	10784974	0.518586
-25.2	87109	10099009	10697865	0.514398
-25.1	87772	10186781	10610093	0.510177
-25	88878	10275659	10521215	0.505904
-24.9	90196	10365855	10431019	0.501567
-24.8	91644	10457499	10339375	0.49716
-24.7	92849	10550348	10246526	0.492695
-24.6	93146	10643494	10153380	0.488217
-24.5	95796	10739290	10057584	0.48361
-24.4	95166	10834456	9962418	0.479034
-24.3	95595	10930051	9866823	0.474438
-24.2	96709	11026760	9770114	0.469788
-24.1	96888	11123648	9673226	0.465129
-24	97773	11221421	9575453	0.460428
-23.9	98079	11319500	9477374	0.455711
-23.8	98339	11417839	9379035	0.450983
-23.7	99099	11516938	9279936	0.446218
-23.6	99285	11616223	9180651	0.441444
-23.5	99181	11715404	9081470	0.436675
-23.4	99396	11814800	8982074	0.431895
-23.3	98981	11913781	8883093	0.427136
-23.2	98799	12012580	8784294	0.422385
-23.1	99207	12111787	8685087	0.417615
-23	98262	12210049	8586825	0.41289
-22.9	99043	12309092	8487782	0.408128
-22.8	98200	12407292	8389582	0.403406
-22.7	97967	12505259	8291615	0.398695
-22.6	98113	12603372	8193502	0.393978
-22.5	97049	12700421	8096453	0.389311
-22.4	97523	12797944	7998930	0.384622
-22.3	97701	12895645	7901229	0.379924
-22.2	97597	12993242	7803632	0.375231
-22.1	97552	13090794	7706080	0.37054
-22	97298	13188092	7608782	0.365862
-21.9	96891	13284983	7511891	0.361203
-21.8	96858	13381841	7415033	0.356546
-21.7	96204	13478045	7318829	0.35192
-21.6	95651	13573696	7223178	0.34732
-21.5	96040	13669736	7127138	0.342702
-21.4	94709	13764445	7032429	0.338148
-21.3	94559	13859004	6937870	0.333602
-21.2	93614	13952618	6844256	0.3291
-21.1	92271	14044889	6751985	0.324663
-21	91302	14136191	6660683	0.320273
-20.9	89161	14225352	6571522	0.315986
-20.8	88044	14313396	6483478	0.311753
