#score	occ	co	cco	dCDF
-49	2	2	20796872	1
-48.9	1	3	20796871	1
-48.8	36	39	20796835	0.999998
-48.7	12	51	20796823	0.999998
-48.6	12	63	20796811	0.999997
-48.5	20	83	20796791	0.999996
-48.4	18	101	20796773	0.999995
-48.3	49	150	20796724	0.999993
-48.2	85	235	20796639	0.999989
-48.1	211	446	20796428	0.999979
-48	99	545	20796329	0.999974
-47.9	114	659	20796215	0.999968
-47.8	186	845	20796029	0.999959
-47.7	271	1116	20795758	0.999946
-47.6	326	1442	20795432	0.999931
-47.5	320	1762	20795112	0.999915
-47.4	428	2190	20794684	0.999895
-47.3	506	2696	20794178	0.99987
-47.2	591	3287	20793587	0.999842
-47.1	630	3917	20792957	0.999812
-47	806	4723	20792151	0.999773
-46.9	1029	5752	20791122	0.999723
-46.8	983	6735	20790139	0.999676
-46.7	1139	7874	20789000	0.999621
-46.6	1348	9222	20787652	0.999557
-46.5	1432	10654	20786220	0.999488
-46.4	1613	12267	20784607	0.99941
-46.3	1696	13963	20782911	0.999329
-46.2	1933	15896	20780978	0.999236
-46.1	2208	18104	20778770	0.999129
-46	2547	20651	20776223	0.999007
-45.9	2506	23157	20773717	0.998887
-45.8	2937	26094	20770780	0.998745
-45.7	2844	28938	20767936	0.998609
-45.6	3006	31944	20764930	0.998464
-45.5	3394	35338	20761536	0.998301
-45.4	3537	38875	20757999	0.998131
-45.3	3741	42616	20754258	0.997951
-45.2	4092	46708	20750166	0.997754
-45.1	4164	50872	20746002	0.997554
-45	4421	55293	20741581	0.997341
-44.9	4683	59976	20736898	0.997116
-44.8	4797	64773	20732101	0.996885
-44.7	5087	69860	20727014	0.996641
-44.6	5377	75237	20721637	0.996382
-44.5	5620	80857	20716017	0.996112
-44.4	6035	86892	20709982	0.995822
-44.3	6186	93078	20703796	0.995524
-44.2	6333	99411	20697463	0.99522
-44.1	6540	105951	20690923	0.994905
-44	7096	113047	20683827	0.994564
-43.9	7077	120124	20676750	0.994224
-43.8	7458	127582	20669292	0.993865
-43.7	7705	135287	20661587	0.993495
-43.6	8238	143525	20653349	0.993099
-43.5	8305	151830	20645044	0.992699
-43.4	8791	160621	20636253	0.992277
-43.3	8997	169618	20627256	0.991844
-43.2	9172	178790	20618084	0.991403
-43.1	9525	188315	20608559	0.990945
-43	9628	197943	20598931	0.990482
-42.9	9929	207872	20589002	0.990005
-42.8	10397	218269	20578605	0.989505
-42.7	10873	229142	20567732	0.988982
-42.6	10714	239856	20557018	0.988467
-42.5	10446	250302	20546572	0.987964
-42.4	10920	261222	20535652	0.987439
-42.3	10988	272210	20524664	0.986911
-42.2	11399	283609	20513265	0.986363
-42.1	11128	294737	20502137	0.985828
-42	11343	306080	20490794	0.985282
-41.9	11376	317456	20479418	0.984735
-41.8	11584	329040	20467834	0.984178
-41.7	11627	340667	20456207	0.983619
-41.6	11802	352469	20444405	0.983052
-41.5	11782	364251	20432623	0.982485
-41.4	11981	376232	20420642	0.981909
-41.3	11921	388153	20408721	0.981336
-41.2	11980	400133	20396741	0.98076
-41.1	12082	412215	20384659	0.980179
-41	12116	424331	20372543	0.979596
-40.9	12161	436492	20360382	0.979012
-40.8	12620	449112	20347762	0.978405
-40.7	12666	461778	20335096	0.977796
-40.6	13074	474852	20322022	0.977167
-40.5	13215	488067	20308807	0.976532
-40.4	13538	501605	20295269	0.975881
-40.3	13949	515554	20281320	0.97521
-40.2	14395	529949	20266925	0.974518
-40.1	15155	545104	20251770	0.973789
-40	15147	560251	20236623	0.973061
-39.9	15672	575923	20220951	0.972307
-39.8	16464	592387	20204487	0.971516
