#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-49.3	<NULL>	<NULL>	<NULL>	<NULL>	      1
-49.2	<NULL>	<NULL>	<NULL>	<NULL>	      1
-49.1	1.0e+00	<NULL>	<NULL>	<NULL>	      1
-49	1.0e+00	<NULL>	<NULL>	1	      1
-48.9	1.0e+00	<NULL>	<NULL>	1	      1
-48.8	1.0e+00	<NULL>	<NULL>	0.999998	0.999999
-48.7	1.0e+00	<NULL>	<NULL>	0.999998	0.999999
-48.6	1.0e+00	<NULL>	<NULL>	0.999997	0.999998
-48.5	1.0e+00	<NULL>	<NULL>	0.999996	0.999996
-48.4	1.0e+00	<NULL>	<NULL>	0.999995	0.999994
-48.3	1.0e+00	<NULL>	<NULL>	0.999993	0.999992
-48.2	1.0e+00	<NULL>	<NULL>	0.999989	0.999986
-48.1	1.0e+00	<NULL>	<NULL>	0.999979	0.99998
-48	1.0e+00	<NULL>	<NULL>	0.999974	0.999967
-47.9	1.0e+00	<NULL>	<NULL>	0.999968	0.999954
-47.8	1.0e+00	<NULL>	<NULL>	0.999959	0.999941
-47.7	1.0e+00	<NULL>	<NULL>	0.999946	0.99992
-47.6	1.0e+00	<NULL>	<NULL>	0.999931	0.999898
-47.5	1.0e+00	<NULL>	<NULL>	0.999915	0.999865
-47.4	1.0e+00	<NULL>	<NULL>	0.999895	0.999838
-47.3	1.0e+00	1.00000	1.00000	0.99987	0.999804
-47.2	1.0e+00	1.00000	1.00000	0.999842	0.999766
-47.1	1.0e+00	1.00000	1.00000	0.999812	0.999724
-47	1.0e+00	1.00000	1.00000	0.999773	0.999673
-46.9	1.0e+00	1.00000	1.00000	0.999723	0.999619
-46.8	1.0e+00	1.00000	1.00000	0.999676	0.999554
-46.7	1.0e+00	1.00000	1.00000	0.999621	0.999486
-46.6	1.0e+00	1.00000	1.00000	0.999557	0.999405
-46.5	1.0e+00	1.00000	1.00000	0.999488	0.999317
-46.4	1.0e+00	1.00000	1.00000	0.99941	0.999226
-46.3	1.0e+00	1.00000	1.00000	0.999329	0.999124
-46.2	1.0e+00	1.00000	1.00000	0.999236	0.999013
-46.1	1.0e+00	1.00000	1.00000	0.999129	0.998893
-46	1.0e+00	1.00000	1.00000	0.999007	0.998763
-45.9	1.0e+00	1.00000	1.00000	0.998887	0.998628
-45.8	1.0e+00	1.00000	1.00000	0.998745	0.99847
-45.7	1.0e+00	1.00000	1.00000	0.998609	0.998305
-45.6	1.0e+00	1.00000	1.00000	0.998464	0.99813
-45.5	1.0e+00	1.00000	1.00000	0.998301	0.99794
-45.4	1.0e+00	1.00000	1.00000	0.998131	0.997743
-45.3	1.0e+00	1.00000	1.00000	0.997951	0.997531
-45.2	1.0e+00	1.00000	1.00000	0.997754	0.997303
-45.1	1.0e+00	1.00000	1.00000	0.997554	0.997065
-45	1.0e+00	1.00000	1.00000	0.997341	0.996814
-44.9	1.0e+00	1.00000	1.00000	0.997116	0.996553
-44.8	1.0e+00	1.00000	1.00000	0.996885	0.996271
-44.7	1.0e+00	1.00000	1.00000	0.996641	0.995973
-44.6	1.0e+00	1.00000	1.00000	0.996382	0.99567
-44.5	1.0e+00	1.00000	1.00000	0.996112	0.995355
-44.4	1.0e+00	1.00000	1.00000	0.995822	0.995016
-44.3	1.0e+00	1.00000	1.00000	0.995524	0.994668
-44.2	1.0e+00	1.00000	1.00000	0.99522	0.994301
-44.1	1.0e+00	1.00000	1.00000	0.994905	0.993931
-44	1.0e+00	1.00000	1.00000	0.994564	0.993542
