; matrix-distrib  -v 1 -m $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do798plusdo735_mmus_hnf6_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do798plusdo735_mmus_hnf6_liver_meme_top_m1_matrix.tab -matrix_format tab -pseudo 1 -bgfile $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab -bg_format inclusive -bg_pseudo 0.01 -decimals 1 -o $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do798plusdo735_mmus_hnf6_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do798plusdo735_mmus_hnf6_liver_meme_top_m1_theor_score_distrib.tab
; Input files
;	bgfile	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab
; Output files
;	output	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do798plusdo735_mmus_hnf6_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do798plusdo735_mmus_hnf6_liver_meme_top_m1_theor_score_distrib.tab
; Background model
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26457
;		c	0.23303
;		g	0.23983
;		t	0.26257
;
; Matrix: matrix-quality_2014-09-05
;
; Theoretical distribution of weight probabilities
;	1	weight      	log-likelihood score: w=P(S|M)/P(S|B)
;	2	proba       	probability density function: P(W=w)
;	3	cum         	cumulative density function: P(W <= w)
;	4	Pval        	P-value = inverse cumulative density function: Pval = P(W >= w)
;	5	ln_Pval     	natural logarithm of the P-value
;	6	log_P       	base 10 logarithm of the P-value
;	7	sig         	significance: sig = -log10(Pval)
#weight	proba	cum	Pval	ln_Pval	log_P	sig
-49.1	NA	0.0e+00	1.0e+00	0.000	-0	0.000
-49.0	6.8e-09	6.8e-09	1.0e+00	0.000	-0	0.000
-48.9	4.6e-08	5.3e-08	1.0e+00	-0.000	-0	0.000
-48.8	5.1e-08	1.0e-07	1.0e+00	-0.000	-0	0.000
-48.7	9.9e-08	2.0e-07	1.0e+00	-0.000	-0	0.000
-48.6	1.8e-07	3.8e-07	1.0e+00	-0.000	-0	0.000
-48.5	3.9e-07	7.7e-07	1.0e+00	-0.000	-0	0.000
-48.4	6.3e-07	1.4e-06	1.0e+00	-0.000	-0	0.000
-48.3	8.2e-07	2.2e-06	1.0e+00	-0.000	-0	0.000
-48.2	1.4e-06	3.6e-06	1.0e+00	-0.000	-0	0.000
-48.1	1.7e-06	5.4e-06	1.0e+00	-0.000	-0	0.000
-48.0	2.9e-06	8.3e-06	1.0e+00	-0.000	-0	0.000
-47.9	3.8e-06	1.2e-05	1.0e+00	-0.000	-0	0.000
-47.8	5.0e-06	1.7e-05	1.0e+00	-0.000	-0	0.000
-47.7	5.6e-06	2.3e-05	1.0e+00	-0.000	-0	0.000
-47.6	7.8e-06	3.1e-05	1.0e+00	-0.000	-0	0.000
-47.5	1.1e-05	4.1e-05	1.0e+00	-0.000	-0	0.000
-47.4	1.2e-05	5.3e-05	1.0e+00	-0.000	-0	0.000
-47.3	1.3e-05	6.6e-05	1.0e+00	-0.000	-0	0.000
-47.2	1.7e-05	8.2e-05	1.0e+00	-0.000	-0	0.000
-47.1	2.0e-05	1.0e-04	1.0e+00	-0.000	-0	0.000
-47.0	2.5e-05	1.3e-04	1.0e+00	-0.000	-0	0.000
-46.9	2.7e-05	1.5e-04	1.0e+00	-0.000	-0	0.000
-46.8	3.1e-05	1.9e-04	1.0e+00	-0.000	-0	0.000
-46.7	3.2e-05	2.2e-04	1.0e+00	-0.000	-0	0.000
-46.6	4.0e-05	2.6e-04	1.0e+00	-0.000	-0	0.000
-46.5	5.1e-05	3.1e-04	1.0e+00	-0.000	-0	0.000
-46.4	5.3e-05	3.6e-04	1.0e+00	-0.000	-0	0.000
-46.3	5.3e-05	4.1e-04	1.0e+00	-0.000	-0	0.000
-46.2	6.5e-05	4.8e-04	1.0e+00	-0.000	-0	0.000
-46.1	7.3e-05	5.5e-04	1.0e+00	-0.000	-0	0.000
-46.0	8.9e-05	6.4e-04	1.0e+00	-0.001	-0	0.000
-45.9	9.1e-05	7.3e-04	1.0e+00	-0.001	-0	0.000
-45.8	9.9e-05	8.3e-04	1.0e+00	-0.001	-0	0.000
-45.7	9.7e-05	9.3e-04	1.0e+00	-0.001	-0	0.000
-45.6	1.2e-04	1.0e-03	1.0e+00	-0.001	-0	0.000
-45.5	1.4e-04	1.2e-03	1.0e+00	-0.001	-0	0.000
-45.4	1.4e-04	1.3e-03	1.0e+00	-0.001	-0.001	0.001
-45.3	1.3e-04	1.5e-03	1.0e+00	-0.001	-0.001	0.001
-45.2	1.6e-04	1.6e-03	1.0e+00	-0.001	-0.001	0.001
-45.1	1.7e-04	1.8e-03	1.0e+00	-0.002	-0.001	0.001
-45.0	2.0e-04	2.0e-03	1.0e+00	-0.002	-0.001	0.001
-44.9	2.0e-04	2.2e-03	1.0e+00	-0.002	-0.001	0.001
-44.8	2.1e-04	2.4e-03	1.0e+00	-0.002	-0.001	0.001
-44.7	2.0e-04	2.6e-03	1.0e+00	-0.002	-0.001	0.001
-44.6	2.4e-04	2.8e-03	1.0e+00	-0.003	-0.001	0.001
-44.5	2.8e-04	3.1e-03	1.0e+00	-0.003	-0.001	0.001
-44.4	2.7e-04	3.4e-03	1.0e+00	-0.003	-0.001	0.001
-44.3	2.6e-04	3.6e-03	1.0e+00	-0.003	-0.001	0.001
-44.2	3.0e-04	3.9e-03	1.0e+00	-0.004	-0.002	0.002
-44.1	3.2e-04	4.3e-03	1.0e+00	-0.004	-0.002	0.002
